Orthogroup	MFC_MF29_genes	MHP_F72C_genes
OG0000241	DR095_RS01705	EHI52_RS02950
OG0000242	DR095_RS01710	EHI52_RS02955
OG0000243	DR095_RS01715	EHI52_RS02960
OG0000244	DR095_RS01725	EHI52_RS02970
OG0000245	DR095_RS01735	EHI52_RS02980
OG0000246	DR095_RS01030	EHI52_RS00140
OG0000247	DR095_RS01020	EHI52_RS00150
OG0000248	DR095_RS00995	EHI52_RS00160
OG0000249	DR095_RS00990	EHI52_RS00165
OG0000250	DR095_RS00975	EHI52_RS00180
OG0000251	DR095_RS00945	EHI52_RS00215
OG0000252	DR095_RS00935	EHI52_RS00225
OG0000253	DR095_RS00930	EHI52_RS00230
OG0000254	DR095_RS00920	EHI52_RS00240
OG0000255	DR095_RS00915	EHI52_RS00250
OG0000256	DR095_RS00910	EHI52_RS00255
OG0000257	DR095_RS00885	EHI52_RS00280
OG0000258	DR095_RS00875	EHI52_RS00290
OG0000259	DR095_RS00845	EHI52_RS00320
OG0000260	DR095_RS00835	EHI52_RS00330
OG0000261	DR095_RS03795	EHI52_RS00340
OG0000262	DR095_RS00810	EHI52_RS00360
OG0000263	DR095_RS00795	EHI52_RS00375
OG0000264	DR095_RS00780	EHI52_RS00390
OG0000265	DR095_RS00770	EHI52_RS00400
OG0000266	DR095_RS00755	EHI52_RS00415
OG0000267	DR095_RS00740	EHI52_RS00430
OG0000268	DR095_RS00735	EHI52_RS00435
OG0000269	DR095_RS00720	EHI52_RS00450
OG0000270	DR095_RS03930	EHI52_RS03490
OG0000271	DR095_RS02520	EHI52_RS03485
OG0000272	DR095_RS02525	EHI52_RS03480
OG0000273	DR095_RS02530	EHI52_RS03475
OG0000274	DR095_RS02550	EHI52_RS03455
OG0000275	DR095_RS03935	EHI52_RS03450
OG0000276	DR095_RS02560	EHI52_RS03445
OG0000277	DR095_RS03940	EHI52_RS03435
OG0000278	DR095_RS02575	EHI52_RS03430
OG0000279	DR095_RS02585	EHI52_RS03420
OG0000280	DR095_RS02590	EHI52_RS03415
OG0000281	DR095_RS02595	EHI52_RS03410
OG0000282	DR095_RS02620	EHI52_RS03385
OG0000283	DR095_RS02625	EHI52_RS03380
OG0000284	DR095_RS02630	EHI52_RS03375
OG0000285	DR095_RS03955	EHI52_RS03370
OG0000286	DR095_RS00590	EHI52_RS02425
OG0000287	DR095_RS00565	EHI52_RS02515
OG0000288	DR095_RS00555	EHI52_RS02525
OG0000289	DR095_RS00550	EHI52_RS02530
OG0000290	DR095_RS03370	EHI52_RS02640
OG0000291	DR095_RS00450	EHI52_RS02630
