Orthogroup	MFC_MF29_genes	MFC_Ms42_genes
OG0000513	DR095_RS02580	MYF_RS02890
OG0000514	DR095_RS00230	MYF_RS00710
OG0000516	DR095_RS03000	MYF_RS01440
OG0000517	DR095_RS01050	MYF_RS00065
OG0000518	DR095_RS01810	MYF_RS02630
OG0000519	DR095_RS02160	MYF_RS02080
OG0000520	DR095_RS02415	MYF_RS02205
OG0000521	DR095_RS00890	MYF_RS00230
OG0000522	DR095_RS00855	MYF_RS00265
OG0000523	DR095_RS02645	MYF_RS02830
OG0000524	DR095_RS00425	MYF_RS00890
OG0000528	DR095_RS03010	MYF_RS01435
OG0000529	DR095_RS01300	MYF_RS01565
OG0000530	DR095_RS01365	MYF_RS01630
OG0000531	DR095_RS01485	MYF_RS01750
OG0000533	DR095_RS02250	MYF_RS02365
OG0000534	DR095_RS00775	MYF_RS00345
OG0000535	DR095_RS01070	MYF_RS00045
OG0000536	DR095_RS01195	MYF_RS03070
OG0000537	DR095_RS02100	MYF_RS02025
OG0000538	DR095_RS02220	MYF_RS02395
OG0000539	DR095_RS00940	MYF_RS00175
OG0000541	DR095_RS00385	MYF_RS00850
OG0000542	DR095_RS00805	MYF_RS00315
OG0000547	DR095_RS00180	MYF_RS00660
OG0000548	DR095_RS02700	MYF_RS01205
OG0000549	DR095_RS02670	MYF_RS02805
OG0000550	DR095_RS02545	MYF_RS02925
OG0000551	DR095_RS01730	MYF_RS02505
OG0000555	DR095_RS03315	MYF_RS03410
OG0000589	DR095_RS03040	MYF_RS03220
OG0000595	DR095_RS03770	MYF_RS02570
OG0000596	DR095_RS01005	MYF_RS00110
OG0000597	DR095_RS00365	MYF_RS02565
OG0000598	DR095_RS01010	MYF_RS00105
OG0000599	DR095_RS01015	MYF_RS00100
OG0000602	DR095_RS02890	MYF_RS01415
OG0000627	DR095_RS01190	MYF_RS03075
OG0000634	DR095_RS01270	MYF_RS01535
OG0000635	DR095_RS00410	MYF_RS00875
OG0000636	DR095_RS03500	MYF_RS03460
OG0000637	DR095_RS02045	MYF_RS01970
OG0000638	DR095_RS00710	MYF_RS00415
OG0000639	DR095_RS01550	MYF_RS03175
OG0000640	DR095_RS03290	MYF_RS03500
OG0000641	DR095_RS03520	MYF_RS03510, MYF_RS03515
OG0000643	DR095_RS01555	MYF_RS03180
OG0000655	DR095_RS01960	MYF_RS01885
