Orthogroup	MFC_MF29_genes	MHP_NCTC10127_genes
OG0000352	DR095_RS02755	EXC50_RS00880
OG0000353	DR095_RS01460	EXC50_RS02715
OG0000354	DR095_RS00110	EXC50_RS03450
OG0000355	DR095_RS03980	EXC50_RS00850
OG0000356	DR095_RS03985	EXC50_RS00935
OG0000357	DR095_RS03860	EXC50_RS01930
OG0000358	DR095_RS01800	EXC50_RS01935
OG0000359	DR095_RS03900	EXC50_RS03310
OG0000360	DR095_RS00880	EXC50_RS00285
OG0000361	DR095_RS00850	EXC50_RS00315
OG0000362	DR095_RS00540	EXC50_RS01390
OG0000363	DR095_RS01530	EXC50_RS02645
OG0000365	DR095_RS04025	EXC50_RS00975
OG0000366	DR095_RS02870	EXC50_RS01000
OG0000367	DR095_RS02860	EXC50_RS01010
OG0000368	DR095_RS01055	EXC50_RS00060
OG0000369	DR095_RS03410	EXC50_RS00025
OG0000370	DR095_RS01095	EXC50_RS00020
OG0000371	DR095_RS01100	EXC50_RS00015
OG0000372	DR095_RS01105	EXC50_RS00010
OG0000373	DR095_RS01130	EXC50_RS02445
OG0000374	DR095_RS01140	EXC50_RS02435
OG0000375	DR095_RS01285	EXC50_RS01075
OG0000376	DR095_RS01340	EXC50_RS01230
OG0000377	DR095_RS01350	EXC50_RS01220
OG0000378	DR095_RS01385	EXC50_RS02795
OG0000379	DR095_RS01455	EXC50_RS02720
OG0000380	DR095_RS01480	EXC50_RS02695
OG0000381	DR095_RS01520	EXC50_RS02655
OG0000382	DR095_RS02910	EXC50_RS02625
OG0000383	DR095_RS02950	EXC50_RS02585
OG0000384	DR095_RS00655	EXC50_RS03570
OG0000385	DR095_RS00005	EXC50_RS03565
OG0000386	DR095_RS00025	EXC50_RS03545
OG0000387	DR095_RS00050	EXC50_RS03520
OG0000388	DR095_RS03755	EXC50_RS03515
OG0000389	DR095_RS00090	EXC50_RS03470
OG0000390	DR095_RS00190	EXC50_RS01740
OG0000391	DR095_RS00200	EXC50_RS01730
OG0000392	DR095_RS00225	EXC50_RS01705
OG0000393	DR095_RS00280	EXC50_RS01650
OG0000394	DR095_RS00345	EXC50_RS01575
OG0000395	DR095_RS00350	EXC50_RS01570
OG0000396	DR095_RS02695	EXC50_RS01275
OG0000397	DR095_RS02740	EXC50_RS00865
OG0000398	DR095_RS02745	EXC50_RS00870
OG0000399	DR095_RS02790	EXC50_RS00915
OG0000400	DR095_RS01760	EXC50_RS01895
OG0000401	DR095_RS01820	EXC50_RS01955
OG0000402	DR095_RS01830	EXC50_RS01965
OG0000403	DR095_RS01840	EXC50_RS01975
OG0000404	DR095_RS03865	EXC50_RS02005
OG0000405	DR095_RS01875	EXC50_RS02020
OG0000406	DR095_RS01905	EXC50_RS02080
OG0000407	DR095_RS03880	EXC50_RS02085
OG0000408	DR095_RS01915	EXC50_RS02090
OG0000409	DR095_RS01920	EXC50_RS02095
OG0000410	DR095_RS02965	EXC50_RS02155
OG0000411	DR095_RS02975	EXC50_RS02145
OG0000412	DR095_RS02980	EXC50_RS02140
OG0000413	DR095_RS01965	EXC50_RS02570
OG0000414	DR095_RS01975	EXC50_RS02560
OG0000415	DR095_RS01980	EXC50_RS02555
OG0000416	DR095_RS01990	EXC50_RS02545
OG0000417	DR095_RS02020	EXC50_RS01135
OG0000418	DR095_RS02025	EXC50_RS01130
OG0000419	DR095_RS02085	EXC50_RS03375
OG0000420	DR095_RS02120	EXC50_RS03340
OG0000421	DR095_RS02155	EXC50_RS03305
OG0000422	DR095_RS02165	EXC50_RS03295
OG0000423	DR095_RS02480	EXC50_RS03240
OG0000424	DR095_RS02475	EXC50_RS03235
OG0000425	DR095_RS02465	EXC50_RS03225
OG0000426	DR095_RS03585	EXC50_RS03220
OG0000427	DR095_RS03920	EXC50_RS03195
OG0000428	DR095_RS02410	EXC50_RS03170
OG0000429	DR095_RS02315	EXC50_RS03075
OG0000430	DR095_RS02270	EXC50_RS03030
OG0000431	DR095_RS02260	EXC50_RS03020
OG0000432	DR095_RS02240	EXC50_RS02990
OG0000433	DR095_RS02230	EXC50_RS02975
OG0000434	DR095_RS02225	EXC50_RS02970
OG0000435	DR095_RS02210	EXC50_RS02955
OG0000436	DR095_RS01570	EXC50_RS02925
OG0000437	DR095_RS01580	EXC50_RS02915
OG0000438	DR095_RS03840	EXC50_RS02910
OG0000439	DR095_RS01590	EXC50_RS02905
OG0000440	DR095_RS03855	EXC50_RS01795
OG0000441	DR095_RS01745	EXC50_RS01835
OG0000442	DR095_RS01025	EXC50_RS00145
OG0000443	DR095_RS00965	EXC50_RS00195
OG0000444	DR095_RS00950	EXC50_RS00210
OG0000445	DR095_RS00925	EXC50_RS00235
OG0000446	DR095_RS00900	EXC50_RS00265
OG0000447	DR095_RS00895	EXC50_RS00270
OG0000448	DR095_RS00865	EXC50_RS00300
OG0000449	DR095_RS00840	EXC50_RS00325
OG0000450	DR095_RS00830	EXC50_RS00335
OG0000451	DR095_RS00790	EXC50_RS00380
OG0000452	DR095_RS00765	EXC50_RS00410
OG0000453	DR095_RS00730	EXC50_RS03660
OG0000455	DR095_RS03825	EXC50_RS02355
OG0000456	DR095_RS02615	EXC50_RS02235
OG0000457	DR095_RS02640	EXC50_RS02210
OG0000458	DR095_RS00570	EXC50_RS01360
OG0000459	DR095_RS00545	EXC50_RS01385
OG0000460	DR095_RS00535	EXC50_RS01395
OG0000461	DR095_RS00490	EXC50_RS01440
OG0000462	DR095_RS00495	EXC50_RS01435
OG0000463	DR095_RS00500	EXC50_RS01430
OG0000464	DR095_RS00505	EXC50_RS01425
OG0000465	DR095_RS00510	EXC50_RS01420
OG0000466	DR095_RS00760	EXC50_RS00415
OG0000467	DR095_RS03790	EXC50_RS01520
OG0000468	DR095_RS02785	EXC50_RS00910
OG0000469	DR095_RS03050	EXC50_RS00970
OG0000470	DR095_RS02485	EXC50_RS03950
OG0000471	DR095_RS02405	EXC50_RS03165
OG0000472	DR095_RS02665	EXC50_RS02165
OG0000473	DR095_RS02510	EXC50_RS02340
OG0000474	DR095_RS02505	EXC50_RS02345
OG0000475	DR095_RS02500	EXC50_RS02350
OG0000476	DR095_RS01220	EXC50_RS02535
