Orthogroup	MFC_Ms42_genes	MHP_4284_genes
OG0000330	MYF_RS02380	ABLE99_RS01075
OG0000331	MYF_RS02495	ABLE99_RS02865
OG0000332	MYF_RS02635	ABLE99_RS03000
OG0000333	MYF_RS02645	ABLE99_RS03010
OG0000334	MYF_RS02715	ABLE99_RS03110
OG0000335	MYF_RS02725	ABLE99_RS03120
OG0000336	MYF_RS02870	ABLE99_RS03265
OG0000337	MYF_RS03105	ABLE99_RS03435
OG0000338	MYF_RS03145	ABLE99_RS03475
OG0000339	MYF_RS01640	ABLE99_RS02240
OG0000340	MYF_RS01665	ABLE99_RS01280
OG0000341	MYF_RS01940	ABLE99_RS02125
OG0000342	MYF_RS02030	ABLE99_RS00945
OG0000343	MYF_RS02655	ABLE99_RS03020
OG0000344	MYF_RS00530	ABLE99_RS00570
OG0000345	MYF_RS02310	ABLE99_RS00655
OG0000346	MYF_RS02875	ABLE99_RS03270
OG0000347	MYF_RS01755	ABLE99_RS01370
OG0000348	MYF_RS02100	ABLE99_RS00870
OG0000349	MYF_RS02930	ABLE99_RS03330
OG0000350	MYF_RS03360	ABLE99_RS02650
OG0000351	MYF_RS00465	ABLE99_RS00490
OG0000352	MYF_RS01260	ABLE99_RS01850
OG0000353	MYF_RS01725	ABLE99_RS01340
OG0000354	MYF_RS00580	ABLE99_RS01025
OG0000355	MYF_RS01235	ABLE99_RS01825
OG0000356	MYF_RS01315	ABLE99_RS01905
OG0000357	MYF_RS02615	ABLE99_RS02980
OG0000358	MYF_RS02620	ABLE99_RS02985
OG0000359	MYF_RS02070	ABLE99_RS00900
OG0000360	MYF_RS00240	ABLE99_RS00275
OG0000361	MYF_RS00270	ABLE99_RS00305
OG0000362	MYF_RS01065	ABLE99_RS02440
OG0000363	MYF_RS01795	ABLE99_RS01410
OG0000365	MYF_RS01420	ABLE99_RS01950
OG0000366	MYF_RS01390	ABLE99_RS01975
OG0000367	MYF_RS01380	ABLE99_RS01985
OG0000368	MYF_RS00060	ABLE99_RS00060
OG0000369	MYF_RS00025	ABLE99_RS00025
OG0000370	MYF_RS00020	ABLE99_RS00020
OG0000371	MYF_RS00015	ABLE99_RS00015
OG0000372	MYF_RS00010	ABLE99_RS00010
OG0000373	MYF_RS03135	ABLE99_RS03465
OG0000374	MYF_RS03125	ABLE99_RS03455
OG0000375	MYF_RS01550	ABLE99_RS02060
OG0000376	MYF_RS01605	ABLE99_RS02280
OG0000377	MYF_RS01615	ABLE99_RS02270
OG0000378	MYF_RS01650	ABLE99_RS01260
OG0000379	MYF_RS01720	ABLE99_RS01335
OG0000380	MYF_RS01745	ABLE99_RS01360
OG0000381	MYF_RS01785	ABLE99_RS01400
OG0000382	MYF_RS01815	ABLE99_RS01430
OG0000383	MYF_RS01855	ABLE99_RS01470
OG0000384	MYF_RS00470	ABLE99_RS00510
OG0000385	MYF_RS00475	ABLE99_RS00515
OG0000386	MYF_RS00495	ABLE99_RS00535
OG0000387	MYF_RS00520	ABLE99_RS00560
OG0000388	MYF_RS00525	ABLE99_RS00565
OG0000389	MYF_RS00560	ABLE99_RS01050
OG0000390	MYF_RS00670	ABLE99_RS02795
OG0000391	MYF_RS00680	ABLE99_RS02785
OG0000392	MYF_RS00705	ABLE99_RS02760
OG0000393	MYF_RS00760	ABLE99_RS02705
OG0000394	MYF_RS00825	ABLE99_RS02625
OG0000395	MYF_RS00830	ABLE99_RS02620
OG0000396	MYF_RS01200	ABLE99_RS02330
OG0000397	MYF_RS01245	ABLE99_RS01835
OG0000398	MYF_RS01250	ABLE99_RS01840
OG0000399	MYF_RS01295	ABLE99_RS01885
OG0000400	MYF_RS02580	ABLE99_RS02945
OG0000401	MYF_RS02640	ABLE99_RS03005
OG0000402	MYF_RS02650	ABLE99_RS03015
OG0000403	MYF_RS02660	ABLE99_RS03025
OG0000404	MYF_RS02685	ABLE99_RS03055
OG0000405	MYF_RS02700	ABLE99_RS03075
OG0000406	MYF_RS02730	ABLE99_RS03125
OG0000407	MYF_RS02735	ABLE99_RS03130
OG0000408	MYF_RS02740	ABLE99_RS03135
OG0000409	MYF_RS02745	ABLE99_RS03140
OG0000410	MYF_RS02780	ABLE99_RS03170
OG0000411	MYF_RS02790	ABLE99_RS03180
OG0000412	MYF_RS02795	ABLE99_RS03185
OG0000413	MYF_RS01890	ABLE99_RS01485
OG0000414	MYF_RS01900	ABLE99_RS01495
OG0000415	MYF_RS01905	ABLE99_RS01500
OG0000416	MYF_RS01915	ABLE99_RS01510
OG0000417	MYF_RS01945	ABLE99_RS02120
OG0000418	MYF_RS01950	ABLE99_RS02115
OG0000419	MYF_RS02010	ABLE99_RS00965
OG0000420	MYF_RS02045	ABLE99_RS00930
OG0000421	MYF_RS02075	ABLE99_RS00895
OG0000422	MYF_RS02085	ABLE99_RS00885
OG0000423	MYF_RS02140	ABLE99_RS00830
OG0000424	MYF_RS02145	ABLE99_RS00825
