Orthogroup	MFC_Ms42_genes	MHP_131B_genes
OG0000292	MYF_RS00920	NB627_RS02820
OG0000293	MYF_RS00925	NB627_RS02815
OG0000294	MYF_RS00935	NB627_RS02805
OG0000295	MYF_RS00940	NB627_RS02800
OG0000296	MYF_RS01040	NB627_RS02755
OG0000297	MYF_RS01045	NB627_RS02750
OG0000298	MYF_RS00135	NB627_RS00175
OG0000299	MYF_RS00155	NB627_RS00195
OG0000300	MYF_RS00335	NB627_RS00385
OG0000301	MYF_RS00370	NB627_RS00420
OG0000302	MYF_RS00375	NB627_RS00425
OG0000303	MYF_RS00515	NB627_RS00670
OG0000304	MYF_RS00545	NB627_RS01195
OG0000305	MYF_RS00690	NB627_RS03070
OG0000306	MYF_RS00770	NB627_RS02995
OG0000307	MYF_RS00810	NB627_RS02955
OG0000308	MYF_RS00895	NB627_RS02855
OG0000309	MYF_RS01005	NB627_RS02790
OG0000310	MYF_RS01085	NB627_RS02710
OG0000311	MYF_RS01140	NB627_RS02665
OG0000312	MYF_RS01160	NB627_RS02650
OG0000313	MYF_RS01210	NB627_RS01725
OG0000314	MYF_RS01280	NB627_RS02095
OG0000315	MYF_RS01310	NB627_RS02125
OG0000316	MYF_RS01320	NB627_RS02135
OG0000317	MYF_RS01360	NB627_RS02235
OG0000318	MYF_RS01450	NB627_RS02155
OG0000319	MYF_RS01555	NB627_RS02390
OG0000320	MYF_RS01620	NB627_RS02530
OG0000321	MYF_RS01685	NB627_RS01455
OG0000322	MYF_RS01730	NB627_RS01510
OG0000323	MYF_RS01860	NB627_RS01640
OG0000324	MYF_RS01960	NB627_RS02430
OG0000325	MYF_RS02000	NB627_RS00815
OG0000326	MYF_RS02090	NB627_RS00910
OG0000327	MYF_RS02095	NB627_RS00915
OG0000328	MYF_RS02180	NB627_RS01005
OG0000329	MYF_RS02200	NB627_RS01025
OG0000330	MYF_RS02380	NB627_RS01220
OG0000331	MYF_RS02495	NB627_RS03160
OG0000332	MYF_RS02635	NB627_RS03305
