Orthogroup	MFC_Ms42_genes	MHP_111A_genes
OG0000437	MYF_RS02450	NB623_RS01300
OG0000438	MYF_RS02455	NB623_RS01305
OG0000439	MYF_RS02460	NB623_RS01310
OG0000440	MYF_RS02475	NB623_RS03115
OG0000441	MYF_RS02515	NB623_RS03150
OG0000442	MYF_RS00090	NB623_RS00135
OG0000443	MYF_RS00150	NB623_RS00180
OG0000444	MYF_RS00165	NB623_RS00195
OG0000445	MYF_RS00190	NB623_RS00220
OG0000446	MYF_RS00220	NB623_RS00245
OG0000447	MYF_RS00225	NB623_RS00255
OG0000448	MYF_RS00255	NB623_RS00280
OG0000449	MYF_RS00280	NB623_RS00305
OG0000450	MYF_RS00290	NB623_RS00315
OG0000451	MYF_RS00330	NB623_RS00355
OG0000452	MYF_RS00355	NB623_RS00380
OG0000453	MYF_RS00390	NB623_RS00415
OG0000455	MYF_RS02975	NB623_RS03705
OG0000456	MYF_RS02860	NB623_RS03580
OG0000457	MYF_RS02835	NB623_RS03545
OG0000458	MYF_RS01095	NB623_RS02670
OG0000459	MYF_RS01070	NB623_RS02700
OG0000460	MYF_RS01060	NB623_RS02710
OG0000461	MYF_RS01010	NB623_RS02755
OG0000462	MYF_RS01015	NB623_RS02750
OG0000463	MYF_RS01020	NB623_RS02745
OG0000464	MYF_RS01030	NB623_RS02740
OG0000465	MYF_RS01035	NB623_RS02735
OG0000466	MYF_RS00360	NB623_RS00385
OG0000467	MYF_RS03505	NB623_RS02845
OG0000468	MYF_RS01290	NB623_RS02130
OG0000469	MYF_RS01425	NB623_RS02070
OG0000470	MYF_RS02135	NB623_RS00850
OG0000471	MYF_RS02215	NB623_RS00930
OG0000472	MYF_RS03535	NB623_RS03500
OG0000473	MYF_RS02960	NB623_RS03690
OG0000474	MYF_RS02965	NB623_RS03695
OG0000475	MYF_RS02970	NB623_RS03700
OG0000476	MYF_RS03040	NB623_RS01675
OG0000477	MYF_RS00930	NB623_RS02785
OG0000478	MYF_RS02905	NB623_RS03630
OG0000479	MYF_RS01680	NB623_RS01445
OG0000480	MYF_RS03350	NB623_RS02065
OG0000481	MYF_RS02110	NB623_RS00825
OG0000482	MYF_RS01975	NB623_RS01330
OG0000483	MYF_RS01375	NB623_RS02020
OG0000484	MYF_RS00160	NB623_RS00190
OG0000485	MYF_RS02445	NB623_RS01295
OG0000486	MYF_RS01925	NB623_RS02450
OG0000488	MYF_RS01405	NB623_RS02055
OG0000490	MYF_RS03140	NB623_RS03800
OG0000493	MYF_RS00535	NB623_RS00575
OG0000494	MYF_RS00585	NB623_RS00635
OG0000495	MYF_RS00735	NB623_RS03005
OG0000496	MYF_RS00745	NB623_RS02990
