Orthogroup	MHP_MHP699_genes	MHP_J_genes
OG0000332	DR100_RS01525	MHJ_RS03085
OG0000333	DR100_RS01535	MHJ_RS03095
OG0000334	DR100_RS03055	MHJ_RS03205
OG0000335	DR100_RS03065	MHJ_RS03215
OG0000336	DR100_RS04675	MHJ_RS03375
OG0000337	DR100_RS01235	MHJ_RS03535
OG0000338	DR100_RS01195	MHJ_RS03575
OG0000339	DR100_RS03470	MHJ_RS02280
OG0000340	DR100_RS00235	MHJ_RS01285
OG0000341	DR100_RS03225	MHJ_RS02240
OG0000342	DR100_RS00830	MHJ_RS00710
OG0000343	DR100_RS01545	MHJ_RS03105
OG0000344	DR100_RS02620	MHJ_RS00560
OG0000345	DR100_RS02880	MHJ_RS00995
OG0000346	DR100_RS01395	MHJ_RS03380
OG0000347	DR100_RS00325	MHJ_RS01375
OG0000348	DR100_RS00905	MHJ_RS00780
OG0000349	DR100_RS04665	MHJ_RS03435
OG0000350	DR100_RS03290	MHJ_RS02720
OG0000351	DR100_RS00350	MHJ_RS00475
OG0000352	DR100_RS01985	MHJ_RS01885
OG0000353	DR100_RS00295	MHJ_RS01345
OG0000354	DR100_RS00750	MHJ_RS00620
OG0000355	DR100_RS04730	MHJ_RS01855
OG0000356	DR100_RS04820	MHJ_RS01945
OG0000357	DR100_RS04705	MHJ_RS03065
OG0000358	DR100_RS01510	MHJ_RS03070
OG0000359	DR100_RS04590	MHJ_RS00750
OG0000360	DR100_RS00570	MHJ_RS00255
OG0000361	DR100_RS00540	MHJ_RS00285
OG0000362	DR100_RS01925	MHJ_RS02500
OG0000363	DR100_RS02330	MHJ_RS03840
OG0000364	DR100_RS02040	MHJ_RS03765, MHJ_RS01830
OG0000365	DR100_RS04795	MHJ_RS01985
OG0000366	DR100_RS02580	MHJ_RS02010
OG0000367	DR100_RS02570	MHJ_RS02020
OG0000368	DR100_RS01130	MHJ_RS00060
OG0000369	DR100_RS04640	MHJ_RS00025
OG0000370	DR100_RS01170	MHJ_RS00020
OG0000371	DR100_RS01175	MHJ_RS00015
OG0000372	DR100_RS01180	MHJ_RS00010
OG0000373	DR100_RS01205	MHJ_RS03565
OG0000374	DR100_RS01215	MHJ_RS03555
OG0000375	DR100_RS03000	MHJ_RS02175
OG0000376	DR100_RS02270	MHJ_RS02320
OG0000377	DR100_RS02260	MHJ_RS02310
OG0000378	DR100_RS00215	MHJ_RS01265
OG0000379	DR100_RS00290	MHJ_RS01340
OG0000380	DR100_RS00315	MHJ_RS01365
OG0000381	DR100_RS02320	MHJ_RS01405
OG0000382	DR100_RS02350	MHJ_RS01435
OG0000383	DR100_RS02390	MHJ_RS01475
OG0000384	DR100_RS02680	MHJ_RS00500
OG0000385	DR100_RS02675	MHJ_RS00505
OG0000386	DR100_RS02655	MHJ_RS00525
OG0000387	DR100_RS02630	MHJ_RS00550
OG0000388	DR100_RS04800	MHJ_RS00555
OG0000389	DR100_RS00730	MHJ_RS00600
OG0000390	DR100_RS01690	MHJ_RS02875
OG0000391	DR100_RS01700	MHJ_RS02865
OG0000392	DR100_RS01725	MHJ_RS02835
