Orthogroup	MHP_112B_genes	MFC_MF29_genes
OG0000358	NBX26_RS03265	DR095_RS01800
OG0000359	NBX26_RS00785	DR095_RS03900
OG0000360	NBX26_RS00270	DR095_RS00880
OG0000361	NBX26_RS00300	DR095_RS00850
OG0000362	NBX26_RS02705	DR095_RS00540
OG0000363	NBX26_RS01575	DR095_RS01530
OG0000365	NBX26_RS02065	DR095_RS04025
OG0000366	NBX26_RS02040	DR095_RS02870
OG0000367	NBX26_RS02025	DR095_RS02860
OG0000368	NBX26_RS00060	DR095_RS01055
OG0000369	NBX26_RS00025	DR095_RS03410
OG0000370	NBX26_RS00020	DR095_RS01095
OG0000371	NBX26_RS00015	DR095_RS01100
OG0000372	NBX26_RS00010	DR095_RS01105
OG0000373	NBX26_RS03795	DR095_RS01130
OG0000374	NBX26_RS03785	DR095_RS01140
OG0000375	NBX26_RS02375	DR095_RS01285
OG0000376	NBX26_RS02525	DR095_RS01340
OG0000377	NBX26_RS02515	DR095_RS01350
OG0000378	NBX26_RS01415	DR095_RS01385
OG0000379	NBX26_RS01495	DR095_RS01455
OG0000380	NBX26_RS01530	DR095_RS01480
OG0000381	NBX26_RS01565	DR095_RS01520
OG0000382	NBX26_RS01595	DR095_RS02910
OG0000383	NBX26_RS01635	DR095_RS02950
OG0000384	NBX26_RS00515	DR095_RS00655
OG0000385	NBX26_RS00525	DR095_RS00005
OG0000386	NBX26_RS00540	DR095_RS00025
OG0000387	NBX26_RS00565	DR095_RS00050
OG0000388	NBX26_RS00570	DR095_RS03755
OG0000389	NBX26_RS00615	DR095_RS00090
OG0000390	NBX26_RS03075	DR095_RS00190
OG0000391	NBX26_RS03065	DR095_RS00200
OG0000392	NBX26_RS03040	DR095_RS00225
OG0000393	NBX26_RS02985	DR095_RS00280
OG0000394	NBX26_RS02905	DR095_RS00345
OG0000395	NBX26_RS02900	DR095_RS00350
OG0000396	NBX26_RS02590	DR095_RS02695
OG0000397	NBX26_RS02180	DR095_RS02740
OG0000398	NBX26_RS02175	DR095_RS02745
OG0000399	NBX26_RS02130	DR095_RS02790
OG0000400	NBX26_RS03225	DR095_RS01760
OG0000401	NBX26_RS03290	DR095_RS01820
OG0000402	NBX26_RS03300	DR095_RS01830
OG0000403	NBX26_RS03310	DR095_RS01840
OG0000404	NBX26_RS03345	DR095_RS03865
OG0000405	NBX26_RS03360	DR095_RS01875
OG0000406	NBX26_RS03415	DR095_RS01905
OG0000407	NBX26_RS03420	DR095_RS03880
OG0000408	NBX26_RS03425	DR095_RS01915
OG0000409	NBX26_RS03430	DR095_RS01920
OG0000410	NBX26_RS03505	DR095_RS02965
OG0000411	NBX26_RS03490	DR095_RS02975
OG0000412	NBX26_RS03485	DR095_RS02980
OG0000413	NBX26_RS01650	DR095_RS01965
OG0000414	NBX26_RS01660	DR095_RS01975
OG0000415	NBX26_RS01665	DR095_RS01980
OG0000416	NBX26_RS01675	DR095_RS01990
OG0000417	NBX26_RS02440	DR095_RS02020
OG0000418	NBX26_RS02430	DR095_RS02025
OG0000419	NBX26_RS00720	DR095_RS02085
OG0000420	NBX26_RS00755	DR095_RS02120
OG0000421	NBX26_RS00795	DR095_RS02155
OG0000422	NBX26_RS00800	DR095_RS02165
OG0000423	NBX26_RS00855	DR095_RS02480
OG0000424	NBX26_RS00860	DR095_RS02475
OG0000425	NBX26_RS00870	DR095_RS02465
OG0000426	NBX26_RS00875	DR095_RS03585
OG0000427	NBX26_RS00900	DR095_RS03920
OG0000428	NBX26_RS00925	DR095_RS02410
OG0000429	NBX26_RS01150	DR095_RS02315
OG0000430	NBX26_RS01195	DR095_RS02270
OG0000431	NBX26_RS01205	DR095_RS02260
OG0000432	NBX26_RS01235	DR095_RS02240
OG0000433	NBX26_RS01260	DR095_RS02230
OG0000435	NBX26_RS01270	DR095_RS02210
OG0000437	NBX26_RS01305	DR095_RS01580
OG0000438	NBX26_RS01310	DR095_RS03840
OG0000439	NBX26_RS01315	DR095_RS01590
OG0000440	NBX26_RS03125	DR095_RS03855
OG0000441	NBX26_RS03165	DR095_RS01745
OG0000442	NBX26_RS00135	DR095_RS01025
OG0000443	NBX26_RS00185	DR095_RS00965
OG0000444	NBX26_RS00200	DR095_RS00950
OG0000445	NBX26_RS00225	DR095_RS00925
OG0000446	NBX26_RS00250	DR095_RS00900
