Orthogroup	MHP_131B_genes	MHP_KM014_genes
OG0000289	NB627_RS02720	CIB43_RS03455
OG0000290	NB627_RS02840	CIB43_RS03565
OG0000291	NB627_RS02825	CIB43_RS03560
OG0000292	NB627_RS02820	CIB43_RS03550
OG0000293	NB627_RS02815	CIB43_RS03545
OG0000294	NB627_RS02805	CIB43_RS03540
OG0000295	NB627_RS02800	CIB43_RS03530
OG0000296	NB627_RS02755	CIB43_RS03495
OG0000297	NB627_RS02750	CIB43_RS03485
OG0000298	NB627_RS00175	CIB43_RS00880
OG0000299	NB627_RS00195	CIB43_RS00915
OG0000300	NB627_RS00385	CIB43_RS01090
OG0000301	NB627_RS00420	CIB43_RS01125
OG0000302	NB627_RS00425	CIB43_RS01130
OG0000303	NB627_RS00670	CIB43_RS01455
OG0000304	NB627_RS01195	CIB43_RS01950
OG0000305	NB627_RS03070	CIB43_RS03795
OG0000306	NB627_RS02995	CIB43_RS03725
OG0000307	NB627_RS02955	CIB43_RS03685
OG0000308	NB627_RS02855	CIB43_RS03600
OG0000309	NB627_RS02790	CIB43_RS03520
OG0000310	NB627_RS02710	CIB43_RS03445
OG0000311	NB627_RS02665	CIB43_RS03405
OG0000312	NB627_RS02650	CIB43_RS03390
OG0000313	NB627_RS01725	CIB43_RS02485
OG0000314	NB627_RS02095	CIB43_RS02855
OG0000315	NB627_RS02125	CIB43_RS02885
OG0000316	NB627_RS02135	CIB43_RS02895
OG0000317	NB627_RS02235	CIB43_RS02985
OG0000318	NB627_RS02155	CIB43_RS02900
OG0000319	NB627_RS02390	CIB43_RS03125
OG0000320	NB627_RS02530	CIB43_RS03270
OG0000321	NB627_RS01455	CIB43_RS02200
OG0000322	NB627_RS01510	CIB43_RS02245
OG0000323	NB627_RS01640	CIB43_RS02375
OG0000324	NB627_RS02430	CIB43_RS03170
OG0000325	NB627_RS00815	CIB43_RS01570
OG0000326	NB627_RS00910	CIB43_RS01665
OG0000327	NB627_RS00915	CIB43_RS01670
OG0000328	NB627_RS01005	CIB43_RS01760
OG0000329	NB627_RS01025	CIB43_RS01775
OG0000330	NB627_RS01220	CIB43_RS01970
OG0000331	NB627_RS03160	CIB43_RS03890
OG0000332	NB627_RS03305	CIB43_RS00200
OG0000333	NB627_RS03315	CIB43_RS00210
OG0000334	NB627_RS03420	CIB43_RS00315
OG0000335	NB627_RS03430	CIB43_RS00340
OG0000336	NB627_RS03605	CIB43_RS00485
OG0000337	NB627_RS03780	CIB43_RS00655
OG0000338	NB627_RS03820	CIB43_RS00695
OG0000339	NB627_RS02500	CIB43_RS03235
OG0000340	NB627_RS01435	CIB43_RS02185
OG0000341	NB627_RS02455	CIB43_RS03190
OG0000342	NB627_RS00845	CIB43_RS01600
OG0000343	NB627_RS03325	CIB43_RS00215
OG0000344	NB627_RS00685	CIB43_RS01465
OG0000345	NB627_RS01140	CIB43_RS01890
OG0000346	NB627_RS03610	CIB43_RS00490
OG0000347	NB627_RS01535	CIB43_RS02270
OG0000348	NB627_RS00920	CIB43_RS01685
OG0000349	NB627_RS03670	CIB43_RS00550
OG0000350	NB627_RS02945	CIB43_RS03675
OG0000351	NB627_RS00600	CIB43_RS01385
OG0000352	NB627_RS02075	CIB43_RS02830
OG0000353	NB627_RS01500	CIB43_RS02240
OG0000354	NB627_RS00745	CIB43_RS01515
OG0000355	NB627_RS02050	CIB43_RS02805
OG0000356	NB627_RS02130	CIB43_RS02890
OG0000357	NB627_RS03285	CIB43_RS00175
OG0000358	NB627_RS03290	CIB43_RS00180
OG0000359	NB627_RS00890	CIB43_RS01650
OG0000360	NB627_RS00275	CIB43_RS00990
OG0000361	NB627_RS00305	CIB43_RS01020
OG0000362	NB627_RS02730	CIB43_RS03475
OG0000363	NB627_RS01575	CIB43_RS02310
OG0000364	NB627_RS02025	CIB43_RS02775
OG0000369	NB627_RS00025	CIB43_RS00725
OG0000370	NB627_RS00020	CIB43_RS00720
OG0000378	NB627_RS01415	CIB43_RS02160
