Orthogroup	MHP_131B_genes	MFC_MF33_genes
OG0000305	NB627_RS03070	DR085_RS00565
OG0000306	NB627_RS02995	DR085_RS00650
OG0000307	NB627_RS02955	DR085_RS00685
OG0000308	NB627_RS02855	DR085_RS00765
OG0000309	NB627_RS02790	DR085_RS00820
OG0000310	NB627_RS02710	DR085_RS00895
OG0000311	NB627_RS02665	DR085_RS00945
OG0000312	NB627_RS02650	DR085_RS00965
OG0000313	NB627_RS01725	DR085_RS02700
OG0000314	NB627_RS02095	DR085_RS02785
OG0000315	NB627_RS02125	DR085_RS02755
OG0000316	NB627_RS02135	DR085_RS02745
OG0000317	NB627_RS02235	DR085_RS02870
OG0000318	NB627_RS02155	DR085_RS03900
OG0000319	NB627_RS02390	DR085_RS01915
OG0000320	NB627_RS02530	DR085_RS01850
OG0000321	NB627_RS01455	DR085_RS01785
OG0000322	NB627_RS01510	DR085_RS01740
OG0000323	NB627_RS01640	DR085_RS01610
OG0000324	NB627_RS02430	DR085_RS02115
OG0000325	NB627_RS00815	DR085_RS02075
OG0000326	NB627_RS00910	DR085_RS01980
OG0000327	NB627_RS00915	DR085_RS01975
OG0000328	NB627_RS01005	DR085_RS01045
OG0000329	NB627_RS01025	DR085_RS01065
OG0000330	NB627_RS01220	DR085_RS01250
OG0000331	NB627_RS03160	DR085_RS01370
OG0000332	NB627_RS03305	DR085_RS01470
OG0000333	NB627_RS03315	DR085_RS01480
OG0000334	NB627_RS03420	DR085_RS01545
OG0000335	NB627_RS03430	DR085_RS03720
OG0000336	NB627_RS03605	DR085_RS03835
OG0000337	NB627_RS03780	DR085_RS02220
OG0000338	NB627_RS03820	DR085_RS02260
OG0000339	NB627_RS02500	DR085_RS01830
OG0000340	NB627_RS01435	DR085_RS01805
OG0000341	NB627_RS02455	DR085_RS02135
OG0000342	NB627_RS00845	DR085_RS02045
OG0000343	NB627_RS03325	DR085_RS01490
OG0000344	NB627_RS00685	DR085_RS00395
OG0000345	NB627_RS01140	DR085_RS01180
OG0000346	NB627_RS03610	DR085_RS03830
OG0000347	NB627_RS01535	DR085_RS01715
OG0000348	NB627_RS00920	DR085_RS03760
OG0000349	NB627_RS03670	DR085_RS02520
OG0000350	NB627_RS02945	DR085_RS00655
OG0000351	NB627_RS00600	DR085_RS00330
OG0000352	NB627_RS02075	DR085_RS02815
OG0000353	NB627_RS01500	DR085_RS01745
OG0000354	NB627_RS00745	DR085_RS00450
OG0000355	NB627_RS02050	DR085_RS03855
OG0000356	NB627_RS02130	DR085_RS03870
OG0000357	NB627_RS03285	DR085_RS03705
OG0000358	NB627_RS03290	DR085_RS01455
OG0000359	NB627_RS00890	DR085_RS03765
OG0000360	NB627_RS00275	DR085_RS00110
OG0000361	NB627_RS00305	DR085_RS00140
OG0000362	NB627_RS02730	DR085_RS00875
OG0000363	NB627_RS01575	DR085_RS03935
OG0000365	NB627_RS02180	DR085_RS03915
OG0000366	NB627_RS02200	DR085_RS02840
OG0000367	NB627_RS02215	DR085_RS02850
