Orthogroup	MHP_ES2L_genes	MHP_UFV02_genes
OG0000226	HZK19_RS01005	FEF31_RS00685
OG0000227	HZK19_RS01010	FEF31_RS00690
OG0000228	HZK19_RS03950	FEF31_RS04770
OG0000229	HZK19_RS01020	FEF31_RS00700
OG0000230	HZK19_RS01025	FEF31_RS00705
OG0000231	HZK19_RS01035	FEF31_RS00715
OG0000232	HZK19_RS01045	FEF31_RS00725
OG0000233	HZK19_RS01070	FEF31_RS00750
OG0000234	HZK19_RS01105	FEF31_RS00785
OG0000235	HZK19_RS01115	FEF31_RS00795
OG0000236	HZK19_RS01120	FEF31_RS00800
OG0000237	HZK19_RS01125	FEF31_RS00805
OG0000238	HZK19_RS01130	FEF31_RS00810
OG0000239	HZK19_RS02905	FEF31_RS02680
OG0000240	HZK19_RS02910	FEF31_RS02685
OG0000241	HZK19_RS02920	FEF31_RS02695
OG0000242	HZK19_RS02925	FEF31_RS02700
OG0000243	HZK19_RS02930	FEF31_RS02705
OG0000244	HZK19_RS02940	FEF31_RS02715
OG0000245	HZK19_RS02950	FEF31_RS02720
OG0000246	HZK19_RS00125	FEF31_RS03410
OG0000247	HZK19_RS00135	FEF31_RS03420
OG0000248	HZK19_RS00145	FEF31_RS03430
OG0000249	HZK19_RS00150	FEF31_RS03435
OG0000250	HZK19_RS00165	FEF31_RS03450
OG0000251	HZK19_RS00195	FEF31_RS03480
OG0000252	HZK19_RS00205	FEF31_RS03490
OG0000253	HZK19_RS00210	FEF31_RS03495
OG0000254	HZK19_RS00220	FEF31_RS03505
OG0000255	HZK19_RS00225	FEF31_RS03510
OG0000256	HZK19_RS00230	FEF31_RS03515
OG0000257	HZK19_RS00255	FEF31_RS03540
OG0000258	HZK19_RS00265	FEF31_RS03550
OG0000259	HZK19_RS00295	FEF31_RS03580
OG0000260	HZK19_RS00305	FEF31_RS03590
OG0000261	HZK19_RS00315	FEF31_RS04680
OG0000262	HZK19_RS00330	FEF31_RS00010
OG0000263	HZK19_RS00345	FEF31_RS00025
OG0000264	HZK19_RS00360	FEF31_RS00040
OG0000265	HZK19_RS00370	FEF31_RS00050
OG0000266	HZK19_RS00385	FEF31_RS00065
