Orthogroup	MFC_Ms42_genes	MHP_ES2L_genes
OG0000439	MYF_RS02460	HZK19_RS01155
OG0000440	MYF_RS02475	HZK19_RS02915
OG0000441	MYF_RS02515	HZK19_RS02955
OG0000442	MYF_RS00090	HZK19_RS00130
OG0000443	MYF_RS00150	HZK19_RS00175
OG0000444	MYF_RS00165	HZK19_RS00190
OG0000445	MYF_RS00190	HZK19_RS00215
OG0000446	MYF_RS00220	HZK19_RS00240
OG0000447	MYF_RS00225	HZK19_RS00245
OG0000448	MYF_RS00255	HZK19_RS00275
OG0000449	MYF_RS00280	HZK19_RS00300
OG0000450	MYF_RS00290	HZK19_RS00310
OG0000451	MYF_RS00330	HZK19_RS00350
OG0000452	MYF_RS00355	HZK19_RS00375
OG0000453	MYF_RS00390	HZK19_RS00410
OG0000454	MYF_RS03480, MYF_RS03485	HZK19_RS03100
OG0000455	MYF_RS02975	HZK19_RS03560
OG0000456	MYF_RS02860	HZK19_RS03440
OG0000457	MYF_RS02835	HZK19_RS03415
OG0000458	MYF_RS01095	HZK19_RS02480
OG0000459	MYF_RS01070	HZK19_RS02505
OG0000460	MYF_RS01060	HZK19_RS02520
OG0000461	MYF_RS01010	HZK19_RS02560
OG0000462	MYF_RS01015	HZK19_RS02555
OG0000463	MYF_RS01020	HZK19_RS02550
OG0000465	MYF_RS01035	HZK19_RS02545
OG0000466	MYF_RS00360	HZK19_RS00380
OG0000467	MYF_RS03505	HZK19_RS02645
OG0000468	MYF_RS01290	HZK19_RS01930
OG0000469	MYF_RS01425	HZK19_RS01990
OG0000470	MYF_RS02135	HZK19_RS00815
OG0000471	MYF_RS02215	HZK19_RS00895
OG0000472	MYF_RS03535	HZK19_RS03370
OG0000473	MYF_RS02960	HZK19_RS03545
OG0000474	MYF_RS02965	HZK19_RS03550
OG0000475	MYF_RS02970	HZK19_RS03555
OG0000476	MYF_RS03040	HZK19_RS01520
OG0000477	MYF_RS00930	HZK19_RS02585
OG0000478	MYF_RS02905	HZK19_RS03490
OG0000479	MYF_RS01680	HZK19_RS01295
OG0000480	MYF_RS03350	HZK19_RS01995
OG0000481	MYF_RS02110	HZK19_RS00790
OG0000483	MYF_RS01375	HZK19_RS02040
OG0000484	MYF_RS00160	HZK19_RS00185
OG0000485	MYF_RS02445	HZK19_RS01140
OG0000486	MYF_RS01925	HZK19_RS02275
OG0000487	MYF_RS01445	HZK19_RS01970
OG0000488	MYF_RS01405	HZK19_RS02010
OG0000489	MYF_RS00050	HZK19_RS00050
OG0000490	MYF_RS03140	HZK19_RS03655
OG0000491	MYF_RS01700	HZK19_RS01315
OG0000492	MYF_RS01775	HZK19_RS01390
OG0000493	MYF_RS00535	HZK19_RS00570
OG0000494	MYF_RS00585	HZK19_RS00630
OG0000495	MYF_RS00735	HZK19_RS02800
OG0000496	MYF_RS00745	HZK19_RS02790
OG0000497	MYF_RS00750	HZK19_RS02785
OG0000498	MYF_RS00820	HZK19_RS02705
OG0000499	MYF_RS00865	HZK19_RS02670
OG0000500	MYF_RS01255	HZK19_RS01890
OG0000501	MYF_RS02590	HZK19_RS03010
OG0000502	MYF_RS01985	HZK19_RS01165
OG0000503	MYF_RS02055	HZK19_RS00735
OG0000504	MYF_RS02190	HZK19_RS00870
OG0000505	MYF_RS02225	HZK19_RS00905
OG0000506	MYF_RS02235	HZK19_RS00915
OG0000507	MYF_RS02270	HZK19_RS00950
OG0000508	MYF_RS00215	HZK19_RS00235
OG0000509	MYF_RS00250	HZK19_RS00270
OG0000510	MYF_RS00260	HZK19_RS00280
OG0000511	MYF_RS00395	HZK19_RS00415
OG0000513	MYF_RS02890	HZK19_RS03475
OG0000514	MYF_RS00710	HZK19_RS02825
OG0000516	MYF_RS01440	HZK19_RS01975
OG0000517	MYF_RS00065	HZK19_RS00065
OG0000518	MYF_RS02630	HZK19_RS03145
OG0000519	MYF_RS02080	HZK19_RS00760
OG0000520	MYF_RS02205	HZK19_RS00885
OG0000521	MYF_RS00230	HZK19_RS00250
OG0000522	MYF_RS00265	HZK19_RS00285
OG0000523	MYF_RS02830	HZK19_RS03410
OG0000524	MYF_RS00890	HZK19_RS02640
