Orthogroup	MHP_Ue273_genes	MHP_131B_genes
OG0000314	VQY17_RS02030	NB627_RS02095
OG0000315	VQY17_RS02060	NB627_RS02125
OG0000316	VQY17_RS02070	NB627_RS02135
OG0000317	VQY17_RS02170	NB627_RS02235
OG0000318	VQY17_RS02075	NB627_RS02155
OG0000319	VQY17_RS02235	NB627_RS02390
OG0000320	VQY17_RS02365	NB627_RS02530
OG0000321	VQY17_RS01350	NB627_RS01455
OG0000322	VQY17_RS01400	NB627_RS01510
OG0000323	VQY17_RS01530	NB627_RS01640
OG0000324	VQY17_RS02275	NB627_RS02430
OG0000325	VQY17_RS00700	NB627_RS00815
OG0000326	VQY17_RS00800	NB627_RS00910
OG0000327	VQY17_RS00805	NB627_RS00915
OG0000328	VQY17_RS00890	NB627_RS01005
OG0000329	VQY17_RS00915	NB627_RS01025
OG0000330	VQY17_RS01135	NB627_RS01220
OG0000331	VQY17_RS02960	NB627_RS03160
OG0000332	VQY17_RS03100	NB627_RS03305
OG0000333	VQY17_RS03110	NB627_RS03315
OG0000334	VQY17_RS03215	NB627_RS03420
OG0000335	VQY17_RS03225	NB627_RS03430
OG0000336	VQY17_RS03400	NB627_RS03605
OG0000337	VQY17_RS03575	NB627_RS03780
OG0000338	VQY17_RS03615	NB627_RS03820
OG0000339	VQY17_RS02340	NB627_RS02500
OG0000340	VQY17_RS01330	NB627_RS01435
OG0000341	VQY17_RS02295	NB627_RS02455
OG0000342	VQY17_RS00730	NB627_RS00845
OG0000343	VQY17_RS03120	NB627_RS03325
OG0000344	VQY17_RS00575	NB627_RS00685
OG0000345	VQY17_RS01055	NB627_RS01140
OG0000346	VQY17_RS03405	NB627_RS03610
OG0000347	VQY17_RS01425	NB627_RS01535
OG0000348	VQY17_RS00810	NB627_RS00920
OG0000349	VQY17_RS03470	NB627_RS03670
OG0000350	VQY17_RS02735	NB627_RS02945
OG0000351	VQY17_RS00495	NB627_RS00600
OG0000352	VQY17_RS02010	NB627_RS02075
OG0000353	VQY17_RS01390	NB627_RS01500
OG0000354	VQY17_RS00635	NB627_RS00745
OG0000355	VQY17_RS01985	NB627_RS02050
OG0000356	VQY17_RS02065	NB627_RS02130
OG0000357	VQY17_RS03080	NB627_RS03285
OG0000358	VQY17_RS03085	NB627_RS03290
OG0000359	VQY17_RS00780	NB627_RS00890
OG0000360	VQY17_RS00280	NB627_RS00275
OG0000361	VQY17_RS00310	NB627_RS00305
OG0000362	VQY17_RS02535	NB627_RS02730
OG0000363	VQY17_RS01465	NB627_RS01575
