Orthogroup	MFC_ATCC27716_genes	MHP_UFV02_genes
OG0000393	MFC_RS01080	FEF31_RS04550
OG0000394	MFC_RS01145	FEF31_RS02475
OG0000395	MFC_RS01150	FEF31_RS02470
OG0000396	MFC_RS01280	FEF31_RS02160
OG0000397	MFC_RS01325	FEF31_RS01665
OG0000398	MFC_RS01330	FEF31_RS01670
OG0000399	MFC_RS01375	FEF31_RS01715
OG0000400	MFC_RS01450	FEF31_RS03625
OG0000401	MFC_RS01510	FEF31_RS03685
OG0000402	MFC_RS01520	FEF31_RS03695
OG0000403	MFC_RS01530	FEF31_RS03705
OG0000404	MFC_RS03375, MFC_RS01555	FEF31_RS03730
OG0000405	MFC_RS01570	FEF31_RS04800
OG0000406	MFC_RS01600	FEF31_RS03805
OG0000407	MFC_RS01605	FEF31_RS04695
OG0000408	MFC_RS01610	FEF31_RS03815
OG0000409	MFC_RS01615	FEF31_RS03820
OG0000410	MFC_RS01650	FEF31_RS02985
OG0000411	MFC_RS01660	FEF31_RS02975
OG0000412	MFC_RS01665	FEF31_RS02970
OG0000413	MFC_RS01705	FEF31_RS01180
OG0000414	MFC_RS01715	FEF31_RS01190
OG0000415	MFC_RS01720	FEF31_RS01195
OG0000416	MFC_RS01730	FEF31_RS01205
OG0000417	MFC_RS01760	FEF31_RS02025
OG0000418	MFC_RS01765	FEF31_RS02020
OG0000419	MFC_RS01825	FEF31_RS00365
OG0000420	MFC_RS01860	FEF31_RS00400
OG0000421	MFC_RS01890	FEF31_RS00435
OG0000422	MFC_RS01900	FEF31_RS00445
OG0000423	MFC_RS01955	FEF31_RS00500
OG0000424	MFC_RS01960	FEF31_RS00505
OG0000425	MFC_RS01970	FEF31_RS00515
OG0000426	MFC_RS01975	FEF31_RS04385
OG0000427	MFC_RS02000	FEF31_RS04390
OG0000428	MFC_RS02030	FEF31_RS00570
OG0000429	MFC_RS02120	FEF31_RS00665
OG0000430	MFC_RS02165	FEF31_RS00710
OG0000431	MFC_RS02175	FEF31_RS00720
OG0000432	MFC_RS02195	FEF31_RS00755
OG0000433	MFC_RS02205	FEF31_RS00770
OG0000434	MFC_RS02210	FEF31_RS00775
OG0000435	MFC_RS02225	FEF31_RS00790
OG0000436	MFC_RS03535	FEF31_RS00815
OG0000437	MFC_RS02270	FEF31_RS00825
OG0000438	MFC_RS02275	FEF31_RS00830
OG0000439	MFC_RS02280	FEF31_RS04400
OG0000440	MFC_RS02295	FEF31_RS02690
OG0000441	MFC_RS02335	FEF31_RS02725
OG0000442	MFC_RS02350	FEF31_RS03415
OG0000443	MFC_RS02410	FEF31_RS03460
OG0000444	MFC_RS02425	FEF31_RS03475
OG0000445	MFC_RS02450	FEF31_RS03500
OG0000446	MFC_RS02480	FEF31_RS03525
OG0000447	MFC_RS02485	FEF31_RS03530
OG0000448	MFC_RS02515	FEF31_RS03560
OG0000449	MFC_RS02540	FEF31_RS03585
OG0000450	MFC_RS02550	FEF31_RS03595
OG0000451	MFC_RS02590	FEF31_RS00030
