Orthogroup	MFC_ATCC27716_genes	MFC_MF22_genes
OG0000301	MFC_RS02630	DR094_RS00725
OG0000302	MFC_RS02635	DR094_RS00720
OG0000303	MFC_RS00835	DR094_RS00585
OG0000304	MFC_RS00865	DR094_RS00550
OG0000305	MFC_RS01010	DR094_RS00420
OG0000306	MFC_RS01090	DR094_RS00340
OG0000307	MFC_RS01130	DR094_RS00300
OG0000308	MFC_RS03020	DR094_RS00225
OG0000309	MFC_RS03075	DR094_RS00170
OG0000310	MFC_RS02895	DR094_RS00095
OG0000311	MFC_RS01220	DR094_RS00045
OG0000312	MFC_RS01240	DR094_RS00025
OG0000313	MFC_RS01290	DR094_RS02585
OG0000314	MFC_RS01360	DR094_RS02905
OG0000315	MFC_RS01390	DR094_RS02935
OG0000316	MFC_RS01400	DR094_RS02945
OG0000317	MFC_RS00110	DR094_RS02685
OG0000318	MFC_RS00020	DR094_RS03800
OG0000319	MFC_RS00420	DR094_RS02055
OG0000320	MFC_RS00485	DR094_RS02120
OG0000321	MFC_RS00550	DR094_RS02185
OG0000322	MFC_RS00595	DR094_RS02230
OG0000323	MFC_RS00725	DR094_RS02805
OG0000324	MFC_RS01775	DR094_RS02470
OG0000325	MFC_RS01815	DR094_RS02430
OG0000326	MFC_RS01905	DR094_RS02335
OG0000327	MFC_RS01910	DR094_RS02330
OG0000328	MFC_RS01995	DR094_RS01470
OG0000329	MFC_RS02020	DR094_RS01490
OG0000330	MFC_RS02200	DR094_RS01675
OG0000331	MFC_RS02315	DR094_RS01795
OG0000332	MFC_RS01505	DR094_RS01895
OG0000333	MFC_RS01515	DR094_RS01905
OG0000334	MFC_RS01585	DR094_RS01970
OG0000335	MFC_RS01595	DR094_RS03715
OG0000336	MFC_RS02805	DR094_RS03640
OG0000337	MFC_RS00280	DR094_RS01135
OG0000338	MFC_RS00240	DR094_RS01095
OG0000339	MFC_RS00505	DR094_RS02140
OG0000340	MFC_RS00530	DR094_RS02165
OG0000341	MFC_RS01755	DR094_RS02490
OG0000342	MFC_RS01845	DR094_RS02400
OG0000343	MFC_RS01525	DR094_RS01915
OG0000344	MFC_RS00850	DR094_RS00570
OG0000345	MFC_RS02130	DR094_RS01605
OG0000346	MFC_RS02800	DR094_RS03635
OG0000347	MFC_RS00620	DR094_RS02255
OG0000348	MFC_RS01915	DR094_RS03740
OG0000349	MFC_RS02745	DR094_RS01270
OG0000350	MFC_RS03345	DR094_RS00335
OG0000351	MFC_RS00785	DR094_RS00635
OG0000352	MFC_RS01340	DR094_RS02885
OG0000353	MFC_RS00590	DR094_RS02225
OG0000354	MFC_RS00900	DR094_RS00520
OG0000355	MFC_RS01315	DR094_RS03775
OG0000356	MFC_RS01395	DR094_RS03825
OG0000357	MFC_RS01485	DR094_RS03700
OG0000358	MFC_RS01490	DR094_RS01880
OG0000359	MFC_RS01885	DR094_RS03745
OG0000360	MFC_RS02500	DR094_RS00855
OG0000361	MFC_RS02530	DR094_RS00825
OG0000362	MFC_RS02915	DR094_RS00115
OG0000363	MFC_RS00660	DR094_RS02300
OG0000365	MFC_RS00050	DR094_RS03785
OG0000366	MFC_RS00080	DR094_RS02655
OG0000367	MFC_RS00090	DR094_RS02665
OG0000368	MFC_RS00175	DR094_RS01030
OG0000369	MFC_RS00210	DR094_RS03585
OG0000370	MFC_RS00215	DR094_RS01070
OG0000371	MFC_RS00220	DR094_RS01075
OG0000372	MFC_RS00225	DR094_RS01080
