Orthogroup	MFC_ATCC27716_genes	MHP_111A_genes
OG0000399	MFC_RS01375	NB623_RS02125
OG0000400	MFC_RS01450	NB623_RS03210
OG0000401	MFC_RS01510	NB623_RS03275
OG0000402	MFC_RS01520	NB623_RS03285
OG0000403	MFC_RS01530	NB623_RS03295
OG0000404	MFC_RS03375, MFC_RS01555	NB623_RS03325
OG0000405	MFC_RS01570	NB623_RS03340
OG0000406	MFC_RS01600	NB623_RS03395
OG0000407	MFC_RS01605	NB623_RS03400
OG0000408	MFC_RS01610	NB623_RS03405
OG0000409	MFC_RS01615	NB623_RS03410
OG0000410	MFC_RS01650	NB623_RS03495
OG0000411	MFC_RS01660	NB623_RS03480
OG0000413	MFC_RS01705	NB623_RS01640
OG0000414	MFC_RS01715	NB623_RS01650
OG0000415	MFC_RS01720	NB623_RS01655
OG0000416	MFC_RS01730	NB623_RS01665
OG0000417	MFC_RS01760	NB623_RS02430
OG0000418	MFC_RS01765	NB623_RS02420
OG0000419	MFC_RS01825	NB623_RS00715
OG0000420	MFC_RS01860	NB623_RS00750
OG0000421	MFC_RS01890	NB623_RS00790
OG0000422	MFC_RS01900	NB623_RS00800
OG0000423	MFC_RS01955	NB623_RS00855
OG0000424	MFC_RS01960	NB623_RS00860
OG0000425	MFC_RS01970	NB623_RS00870
OG0000426	MFC_RS01975	NB623_RS00875
OG0000427	MFC_RS02000	NB623_RS00900
OG0000428	MFC_RS02030	NB623_RS00925
OG0000429	MFC_RS02120	NB623_RS01145
OG0000430	MFC_RS02165	NB623_RS01190
OG0000431	MFC_RS02175	NB623_RS01200
OG0000432	MFC_RS02195	NB623_RS01230
OG0000433	MFC_RS02205	NB623_RS01245
OG0000434	MFC_RS02210	NB623_RS01255
OG0000435	MFC_RS02225	NB623_RS01265
OG0000436	MFC_RS03535	NB623_RS01290
OG0000437	MFC_RS02270	NB623_RS01300
OG0000438	MFC_RS02275	NB623_RS01305
OG0000439	MFC_RS02280	NB623_RS01310
OG0000440	MFC_RS02295	NB623_RS03115
OG0000441	MFC_RS02335	NB623_RS03150
OG0000442	MFC_RS02350	NB623_RS00135
OG0000443	MFC_RS02410	NB623_RS00180
OG0000444	MFC_RS02425	NB623_RS00195
OG0000445	MFC_RS02450	NB623_RS00220
OG0000446	MFC_RS02480	NB623_RS00245
OG0000447	MFC_RS02485	NB623_RS00255
OG0000448	MFC_RS02515	NB623_RS00280
OG0000449	MFC_RS02540	NB623_RS00305
OG0000450	MFC_RS02550	NB623_RS00315
OG0000451	MFC_RS02590	NB623_RS00355
OG0000452	MFC_RS02615	NB623_RS00380
OG0000453	MFC_RS02650	NB623_RS00415
OG0000455	MFC_RS02700	NB623_RS03705
OG0000456	MFC_RS02815	NB623_RS03580
OG0000457	MFC_RS02840	NB623_RS03545
OG0000458	MFC_RS02885	NB623_RS02670
OG0000459	MFC_RS02910	NB623_RS02700
OG0000460	MFC_RS02920	NB623_RS02710
OG0000461	MFC_RS03080	NB623_RS02755
OG0000462	MFC_RS03085	NB623_RS02750
OG0000463	MFC_RS03090	NB623_RS02745
OG0000464	MFC_RS03100	NB623_RS02740
OG0000465	MFC_RS03105	NB623_RS02735
OG0000466	MFC_RS02620	NB623_RS00385
OG0000467	MFC_RS03500	NB623_RS02845
OG0000468	MFC_RS01370	NB623_RS02130
OG0000469	MFC_RS00045	NB623_RS02070
OG0000470	MFC_RS01950	NB623_RS00850
OG0000471	MFC_RS02035	NB623_RS00930
OG0000472	MFC_RS01680	NB623_RS03500
OG0000473	MFC_RS02715	NB623_RS03690
OG0000474	MFC_RS02710	NB623_RS03695
OG0000475	MFC_RS02705	NB623_RS03700
OG0000476	MFC_RS00345	NB623_RS01675
OG0000477	MFC_RS03055	NB623_RS02785
OG0000478	MFC_RS02770	NB623_RS03630
OG0000479	MFC_RS00545	NB623_RS01445
OG0000480	MFC_RS03300	NB623_RS02065
OG0000481	MFC_RS01925	NB623_RS00825
OG0000482	MFC_RS01790	NB623_RS01330
OG0000483	MFC_RS00095	NB623_RS02020
OG0000484	MFC_RS02420	NB623_RS00190
OG0000488	MFC_RS00065	NB623_RS02055
OG0000490	MFC_RS00245	NB623_RS03800
OG0000493	MFC_RS00855	NB623_RS00575
OG0000494	MFC_RS00905	NB623_RS00635
OG0000495	MFC_RS01055	NB623_RS03005
OG0000496	MFC_RS01065	NB623_RS02990
OG0000497	MFC_RS01070	NB623_RS02985
OG0000498	MFC_RS01140	NB623_RS02900
OG0000499	MFC_RS01185	NB623_RS02865
OG0000500	MFC_RS01335	NB623_RS02165
OG0000501	MFC_RS01460	NB623_RS03220
OG0000502	MFC_RS01800	NB623_RS01320
OG0000503	MFC_RS01870	NB623_RS00765
OG0000504	MFC_RS02005	NB623_RS00905
OG0000505	MFC_RS02045	NB623_RS01065
OG0000506	MFC_RS02055	NB623_RS01075
OG0000507	MFC_RS02090	NB623_RS01110
OG0000509	MFC_RS02510	NB623_RS00275
OG0000510	MFC_RS02520	NB623_RS00285
OG0000511	MFC_RS02655	NB623_RS00420
OG0000512	MFC_RS02925	NB623_RS02715
OG0000516	MFC_RS00030	NB623_RS02090
OG0000517	MFC_RS00170	NB623_RS00065
OG0000519	MFC_RS01895	NB623_RS00795
OG0000520	MFC_RS02025	NB623_RS00920
OG0000522	MFC_RS02525	NB623_RS00290
OG0000523	MFC_RS02845	NB623_RS03540
OG0000524	MFC_RS03015	NB623_RS02840
OG0000525	MFC_RS01685	NB623_RS03505
OG0000528	MFC_RS00035	NB623_RS02080
OG0000531	MFC_RS00615	NB623_RS01520
OG0000532	MFC_RS00940	NB623_RS01745
OG0000533	MFC_RS02185	NB623_RS00595
OG0000534	MFC_RS02605	NB623_RS00370
OG0000536	MFC_RS00315	NB623_RS03735
OG0000540	MFC_RS03035	NB623_RS02805
OG0000541	MFC_RS01170	NB623_RS02880
OG0000555	MFC_RS03340	NB623_RS03080
OG0000589	MFC_RS03260	NB623_RS01010
OG0000596	MFC_RS02370	NB623_RS01870
OG0000598	MFC_RS02365	NB623_RS01875
OG0000599	MFC_RS02360	NB623_RS01880
