Orthogroup	MFC_ATCC27716_genes	MHP_ES2L_genes
OG0000328	MFC_RS01995	HZK19_RS00860
OG0000329	MFC_RS02020	HZK19_RS00880
OG0000330	MFC_RS02200	HZK19_RS01080
OG0000331	MFC_RS02315	HZK19_RS02935
OG0000332	MFC_RS01505	HZK19_RS03150
OG0000333	MFC_RS01515	HZK19_RS03160
OG0000334	MFC_RS01585	HZK19_RS03270
OG0000335	MFC_RS01595	HZK19_RS03280
OG0000336	MFC_RS02805	HZK19_RS03450
OG0000337	MFC_RS00280	HZK19_RS03620
OG0000338	MFC_RS00240	HZK19_RS03660
OG0000339	MFC_RS00505	HZK19_RS02305
OG0000340	MFC_RS00530	HZK19_RS01280
OG0000341	MFC_RS01755	HZK19_RS02260
OG0000342	MFC_RS01845	HZK19_RS00705
OG0000343	MFC_RS01525	HZK19_RS03170
OG0000344	MFC_RS00850	HZK19_RS00565
OG0000345	MFC_RS02130	HZK19_RS00995
OG0000346	MFC_RS02800	HZK19_RS03455
OG0000347	MFC_RS00620	HZK19_RS01370
OG0000348	MFC_RS01915	HZK19_RS00780
OG0000349	MFC_RS02745	HZK19_RS03515
OG0000350	MFC_RS03345	HZK19_RS02725
OG0000351	MFC_RS00785	HZK19_RS00480
OG0000352	MFC_RS01340	HZK19_RS01895
OG0000353	MFC_RS00590	HZK19_RS01340
OG0000354	MFC_RS00900	HZK19_RS00625
OG0000355	MFC_RS01315	HZK19_RS01870
OG0000356	MFC_RS01395	HZK19_RS01955
OG0000357	MFC_RS01485	HZK19_RS03130
OG0000358	MFC_RS01490	HZK19_RS03135
OG0000359	MFC_RS01885	HZK19_RS00750
OG0000360	MFC_RS02500	HZK19_RS00260
OG0000361	MFC_RS02530	HZK19_RS00290
OG0000362	MFC_RS02915	HZK19_RS02510
OG0000363	MFC_RS00660	HZK19_RS03730
OG0000365	MFC_RS00050	HZK19_RS02000
OG0000366	MFC_RS00080	HZK19_RS02025
OG0000367	MFC_RS00090	HZK19_RS02035
OG0000368	MFC_RS00175	HZK19_RS00060
OG0000369	MFC_RS00210	HZK19_RS00025
OG0000370	MFC_RS00215	HZK19_RS00020
OG0000371	MFC_RS00220	HZK19_RS00015
OG0000372	MFC_RS00225	HZK19_RS00010
OG0000373	MFC_RS00250	HZK19_RS03650
OG0000374	MFC_RS00260	HZK19_RS03640
OG0000375	MFC_RS00415	HZK19_RS02195
OG0000376	MFC_RS00470	HZK19_RS02345
OG0000377	MFC_RS00480	HZK19_RS02335
OG0000378	MFC_RS00515	HZK19_RS01260
OG0000379	MFC_RS00585	HZK19_RS01335
OG0000380	MFC_RS00610	HZK19_RS01360
OG0000381	MFC_RS00650	HZK19_RS01400
