Orthogroup	MHP_LH_genes	MHP_154B_genes
OG0000489	KUD10_RS00050	NB624_RS00050
OG0000490	KUD10_RS03680	NB624_RS03750
OG0000491	KUD10_RS01420	NB624_RS01340
OG0000492	KUD10_RS01495	NB624_RS01415
OG0000493	KUD10_RS00585	NB624_RS00575
OG0000494	KUD10_RS00650	NB624_RS01040
OG0000495	KUD10_RS02910	NB624_RS02995
OG0000496	KUD10_RS02900	NB624_RS02985
OG0000497	KUD10_RS02895	NB624_RS02980
OG0000498	KUD10_RS02820	NB624_RS02905
OG0000499	KUD10_RS02785	NB624_RS02865
OG0000500	KUD10_RS01980	NB624_RS01935
OG0000501	KUD10_RS03135	NB624_RS03225
OG0000502	KUD10_RS01270	NB624_RS01190
OG0000503	KUD10_RS00755	NB624_RS00915
OG0000504	KUD10_RS00890	NB624_RS00780
OG0000505	KUD10_RS00925	NB624_RS00745
OG0000506	KUD10_RS00935	NB624_RS00735
OG0000507	KUD10_RS00970	NB624_RS00700
OG0000508	KUD10_RS00250	NB624_RS00250
OG0000509	KUD10_RS00285	NB624_RS00285
OG0000510	KUD10_RS00295	NB624_RS00295
OG0000511	KUD10_RS00430	NB624_RS00430
OG0000512	KUD10_RS02635	NB624_RS02710
OG0000513	KUD10_RS03495	NB624_RS03570
OG0000514	KUD10_RS02935	NB624_RS03020
OG0000517	KUD10_RS00065	NB624_RS00065
OG0000519	KUD10_RS00780	NB624_RS00890
OG0000520	KUD10_RS00905	NB624_RS00765
OG0000521	KUD10_RS00265	NB624_RS00265
OG0000522	KUD10_RS00300	NB624_RS00300
OG0000524	KUD10_RS02755	NB624_RS02840
OG0000525	KUD10_RS03395	NB624_RS03490
OG0000526	KUD10_RS01895	NB624_RS01830
OG0000527	KUD10_RS01830	NB624_RS01770
OG0000528	KUD10_RS02065	NB624_RS02020
OG0000529	KUD10_RS02305	NB624_RS02375
OG0000532	KUD10_RS01685	NB624_RS01615
OG0000533	KUD10_RS00605	NB624_RS01085
OG0000534	KUD10_RS00380	NB624_RS00380
OG0000536	KUD10_RS03615	NB624_RS03685
