Orthogroup	MHP_ES2L_genes	MHP_ES2_genes
OG0000346	HZK19_RS03455	E5E95_RS03625
OG0000347	HZK19_RS01370	E5E95_RS01420
OG0000348	HZK19_RS00780	E5E95_RS00805
OG0000349	HZK19_RS03515	E5E95_RS03685
OG0000350	HZK19_RS02725	E5E95_RS02960
OG0000351	HZK19_RS00480	E5E95_RS00495
OG0000352	HZK19_RS01895	E5E95_RS02050
OG0000353	HZK19_RS01340	E5E95_RS01390
OG0000354	HZK19_RS00625	E5E95_RS00635
OG0000355	HZK19_RS01870	E5E95_RS02020
OG0000356	HZK19_RS01955	E5E95_RS02110
OG0000357	HZK19_RS03130	E5E95_RS03300
OG0000358	HZK19_RS03135	E5E95_RS03305
OG0000359	HZK19_RS00750	E5E95_RS00775
OG0000360	HZK19_RS00260	E5E95_RS00275
OG0000361	HZK19_RS00290	E5E95_RS00305
OG0000362	HZK19_RS02510	E5E95_RS02745
OG0000363	HZK19_RS03730	E5E95_RS03985
OG0000364	HZK19_RS03760, HZK19_RS01855	E5E95_RS01995
OG0000365	HZK19_RS02000	E5E95_RS02150
OG0000366	HZK19_RS02025	E5E95_RS02175
OG0000367	HZK19_RS02035	E5E95_RS02185
OG0000368	HZK19_RS00060	E5E95_RS00060
OG0000369	HZK19_RS00025	E5E95_RS00025
OG0000370	HZK19_RS00020	E5E95_RS00020
OG0000371	HZK19_RS00015	E5E95_RS00015
OG0000372	HZK19_RS00010	E5E95_RS00010
OG0000373	HZK19_RS03650	E5E95_RS03825
OG0000374	HZK19_RS03640	E5E95_RS03815
OG0000375	HZK19_RS02195	E5E95_RS02340
OG0000376	HZK19_RS02345	E5E95_RS02585
OG0000377	HZK19_RS02335	E5E95_RS02575
OG0000378	HZK19_RS01260	E5E95_RS01310
OG0000379	HZK19_RS01335	E5E95_RS01385
OG0000380	HZK19_RS01360	E5E95_RS01410
OG0000381	HZK19_RS01400	E5E95_RS01450
OG0000382	HZK19_RS01430	E5E95_RS01480
OG0000383	HZK19_RS01470	E5E95_RS01520
OG0000384	HZK19_RS00505	E5E95_RS00515
OG0000385	HZK19_RS00510	E5E95_RS00520
OG0000386	HZK19_RS00530	E5E95_RS00540
OG0000387	HZK19_RS00555	E5E95_RS00565
OG0000388	HZK19_RS00560	E5E95_RS00570
OG0000389	HZK19_RS00605	E5E95_RS00615
OG0000390	HZK19_RS02865	E5E95_RS03100
OG0000391	HZK19_RS02855	E5E95_RS03090
OG0000392	HZK19_RS02830	E5E95_RS03065
OG0000393	HZK19_RS02775	E5E95_RS03010
OG0000394	HZK19_RS02700	E5E95_RS02940
OG0000395	HZK19_RS02695	E5E95_RS02930
OG0000397	HZK19_RS01880	E5E95_RS02035
OG0000398	HZK19_RS01885	E5E95_RS02040
OG0000399	HZK19_RS01935	E5E95_RS02090
OG0000400	HZK19_RS03000	E5E95_RS03265
OG0000401	HZK19_RS03155	E5E95_RS03325
OG0000402	HZK19_RS03165	E5E95_RS03335
OG0000403	HZK19_RS03175	E5E95_RS03345
OG0000404	HZK19_RS03205	E5E95_RS03375
OG0000405	HZK19_RS03220	E5E95_RS03390
OG0000406	HZK19_RS03285	E5E95_RS03455
OG0000407	HZK19_RS03290	E5E95_RS03460
OG0000408	HZK19_RS03295	E5E95_RS03465
OG0000409	HZK19_RS03300	E5E95_RS03470
OG0000410	HZK19_RS03360	E5E95_RS03530
OG0000411	HZK19_RS03350	E5E95_RS03520
OG0000412	HZK19_RS03345	E5E95_RS03515
OG0000413	HZK19_RS01485	E5E95_RS01535
OG0000414	HZK19_RS01495	E5E95_RS01545
OG0000415	HZK19_RS01500	E5E95_RS01550
OG0000416	HZK19_RS01510	E5E95_RS01560
OG0000417	HZK19_RS02255	E5E95_RS02400
OG0000418	HZK19_RS02250	E5E95_RS02395
OG0000419	HZK19_RS00685	E5E95_RS00710
OG0000420	HZK19_RS00720	E5E95_RS00745
OG0000421	HZK19_RS00755	E5E95_RS00780
OG0000422	HZK19_RS00765	E5E95_RS00790
OG0000423	HZK19_RS00820	E5E95_RS00845
OG0000424	HZK19_RS00825	E5E95_RS00850
OG0000425	HZK19_RS00835	E5E95_RS00860
OG0000426	HZK19_RS00840	E5E95_RS00865
OG0000427	HZK19_RS00865	E5E95_RS00890
OG0000428	HZK19_RS00890	E5E95_RS00915
OG0000429	HZK19_RS00985	E5E95_RS01030
OG0000430	HZK19_RS01030	E5E95_RS01075
OG0000431	HZK19_RS01040	E5E95_RS01085
OG0000432	HZK19_RS01075	E5E95_RS01115
OG0000433	HZK19_RS01090	E5E95_RS01130
OG0000434	HZK19_RS01095	E5E95_RS01135
OG0000435	HZK19_RS01110	E5E95_RS01150
OG0000436	HZK19_RS01135	E5E95_RS01180
OG0000437	HZK19_RS01145	E5E95_RS01190
OG0000438	HZK19_RS01150	E5E95_RS01195
OG0000439	HZK19_RS01155	E5E95_RS01200
OG0000440	HZK19_RS02915	E5E95_RS03155
OG0000441	HZK19_RS02955	E5E95_RS03195
OG0000442	HZK19_RS00130	E5E95_RS00135
OG0000443	HZK19_RS00175	E5E95_RS00185
OG0000444	HZK19_RS00190	E5E95_RS00200
OG0000445	HZK19_RS00215	E5E95_RS00225
OG0000446	HZK19_RS00240	E5E95_RS00255
OG0000447	HZK19_RS00245	E5E95_RS00260
OG0000448	HZK19_RS00275	E5E95_RS00290
OG0000449	HZK19_RS00300	E5E95_RS00315
OG0000450	HZK19_RS00310	E5E95_RS00325
OG0000451	HZK19_RS00350	E5E95_RS00365
OG0000452	HZK19_RS00375	E5E95_RS00390
OG0000453	HZK19_RS00410	E5E95_RS00425
OG0000454	HZK19_RS03100	E5E95_RS02455
OG0000455	HZK19_RS03560	E5E95_RS03730
OG0000456	HZK19_RS03440	E5E95_RS03610
OG0000457	HZK19_RS03415	E5E95_RS03585
OG0000458	HZK19_RS02480	E5E95_RS02715
OG0000459	HZK19_RS02505	E5E95_RS02740
OG0000460	HZK19_RS02520	E5E95_RS02750
OG0000461	HZK19_RS02560	E5E95_RS02795
OG0000462	HZK19_RS02555	E5E95_RS02790
OG0000463	HZK19_RS02550	E5E95_RS02785
OG0000465	HZK19_RS02545	E5E95_RS02775
OG0000466	HZK19_RS00380	E5E95_RS00395
OG0000467	HZK19_RS02645	E5E95_RS02880
OG0000468	HZK19_RS01930	E5E95_RS02085
OG0000469	HZK19_RS01990	E5E95_RS02145
OG0000470	HZK19_RS00815	E5E95_RS03895
OG0000471	HZK19_RS00895	E5E95_RS00920
OG0000472	HZK19_RS03370	E5E95_RS03540
OG0000473	HZK19_RS03545	E5E95_RS03715
OG0000474	HZK19_RS03550	E5E95_RS03720
OG0000475	HZK19_RS03555	E5E95_RS03725
OG0000476	HZK19_RS01520	E5E95_RS01570
OG0000477	HZK19_RS02585	E5E95_RS02820
OG0000478	HZK19_RS03490	E5E95_RS03660
OG0000479	HZK19_RS01295	E5E95_RS01345
OG0000480	HZK19_RS01995	E5E95_RS03865
OG0000481	HZK19_RS00790	E5E95_RS00815
OG0000483	HZK19_RS02040	E5E95_RS02190
OG0000484	HZK19_RS00185	E5E95_RS00195
OG0000485	HZK19_RS01140	E5E95_RS01185
OG0000486	HZK19_RS02275	E5E95_RS02420
OG0000487	HZK19_RS01970	E5E95_RS02125
OG0000488	HZK19_RS02010	E5E95_RS02160
OG0000489	HZK19_RS00050	E5E95_RS00050
