Orthogroup	MHP_ES2_genes	MFC_MF30_genes
OG0000401	E5E95_RS03325	DR084_RS02115
OG0000402	E5E95_RS03335	DR084_RS02125
OG0000403	E5E95_RS03345	DR084_RS02135
OG0000404	E5E95_RS03375	DR084_RS03565
OG0000405	E5E95_RS03390	DR084_RS02170
OG0000406	E5E95_RS03455	DR084_RS02200
OG0000407	E5E95_RS03460	DR084_RS03580
OG0000408	E5E95_RS03465	DR084_RS02210
OG0000409	E5E95_RS03470	DR084_RS02215
OG0000410	E5E95_RS03530	DR084_RS02860
OG0000411	E5E95_RS03520	DR084_RS02870
OG0000412	E5E95_RS03515	DR084_RS02875
OG0000413	E5E95_RS01535	DR084_RS01130
OG0000414	E5E95_RS01545	DR084_RS01140
OG0000415	E5E95_RS01550	DR084_RS01145
OG0000416	E5E95_RS01560	DR084_RS01155
OG0000417	E5E95_RS02400	DR084_RS01185
OG0000418	E5E95_RS02395	DR084_RS01190
OG0000419	E5E95_RS00710	DR084_RS01250
OG0000420	E5E95_RS00745	DR084_RS01285
OG0000421	E5E95_RS00780	DR084_RS01320
OG0000422	E5E95_RS00790	DR084_RS01330
OG0000423	E5E95_RS00845	DR084_RS01385
OG0000424	E5E95_RS00850	DR084_RS01390
OG0000425	E5E95_RS00860	DR084_RS01400
OG0000426	E5E95_RS00865	DR084_RS03530
OG0000427	E5E95_RS00890	DR084_RS03535
OG0000428	E5E95_RS00915	DR084_RS01455
OG0000429	E5E95_RS01030	DR084_RS01550
OG0000430	E5E95_RS01075	DR084_RS01595
OG0000431	E5E95_RS01085	DR084_RS01605
OG0000432	E5E95_RS01115	DR084_RS01625
OG0000433	E5E95_RS01130	DR084_RS01635
OG0000434	E5E95_RS01135	DR084_RS01640
OG0000435	E5E95_RS01150	DR084_RS01655
OG0000436	E5E95_RS01180	DR084_RS01690
OG0000437	E5E95_RS01190	DR084_RS01700
OG0000438	E5E95_RS01195	DR084_RS03545
OG0000439	E5E95_RS01200	DR084_RS01710
OG0000440	E5E95_RS03155	DR084_RS01725
OG0000441	E5E95_RS03195	DR084_RS01765
OG0000442	E5E95_RS00135	DR084_RS02390
OG0000443	E5E95_RS00185	DR084_RS00025
OG0000444	E5E95_RS00200	DR084_RS00040
OG0000445	E5E95_RS00225	DR084_RS00065
OG0000446	E5E95_RS00255	DR084_RS00090
OG0000447	E5E95_RS00260	DR084_RS00095
OG0000448	E5E95_RS00290	DR084_RS00125
OG0000449	E5E95_RS00315	DR084_RS00150
OG0000450	E5E95_RS00325	DR084_RS00160
OG0000451	E5E95_RS00365	DR084_RS00200
OG0000452	E5E95_RS00390	DR084_RS00225
OG0000453	E5E95_RS00425	DR084_RS00260
OG0000455	E5E95_RS03730	DR084_RS03615
OG0000456	E5E95_RS03610	DR084_RS02620
OG0000457	E5E95_RS03585	DR084_RS02645
OG0000458	E5E95_RS02715	DR084_RS00880
OG0000459	E5E95_RS02740	DR084_RS00855
OG0000460	E5E95_RS02750	DR084_RS00845
OG0000461	E5E95_RS02795	DR084_RS00800
OG0000462	E5E95_RS02790	DR084_RS00805
OG0000463	E5E95_RS02785	DR084_RS00810
OG0000464	E5E95_RS02780	DR084_RS00815
OG0000465	E5E95_RS02775	DR084_RS00820
OG0000466	E5E95_RS00395	DR084_RS00230
OG0000467	E5E95_RS02880	DR084_RS03485
OG0000468	E5E95_RS02085	DR084_RS01075
OG0000469	E5E95_RS02145	DR084_RS02850
OG0000470	E5E95_RS03895	DR084_RS01380
OG0000471	E5E95_RS00920	DR084_RS01460
OG0000472	E5E95_RS03540	DR084_RS02670
OG0000473	E5E95_RS03715	DR084_RS02455
OG0000474	E5E95_RS03720	DR084_RS02460
OG0000475	E5E95_RS03725	DR084_RS02465
OG0000476	E5E95_RS01570	DR084_RS02500
OG0000477	E5E95_RS02820	DR084_RS00775
OG0000478	E5E95_RS03660	DR084_RS02570
OG0000479	E5E95_RS01345	DR084_RS01920
OG0000480	E5E95_RS03865	DR084_RS03020
OG0000481	E5E95_RS00815	DR084_RS01355
OG0000482	E5E95_RS01230	DR084_RS01215
OG0000483	E5E95_RS02190	DR084_RS02715
OG0000484	E5E95_RS00195	DR084_RS03445
OG0000485	E5E95_RS01185	DR084_RS01695
OG0000486	E5E95_RS02420	DR084_RS01165
OG0000487	E5E95_RS02125	DR084_RS03685
OG0000488	E5E95_RS02160	DR084_RS02685
OG0000489	E5E95_RS00050	DR084_RS02350
OG0000490	E5E95_RS03830	DR084_RS02290
OG0000491	E5E95_RS01365	DR084_RS01940
OG0000492	E5E95_RS01440	DR084_RS02015
OG0000493	E5E95_RS00580	DR084_RS00400
OG0000494	E5E95_RS00640	DR084_RS00450
OG0000495	E5E95_RS03035	DR084_RS00590
OG0000496	E5E95_RS03025	DR084_RS00600
OG0000497	E5E95_RS03020	DR084_RS00605
OG0000500	E5E95_RS02045	DR084_RS01040
OG0000501	E5E95_RS04280, E5E95_RS04275	DR084_RS02065
OG0000502	E5E95_RS01220	DR084_RS01225
OG0000503	E5E95_RS00760	DR084_RS01300
OG0000504	E5E95_RS00895	DR084_RS01435
OG0000506	E5E95_RS00960	DR084_RS01480
OG0000508	E5E95_RS00250	DR084_RS00085
OG0000509	E5E95_RS00285	DR084_RS00120
OG0000510	E5E95_RS00295	DR084_RS00130
OG0000511	E5E95_RS00430	DR084_RS00265
OG0000512	E5E95_RS02755	DR084_RS00840
OG0000513	E5E95_RS03645	DR084_RS02585
OG0000514	E5E95_RS03060	DR084_RS00565
