Orthogroup	MHP_TB1_genes	MFC_MF18_genes
OG0000177	B5M19_RS01565	DR082_RS01755
OG0000178	B5M19_RS04200	DR082_RS01760
OG0000179	B5M19_RS01580	DR082_RS01770
OG0000180	B5M19_RS01585	DR082_RS01775
OG0000181	B5M19_RS03045	DR082_RS03760
OG0000182	B5M19_RS03035	DR082_RS01800
OG0000183	B5M19_RS03000	DR082_RS01835
OG0000184	B5M19_RS03105	DR082_RS02940
OG0000185	B5M19_RS03120	DR082_RS02925
OG0000186	B5M19_RS03550	DR082_RS02095
OG0000187	B5M19_RS03535	DR082_RS02110
OG0000188	B5M19_RS03525	DR082_RS02120
OG0000189	B5M19_RS03210	DR082_RS03800
OG0000190	B5M19_RS03215	DR082_RS02135
OG0000191	B5M19_RS03235	DR082_RS02155
OG0000192	B5M19_RS03675	DR082_RS02165
OG0000193	B5M19_RS02360	DR082_RS02180
OG0000194	B5M19_RS01855	DR082_RS02190
OG0000195	B5M19_RS01850	DR082_RS02195
OG0000196	B5M19_RS01830	DR082_RS03805
OG0000197	B5M19_RS01825	DR082_RS02220
OG0000198	B5M19_RS01810	DR082_RS02235
OG0000199	B5M19_RS01805	DR082_RS02240
OG0000200	B5M19_RS01790	DR082_RS02255
OG0000201	B5M19_RS01780	DR082_RS02265
OG0000202	B5M19_RS01725	DR082_RS02320
OG0000203	B5M19_RS01720	DR082_RS02325
OG0000204	B5M19_RS01715	DR082_RS01220
OG0000205	B5M19_RS01710	DR082_RS01225
OG0000206	B5M19_RS01690	DR082_RS01245
OG0000207	B5M19_RS01675	DR082_RS01260
OG0000208	B5M19_RS01670	DR082_RS01265
OG0000209	B5M19_RS01665	DR082_RS01270
OG0000210	B5M19_RS01620	DR082_RS01315
OG0000211	B5M19_RS03415	DR082_RS01325
OG0000212	B5M19_RS03405	DR082_RS01335
OG0000213	B5M19_RS03400	DR082_RS01340
OG0000214	B5M19_RS03395	DR082_RS01345
OG0000215	B5M19_RS03390	DR082_RS01350
OG0000216	B5M19_RS03385	DR082_RS01355
OG0000217	B5M19_RS03380	DR082_RS01360
OG0000218	B5M19_RS03370	DR082_RS03735
OG0000219	B5M19_RS03365	DR082_RS01375
OG0000220	B5M19_RS03360	DR082_RS01380
OG0000221	B5M19_RS03355	DR082_RS01385
OG0000222	B5M19_RS03350	DR082_RS01390
OG0000223	B5M19_RS03345	DR082_RS01395
OG0000224	B5M19_RS03130	DR082_RS01405
OG0000225	B5M19_RS03140	DR082_RS01415
OG0000226	B5M19_RS03145	DR082_RS01420
OG0000227	B5M19_RS03150	DR082_RS01425
OG0000228	B5M19_RS04630	DR082_RS03975
OG0000229	B5M19_RS03160	DR082_RS01435
OG0000230	B5M19_RS03165	DR082_RS01440
OG0000231	B5M19_RS03175	DR082_RS01450
OG0000232	B5M19_RS03185	DR082_RS01460
OG0000233	B5M19_RS02225	DR082_RS01470
OG0000234	B5M19_RS04335	DR082_RS01500
OG0000235	B5M19_RS02175	DR082_RS01510
OG0000236	B5M19_RS02170	DR082_RS01515
OG0000237	B5M19_RS02165	DR082_RS01535
OG0000238	B5M19_RS02155	DR082_RS01540
OG0000239	B5M19_RS01315	DR082_RS01570
OG0000240	B5M19_RS01310	DR082_RS01575
OG0000241	B5M19_RS01300	DR082_RS01585
OG0000242	B5M19_RS04160	DR082_RS01590
OG0000243	B5M19_RS01290	DR082_RS01595
OG0000244	B5M19_RS01280	DR082_RS01605
OG0000245	B5M19_RS01270	DR082_RS01615
OG0000246	B5M19_RS00050	DR082_RS00145
OG0000247	B5M19_RS00060	DR082_RS00155
OG0000248	B5M19_RS00070	DR082_RS00180
OG0000249	B5M19_RS00075	DR082_RS00185
OG0000250	B5M19_RS03880	DR082_RS00200
OG0000251	B5M19_RS00125	DR082_RS00230
OG0000252	B5M19_RS00135	DR082_RS00240
OG0000253	B5M19_RS00140	DR082_RS00245
OG0000254	B5M19_RS00150	DR082_RS00255
OG0000255	B5M19_RS00160	DR082_RS00260
OG0000256	B5M19_RS00165	DR082_RS00265
OG0000257	B5M19_RS00190	DR082_RS00290
