Orthogroup	MHP_TB1_genes	MHP_MHP691_genes
OG0000286	B5M19_RS02850	DR087_RS02425
OG0000287	B5M19_RS01050	DR087_RS02940
OG0000288	B5M19_RS01040	DR087_RS02950
OG0000289	B5M19_RS01035	DR087_RS02955
OG0000290	B5M19_RS04120	DR087_RS01285
OG0000291	B5M19_RS00935	DR087_RS01295
OG0000292	B5M19_RS00940	DR087_RS01300
OG0000293	B5M19_RS00945	DR087_RS01305
OG0000294	B5M19_RS00955	DR087_RS01315
OG0000295	B5M19_RS00960	DR087_RS01320
OG0000296	B5M19_RS01000	DR087_RS02990
OG0000297	B5M19_RS01005	DR087_RS02985
OG0000298	B5M19_RS00085	DR087_RS02390
OG0000299	B5M19_RS00110	DR087_RS02365
OG0000300	B5M19_RS00300	DR087_RS01890
OG0000301	B5M19_RS00340	DR087_RS03020
OG0000302	B5M19_RS00345	DR087_RS03025
OG0000303	B5M19_RS02410	DR087_RS02895
OG0000304	B5M19_RS03190	DR087_RS02770
OG0000305	B5M19_RS01385	DR087_RS01440
OG0000306	B5M19_RS02560	DR087_RS01365
OG0000307	B5M19_RS02525	DR087_RS03275
OG0000308	B5M19_RS00905	DR087_RS01265
OG0000309	B5M19_RS00970	DR087_RS01330
OG0000310	B5M19_RS01045	DR087_RS02945
OG0000311	B5M19_RS02790	DR087_RS02485
OG0000312	B5M19_RS02805	DR087_RS02470
OG0000313	B5M19_RS03300	DR087_RS03215
OG0000314	B5M19_RS00780	DR087_RS01500
OG0000315	B5M19_RS00810	DR087_RS00030
OG0000316	B5M19_RS00820	DR087_RS00040
OG0000317	B5M19_RS02720	DR087_RS00130
OG0000318	B5M19_RS00825	DR087_RS04400
OG0000319	B5M19_RS02945	DR087_RS00195
OG0000320	B5M19_RS04425	DR087_RS01720
OG0000321	B5M19_RS01240	DR087_RS01195
OG0000322	B5M19_RS01195	DR087_RS01150
OG0000323	B5M19_RS01065	DR087_RS01020
OG0000324	B5M19_RS03240	DR087_RS00235
OG0000325	B5M19_RS01845	DR087_RS02195
OG0000326	B5M19_RS01750	DR087_RS02290
OG0000327	B5M19_RS01745	DR087_RS02295
OG0000328	B5M19_RS01660	DR087_RS02560
OG0000329	B5M19_RS01640	DR087_RS02540
OG0000330	B5M19_RS02210	DR087_RS01995
OG0000331	B5M19_RS01285	DR087_RS03375
OG0000332	B5M19_RS01520	DR087_RS00940
OG0000333	B5M19_RS01530	DR087_RS00930
OG0000334	B5M19_RS03040	DR087_RS00825
OG0000335	B5M19_RS03030	DR087_RS00815
OG0000336	B5M19_RS00505	DR087_RS04490
OG0000337	B5M19_RS01985	DR087_RS00385
OG0000338	B5M19_RS01940	DR087_RS00425
OG0000339	B5M19_RS03615	DR087_RS01745
OG0000340	B5M19_RS02565	DR087_RS01215
OG0000341	B5M19_RS03220	DR087_RS00255
OG0000342	B5M19_RS01815	DR087_RS02225
OG0000343	B5M19_RS04195	DR087_RS00920
OG0000344	B5M19_RS02425	DR087_RS02910
OG0000345	B5M19_RS03135	DR087_RS02715
OG0000346	B5M19_RS04590	DR087_RS00635
OG0000347	B5M19_RS01170	DR087_RS01125
OG0000348	B5M19_RS01740	DR087_RS02300
OG0000349	B5M19_RS00440	DR087_RS04500
OG0000350	B5M19_RS02515	DR087_RS03265
OG0000351	B5M19_RS03490	DR087_RS03115
OG0000352	B5M19_RS00755	DR087_RS01525
OG0000353	B5M19_RS01200	DR087_RS01155
OG0000354	B5M19_RS03080	DR087_RS03150
OG0000355	B5M19_RS00725	DR087_RS04595
OG0000356	B5M19_RS00815	DR087_RS04395
OG0000357	B5M19_RS01500	DR087_RS04525
OG0000358	B5M19_RS01505	DR087_RS00955
OG0000359	B5M19_RS01770	DR087_RS04665
OG0000360	B5M19_RS00195	DR087_RS01795
OG0000361	B5M19_RS00225	DR087_RS01825
OG0000362	B5M19_RS01025	DR087_RS02965
OG0000363	B5M19_RS01125	DR087_RS04545
OG0000364	B5M19_RS00700	DR087_RS01580
OG0000365	B5M19_RS02775	DR087_RS04420
OG0000366	B5M19_RS02750	DR087_RS00100
OG0000367	B5M19_RS02740	DR087_RS00110
OG0000368	B5M19_RS04270	DR087_RS00490
OG0000369	B5M19_RS01910	DR087_RS04455
OG0000371	B5M19_RS01920	DR087_RS04765
