Orthogroup	MHP_TB1_genes	MFC_ATCC27716_genes
OG0000172	B5M19_RS01480	MFC_RS01470
OG0000173	B5M19_RS01490	MFC_RS01475
OG0000174	B5M19_RS01495	MFC_RS01480
OG0000175	B5M19_RS01510	MFC_RS01495
OG0000176	B5M19_RS01560	MFC_RS01540
OG0000177	B5M19_RS01565	MFC_RS01545
OG0000178	B5M19_RS04200	MFC_RS01550
OG0000179	B5M19_RS01580	MFC_RS01560
OG0000180	B5M19_RS01585	MFC_RS01565
OG0000181	B5M19_RS03045	MFC_RS01580
OG0000182	B5M19_RS03035	MFC_RS01590
OG0000183	B5M19_RS03000	MFC_RS01625
OG0000184	B5M19_RS03105	MFC_RS01655
OG0000185	B5M19_RS03120	MFC_RS01670
OG0000186	B5M19_RS03550	MFC_RS01710
OG0000187	B5M19_RS03535	MFC_RS01725
OG0000188	B5M19_RS03525	MFC_RS01735
OG0000189	B5M19_RS03210	MFC_RS03385
OG0000190	B5M19_RS03215	MFC_RS01750
OG0000191	B5M19_RS03235	MFC_RS01770
OG0000192	B5M19_RS03675	MFC_RS01780
OG0000193	B5M19_RS02360	MFC_RS01795
OG0000194	B5M19_RS01855	MFC_RS01805
OG0000195	B5M19_RS01850	MFC_RS01810
OG0000196	B5M19_RS01830	MFC_RS01830
OG0000197	B5M19_RS01825	MFC_RS01835
OG0000198	B5M19_RS01810	MFC_RS01850
OG0000199	B5M19_RS01805	MFC_RS01855
OG0000200	B5M19_RS01790	MFC_RS01865
OG0000201	B5M19_RS01780	MFC_RS01875
OG0000202	B5M19_RS01725	MFC_RS01930
OG0000203	B5M19_RS01720	MFC_RS01935
OG0000204	B5M19_RS01715	MFC_RS01940
OG0000205	B5M19_RS01710	MFC_RS01945
OG0000206	B5M19_RS01690	MFC_RS01965
OG0000207	B5M19_RS01675	MFC_RS01980
OG0000208	B5M19_RS01670	MFC_RS01985
OG0000209	B5M19_RS01665	MFC_RS01990
OG0000210	B5M19_RS01620	MFC_RS02040
OG0000211	B5M19_RS03415	MFC_RS02050
OG0000212	B5M19_RS03405	MFC_RS02060
OG0000213	B5M19_RS03400	MFC_RS02065
OG0000214	B5M19_RS03395	MFC_RS02070
OG0000215	B5M19_RS03390	MFC_RS02075
OG0000216	B5M19_RS03385	MFC_RS02080
OG0000217	B5M19_RS03380	MFC_RS02085
OG0000218	B5M19_RS03370	MFC_RS02095
OG0000219	B5M19_RS03365	MFC_RS02100
OG0000220	B5M19_RS03360	MFC_RS02105
OG0000221	B5M19_RS03355	MFC_RS02110
OG0000222	B5M19_RS03350	MFC_RS03235
OG0000223	B5M19_RS03345	MFC_RS02115
OG0000224	B5M19_RS03130	MFC_RS02125
OG0000225	B5M19_RS03140	MFC_RS02135
OG0000226	B5M19_RS03145	MFC_RS02140
OG0000227	B5M19_RS03150	MFC_RS02145
OG0000228	B5M19_RS04630	MFC_RS03530
OG0000229	B5M19_RS03160	MFC_RS02155
OG0000230	B5M19_RS03165	MFC_RS02160
OG0000231	B5M19_RS03175	MFC_RS02170
OG0000232	B5M19_RS03185	MFC_RS02180
OG0000233	B5M19_RS02225	MFC_RS02190
OG0000234	B5M19_RS04335	MFC_RS02220
