Orthogroup	MHP_112B_genes	MHP_J_genes
OG0000342	NBX26_RS00740	MHJ_RS00710
OG0000343	NBX26_RS03305	MHJ_RS03105
OG0000344	NBX26_RS00575	MHJ_RS00560
OG0000345	NBX26_RS01160	MHJ_RS00995
OG0000346	NBX26_RS03605	MHJ_RS03380
OG0000347	NBX26_RS01535	MHJ_RS01375
OG0000348	NBX26_RS00815	MHJ_RS00780
OG0000349	NBX26_RS03665	MHJ_RS03435
OG0000350	NBX26_RS02930	MHJ_RS02720
OG0000351	NBX26_RS00485	MHJ_RS00475
OG0000352	NBX26_RS02165	MHJ_RS01885
OG0000353	NBX26_RS01500	MHJ_RS01345
OG0000354	NBX26_RS00635	MHJ_RS00620
OG0000355	NBX26_RS02190	MHJ_RS01855
OG0000356	NBX26_RS02110	MHJ_RS01945
OG0000357	NBX26_RS03260	MHJ_RS03065
OG0000358	NBX26_RS03265	MHJ_RS03070
OG0000359	NBX26_RS00785	MHJ_RS00750
OG0000360	NBX26_RS00270	MHJ_RS00255
OG0000361	NBX26_RS00300	MHJ_RS00285
OG0000362	NBX26_RS02705	MHJ_RS02500
OG0000363	NBX26_RS01575	MHJ_RS03840
OG0000364	NBX26_RS02215	MHJ_RS03765
OG0000365	NBX26_RS02065	MHJ_RS01985
OG0000366	NBX26_RS02040	MHJ_RS02010
OG0000367	NBX26_RS02025	MHJ_RS02020
OG0000368	NBX26_RS00060	MHJ_RS00060
OG0000369	NBX26_RS00025	MHJ_RS00025
OG0000370	NBX26_RS00020	MHJ_RS00020
OG0000371	NBX26_RS00015	MHJ_RS00015
OG0000372	NBX26_RS00010	MHJ_RS00010
OG0000373	NBX26_RS03795	MHJ_RS03565
OG0000374	NBX26_RS03785	MHJ_RS03555
OG0000375	NBX26_RS02375	MHJ_RS02175
OG0000376	NBX26_RS02525	MHJ_RS02320
OG0000377	NBX26_RS02515	MHJ_RS02310
OG0000378	NBX26_RS01415	MHJ_RS01265
OG0000379	NBX26_RS01495	MHJ_RS01340
OG0000380	NBX26_RS01530	MHJ_RS01365
OG0000381	NBX26_RS01565	MHJ_RS01405
OG0000382	NBX26_RS01595	MHJ_RS01435
OG0000383	NBX26_RS01635	MHJ_RS01475
OG0000384	NBX26_RS00515	MHJ_RS00500
OG0000385	NBX26_RS00525	MHJ_RS00505
OG0000386	NBX26_RS00540	MHJ_RS00525
OG0000387	NBX26_RS00565	MHJ_RS00550
OG0000388	NBX26_RS00570	MHJ_RS00555
OG0000389	NBX26_RS00615	MHJ_RS00600
OG0000390	NBX26_RS03075	MHJ_RS02875
OG0000391	NBX26_RS03065	MHJ_RS02865
OG0000392	NBX26_RS03040	MHJ_RS02835
OG0000393	NBX26_RS02985	MHJ_RS02780
OG0000394	NBX26_RS02905	MHJ_RS02695
OG0000395	NBX26_RS02900	MHJ_RS02690
OG0000396	NBX26_RS02590	MHJ_RS02380
OG0000397	NBX26_RS02180	MHJ_RS01870
OG0000398	NBX26_RS02175	MHJ_RS01875
OG0000399	NBX26_RS02130	MHJ_RS01925
OG0000400	NBX26_RS03225	MHJ_RS03030
OG0000401	NBX26_RS03290	MHJ_RS03090
OG0000402	NBX26_RS03300	MHJ_RS03100
OG0000403	NBX26_RS03310	MHJ_RS03110
OG0000404	NBX26_RS03345	MHJ_RS03140
OG0000405	NBX26_RS03360	MHJ_RS03155
OG0000406	NBX26_RS03415	MHJ_RS03220
OG0000407	NBX26_RS03420	MHJ_RS03225
OG0000408	NBX26_RS03425	MHJ_RS03230
OG0000409	NBX26_RS03430	MHJ_RS03235
OG0000410	NBX26_RS03505	MHJ_RS03290
OG0000411	NBX26_RS03490	MHJ_RS03280
OG0000412	NBX26_RS03485	MHJ_RS03275
OG0000413	NBX26_RS01650	MHJ_RS01490
OG0000414	NBX26_RS01660	MHJ_RS01500
OG0000415	NBX26_RS01665	MHJ_RS01505
OG0000416	NBX26_RS01675	MHJ_RS01515
OG0000417	NBX26_RS02440	MHJ_RS02235
OG0000418	NBX26_RS02430	MHJ_RS02230
OG0000419	NBX26_RS00720	MHJ_RS00690
OG0000420	NBX26_RS00755	MHJ_RS00725
OG0000421	NBX26_RS00795	MHJ_RS00755
OG0000422	NBX26_RS00800	MHJ_RS00765
OG0000423	NBX26_RS00855	MHJ_RS00820
OG0000424	NBX26_RS00860	MHJ_RS00825
OG0000425	NBX26_RS00870	MHJ_RS00835
OG0000426	NBX26_RS00875	MHJ_RS00840
OG0000427	NBX26_RS00900	MHJ_RS00865
OG0000428	NBX26_RS00925	MHJ_RS00890
OG0000429	NBX26_RS01150	MHJ_RS00985
OG0000430	NBX26_RS01195	MHJ_RS01030
OG0000431	NBX26_RS01205	MHJ_RS01040
OG0000432	NBX26_RS01235	MHJ_RS01070
OG0000433	NBX26_RS01260	MHJ_RS01085
OG0000435	NBX26_RS01270	MHJ_RS01105
OG0000437	NBX26_RS01305	MHJ_RS01145
OG0000438	NBX26_RS01310	MHJ_RS01150
OG0000439	NBX26_RS01315	MHJ_RS01155
OG0000440	NBX26_RS03125	MHJ_RS02935
OG0000441	NBX26_RS03165	MHJ_RS02975
OG0000442	NBX26_RS00135	MHJ_RS00120
