Orthogroup	MHP_133A_genes	MHP_MHP691_genes
OG0000286	NB626_RS02600	DR087_RS02425
OG0000287	NB626_RS02700	DR087_RS02940
OG0000288	NB626_RS02710	DR087_RS02950
OG0000289	NB626_RS02715	DR087_RS02955
OG0000290	NB626_RS02830	DR087_RS01285
OG0000291	NB626_RS02820	DR087_RS01295
OG0000292	NB626_RS02815	DR087_RS01300
OG0000293	NB626_RS02810	DR087_RS01305
OG0000294	NB626_RS02800	DR087_RS01315
OG0000295	NB626_RS02795	DR087_RS01320
OG0000296	NB626_RS02750	DR087_RS02990
OG0000297	NB626_RS02745	DR087_RS02985
OG0000298	NB626_RS00175	DR087_RS02390
OG0000299	NB626_RS00195	DR087_RS02365
OG0000300	NB626_RS00375	DR087_RS01890
OG0000301	NB626_RS00410	DR087_RS03020
OG0000302	NB626_RS00415	DR087_RS03025
OG0000303	NB626_RS00660	DR087_RS02895
OG0000304	NB626_RS01200	DR087_RS02770
OG0000305	NB626_RS03065	DR087_RS01440
OG0000306	NB626_RS02990	DR087_RS01365
OG0000307	NB626_RS02950	DR087_RS03275
OG0000308	NB626_RS02850	DR087_RS01265
OG0000309	NB626_RS02785	DR087_RS01330
OG0000310	NB626_RS02705	DR087_RS02945
OG0000311	NB626_RS02660	DR087_RS02485
OG0000312	NB626_RS02645	DR087_RS02470
OG0000313	NB626_RS01705	DR087_RS03215
OG0000314	NB626_RS02085	DR087_RS01500
OG0000315	NB626_RS02115	DR087_RS00030
OG0000316	NB626_RS02125	DR087_RS00040
OG0000317	NB626_RS02225	DR087_RS00130
OG0000318	NB626_RS02130	DR087_RS04400
OG0000319	NB626_RS02385	DR087_RS00195
OG0000320	NB626_RS02525	DR087_RS01720
OG0000321	NB626_RS01450	DR087_RS01195
OG0000322	NB626_RS01500	DR087_RS01150
OG0000323	NB626_RS01630	DR087_RS01020
OG0000324	NB626_RS02425	DR087_RS00235
OG0000325	NB626_RS00805	DR087_RS02195
OG0000326	NB626_RS00910	DR087_RS02290
OG0000327	NB626_RS00915	DR087_RS02295
OG0000328	NB626_RS01005	DR087_RS02560
OG0000329	NB626_RS01035	DR087_RS02540
OG0000330	NB626_RS01225	DR087_RS01995
OG0000331	NB626_RS03155	DR087_RS03375
OG0000332	NB626_RS03300	DR087_RS00940
OG0000333	NB626_RS03310	DR087_RS00930
OG0000334	NB626_RS03415	DR087_RS00825
OG0000335	NB626_RS03425	DR087_RS00815
OG0000336	NB626_RS03605	DR087_RS04490
OG0000337	NB626_RS03780	DR087_RS00385
OG0000338	NB626_RS03820	DR087_RS00425
OG0000339	NB626_RS02495	DR087_RS01745
OG0000340	NB626_RS01430	DR087_RS01215
OG0000341	NB626_RS02450	DR087_RS00255
OG0000342	NB626_RS00835	DR087_RS02225
OG0000343	NB626_RS03320	DR087_RS00920
OG0000344	NB626_RS00675	DR087_RS02910
OG0000345	NB626_RS01145	DR087_RS02715
OG0000346	NB626_RS03610	DR087_RS00635
OG0000347	NB626_RS01525	DR087_RS01125
OG0000348	NB626_RS00920	DR087_RS02300
OG0000349	NB626_RS03675	DR087_RS04500
OG0000350	NB626_RS02940	DR087_RS03265
OG0000351	NB626_RS00590	DR087_RS03115
