Orthogroup	MHP_J_genes	MHP_TB1_genes
OG0000178	MHJ_RS03135	B5M19_RS04200
OG0000179	MHJ_RS03145	B5M19_RS01580
OG0000180	MHJ_RS03150	B5M19_RS01585
OG0000181	MHJ_RS03200	B5M19_RS03045
OG0000182	MHJ_RS03210	B5M19_RS03035
OG0000183	MHJ_RS03245	B5M19_RS03000
OG0000184	MHJ_RS03285	B5M19_RS03105
OG0000185	MHJ_RS03270	B5M19_RS03120
OG0000186	MHJ_RS01495	B5M19_RS03550
OG0000187	MHJ_RS01510	B5M19_RS03535
OG0000188	MHJ_RS01520	B5M19_RS03525
OG0000189	MHJ_RS02250	B5M19_RS03210
OG0000190	MHJ_RS02245	B5M19_RS03215
OG0000191	MHJ_RS02225	B5M19_RS03235
OG0000192	MHJ_RS01190	B5M19_RS03675
OG0000193	MHJ_RS01180	B5M19_RS02360
OG0000194	MHJ_RS00670	B5M19_RS01855
OG0000195	MHJ_RS00675	B5M19_RS01850
OG0000196	MHJ_RS00695	B5M19_RS01830
OG0000197	MHJ_RS00700	B5M19_RS01825
OG0000198	MHJ_RS00715	B5M19_RS01810
OG0000199	MHJ_RS00720	B5M19_RS01805
OG0000200	MHJ_RS00730	B5M19_RS01790
OG0000201	MHJ_RS00740	B5M19_RS01780
OG0000202	MHJ_RS00795	B5M19_RS01725
OG0000203	MHJ_RS00800	B5M19_RS01720
OG0000204	MHJ_RS00805	B5M19_RS01715
OG0000205	MHJ_RS00810	B5M19_RS01710
OG0000206	MHJ_RS00830	B5M19_RS01690
OG0000207	MHJ_RS00845	B5M19_RS01675
OG0000208	MHJ_RS00850	B5M19_RS01670
OG0000209	MHJ_RS00855	B5M19_RS01665
OG0000210	MHJ_RS00900	B5M19_RS01620
OG0000211	MHJ_RS00910	B5M19_RS03415
OG0000212	MHJ_RS00920	B5M19_RS03405
OG0000213	MHJ_RS00925	B5M19_RS03400
OG0000214	MHJ_RS00930	B5M19_RS03395
OG0000215	MHJ_RS00935	B5M19_RS03390
OG0000216	MHJ_RS00940	B5M19_RS03385
OG0000217	MHJ_RS00945	B5M19_RS03380
OG0000218	MHJ_RS00955	B5M19_RS03370
OG0000219	MHJ_RS00960	B5M19_RS03365
OG0000220	MHJ_RS00965	B5M19_RS03360
OG0000221	MHJ_RS00970	B5M19_RS03355
OG0000222	MHJ_RS00975	B5M19_RS03350
OG0000223	MHJ_RS00980	B5M19_RS03345
OG0000224	MHJ_RS00990	B5M19_RS03130
OG0000225	MHJ_RS01000	B5M19_RS03140
OG0000226	MHJ_RS01005	B5M19_RS03145
OG0000227	MHJ_RS01010	B5M19_RS03150
OG0000228	MHJ_RS04015	B5M19_RS04630
OG0000229	MHJ_RS01020	B5M19_RS03160
OG0000230	MHJ_RS01025	B5M19_RS03165
OG0000231	MHJ_RS01035	B5M19_RS03175
OG0000232	MHJ_RS01045	B5M19_RS03185
OG0000233	MHJ_RS01065	B5M19_RS02225
OG0000234	MHJ_RS01100	B5M19_RS04335
OG0000235	MHJ_RS01110	B5M19_RS02175
OG0000236	MHJ_RS01115	B5M19_RS02170
OG0000237	MHJ_RS01120	B5M19_RS02165
OG0000238	MHJ_RS01130	B5M19_RS02155
OG0000239	MHJ_RS02925	B5M19_RS01315
OG0000240	MHJ_RS02930	B5M19_RS01310
OG0000241	MHJ_RS02940	B5M19_RS01300
OG0000242	MHJ_RS02945	B5M19_RS04160
OG0000243	MHJ_RS02950	B5M19_RS01290
OG0000244	MHJ_RS02960	B5M19_RS01280
OG0000245	MHJ_RS02970	B5M19_RS01270
OG0000246	MHJ_RS00115	B5M19_RS00050
OG0000247	MHJ_RS00125	B5M19_RS00060
OG0000248	MHJ_RS00135	B5M19_RS00070
OG0000249	MHJ_RS00140	B5M19_RS00075
OG0000250	MHJ_RS00155	B5M19_RS03880
OG0000251	MHJ_RS00185	B5M19_RS00125
OG0000252	MHJ_RS00195	B5M19_RS00135
OG0000253	MHJ_RS00200	B5M19_RS00140
OG0000254	MHJ_RS00210	B5M19_RS00150
OG0000255	MHJ_RS00220	B5M19_RS00160
OG0000256	MHJ_RS00225	B5M19_RS00165
OG0000257	MHJ_RS00250	B5M19_RS00190
OG0000258	MHJ_RS00260	B5M19_RS04020
OG0000259	MHJ_RS00290	B5M19_RS00230
OG0000260	MHJ_RS00300	B5M19_RS00240
OG0000261	MHJ_RS00310	B5M19_RS00250
OG0000262	MHJ_RS00325	B5M19_RS00270
OG0000263	MHJ_RS00340	B5M19_RS00285
OG0000264	MHJ_RS00355	B5M19_RS04030
OG0000265	MHJ_RS00365	B5M19_RS00315
OG0000266	MHJ_RS00380	B5M19_RS00335
OG0000267	MHJ_RS00395	B5M19_RS04035
OG0000268	MHJ_RS00400	B5M19_RS00355
OG0000269	MHJ_RS00415	B5M19_RS03680
OG0000270	MHJ_RS03460	B5M19_RS00415
OG0000271	MHJ_RS03455	B5M19_RS00420
OG0000272	MHJ_RS03450	B5M19_RS00425
OG0000273	MHJ_RS03445	B5M19_RS00430
OG0000274	MHJ_RS03425	B5M19_RS00450
OG0000275	MHJ_RS03420	B5M19_RS00455
OG0000276	MHJ_RS03415	B5M19_RS00460
OG0000277	MHJ_RS03405	B5M19_RS00470
OG0000278	MHJ_RS03400	B5M19_RS00475
OG0000279	MHJ_RS03390	B5M19_RS00485
OG0000280	MHJ_RS03385	B5M19_RS00490
OG0000281	MHJ_RS03705	B5M19_RS00495
OG0000282	MHJ_RS03360	B5M19_RS00520
OG0000283	MHJ_RS03355	B5M19_RS00525
OG0000284	MHJ_RS03350	B5M19_RS00530
OG0000285	MHJ_RS03345	B5M19_RS00535
OG0000286	MHJ_RS02375	B5M19_RS02850
OG0000287	MHJ_RS02475	B5M19_RS01050
OG0000288	MHJ_RS02485	B5M19_RS01040
OG0000289	MHJ_RS02495	B5M19_RS01035
OG0000290	MHJ_RS02605	B5M19_RS04120
OG0000291	MHJ_RS02595	B5M19_RS00935
OG0000292	MHJ_RS02590	B5M19_RS00940
OG0000293	MHJ_RS02585	B5M19_RS00945
OG0000294	MHJ_RS02570	B5M19_RS00955
OG0000295	MHJ_RS02565	B5M19_RS00960
OG0000296	MHJ_RS02525	B5M19_RS01000
OG0000297	MHJ_RS02520	B5M19_RS01005
OG0000298	MHJ_RS00150	B5M19_RS00085
OG0000299	MHJ_RS00170	B5M19_RS00110
OG0000300	MHJ_RS00350	B5M19_RS00300
OG0000301	MHJ_RS00385	B5M19_RS00340
OG0000302	MHJ_RS00390	B5M19_RS00345
OG0000303	MHJ_RS00545	B5M19_RS02410
OG0000304	MHJ_RS01050	B5M19_RS03190
OG0000305	MHJ_RS02850	B5M19_RS01385
OG0000306	MHJ_RS02775	B5M19_RS02560
OG0000307	MHJ_RS02730	B5M19_RS02525
OG0000308	MHJ_RS02625	B5M19_RS00905
OG0000309	MHJ_RS02555	B5M19_RS00970
OG0000310	MHJ_RS02480	B5M19_RS01045
OG0000311	MHJ_RS02435	B5M19_RS02790
OG0000312	MHJ_RS02420	B5M19_RS02805
OG0000313	MHJ_RS01555	B5M19_RS03300
OG0000314	MHJ_RS01910	B5M19_RS00780
OG0000315	MHJ_RS01940	B5M19_RS00810
OG0000316	MHJ_RS01950	B5M19_RS00820
