Orthogroup	MHP_UFV02_genes	MFC_MF11_genes
OG0000310	FEF31_RS02265	DR093_RS01075
OG0000311	FEF31_RS02215	DR093_RS01125
OG0000312	FEF31_RS02200	DR093_RS01145
OG0000313	FEF31_RS01260	DR093_RS02690
OG0000314	FEF31_RS01700	DR093_RS02975
OG0000315	FEF31_RS01730	DR093_RS02900
OG0000316	FEF31_RS01740	DR093_RS02910
OG0000317	FEF31_RS01835	DR093_RS02750
OG0000318	FEF31_RS04480	DR093_RS04040
OG0000319	FEF31_RS01970	DR093_RS01870
OG0000320	FEF31_RS02095	DR093_RS01935
OG0000321	FEF31_RS00990	DR093_RS02000
OG0000322	FEF31_RS01040	DR093_RS02045
OG0000323	FEF31_RS01170	DR093_RS02175
OG0000324	FEF31_RS02010	DR093_RS02550
OG0000325	FEF31_RS00355	DR093_RS02510
OG0000326	FEF31_RS00450	DR093_RS02415
OG0000327	FEF31_RS00455	DR093_RS02410
OG0000328	FEF31_RS00540	DR093_RS01500
OG0000329	FEF31_RS00560	DR093_RS01520
OG0000330	FEF31_RS00760	DR093_RS01705
OG0000331	FEF31_RS02710	DR093_RS01820
OG0000332	FEF31_RS03680	DR093_RS02250
OG0000333	FEF31_RS03690	DR093_RS02260
OG0000334	FEF31_RS03790	DR093_RS02325
OG0000335	FEF31_RS03800	DR093_RS03970
OG0000336	FEF31_RS04620	DR093_RS03875
OG0000337	FEF31_RS03240	DR093_RS00015
OG0000338	FEF31_RS03280	DR093_RS00055
OG0000339	FEF31_RS02070	DR093_RS01955
OG0000340	FEF31_RS00970	DR093_RS01980
OG0000341	FEF31_RS02030	DR093_RS02570
OG0000342	FEF31_RS00385	DR093_RS02480
OG0000343	FEF31_RS03700	DR093_RS02270
OG0000344	FEF31_RS00235	DR093_RS00580
OG0000345	FEF31_RS00675	DR093_RS01635
OG0000346	FEF31_RS03080	DR093_RS03870
OG0000347	FEF31_RS01065	DR093_RS02070
OG0000348	FEF31_RS00460	DR093_RS03985
OG0000349	FEF31_RS04630	DR093_RS01300
OG0000350	FEF31_RS02500	DR093_RS00820
OG0000351	FEF31_RS00155	DR093_RS00515
OG0000352	FEF31_RS01680	DR093_RS02990
OG0000353	FEF31_RS01035	DR093_RS02040
OG0000354	FEF31_RS00295	DR093_RS00630
OG0000355	FEF31_RS04470	DR093_RS04005
OG0000356	FEF31_RS04475	DR093_RS04035
OG0000357	FEF31_RS04685	DR093_RS03955
OG0000358	FEF31_RS03665	DR093_RS02235
OG0000359	FEF31_RS04380	DR093_RS03990
OG0000360	FEF31_RS03545	DR093_RS00295
OG0000361	FEF31_RS03575	DR093_RS00325
OG0000362	FEF31_RS02285	DR093_RS01055
OG0000363	FEF31_RS01105	DR093_RS02110
OG0000365	FEF31_RS01785	DR093_RS04055
OG0000366	FEF31_RS01805	DR093_RS02780
OG0000367	FEF31_RS01815	DR093_RS02770
OG0000368	FEF31_RS03345	DR093_RS00120
OG0000370	FEF31_RS03305	DR093_RS04150
OG0000371	FEF31_RS03300	DR093_RS00075
OG0000372	FEF31_RS03295	DR093_RS00070
OG0000373	FEF31_RS03270	DR093_RS00045
OG0000374	FEF31_RS03260	DR093_RS00035
OG0000375	FEF31_RS01965	DR093_RS01865
OG0000376	FEF31_RS02110	DR093_RS01920
OG0000377	FEF31_RS02100	DR093_RS01930
OG0000378	FEF31_RS00950	DR093_RS01965
OG0000379	FEF31_RS01030	DR093_RS02035
OG0000380	FEF31_RS01055	DR093_RS02060
OG0000381	FEF31_RS01095	DR093_RS02100
OG0000382	FEF31_RS01125	DR093_RS02130
OG0000383	FEF31_RS01165	DR093_RS02170
OG0000384	FEF31_RS00175	DR093_RS00520
OG0000385	FEF31_RS00180	DR093_RS00525
OG0000386	FEF31_RS00200	DR093_RS00545
OG0000387	FEF31_RS00225	DR093_RS00570
OG0000388	FEF31_RS04370	DR093_RS03800
OG0000389	FEF31_RS00275	DR093_RS00610
OG0000390	FEF31_RS02640	DR093_RS00710
OG0000391	FEF31_RS02630	DR093_RS00720
OG0000392	FEF31_RS02605	DR093_RS00745
OG0000393	FEF31_RS04550	DR093_RS00800
OG0000394	FEF31_RS02475	DR093_RS00875
OG0000395	FEF31_RS02470	DR093_RS00880
OG0000396	FEF31_RS02160	DR093_RS02700
OG0000397	FEF31_RS01665	DR093_RS02655
OG0000398	FEF31_RS01670	DR093_RS02650
OG0000399	FEF31_RS01715	DR093_RS02885
OG0000400	FEF31_RS03625	DR093_RS02195
OG0000401	FEF31_RS03685	DR093_RS02255
OG0000402	FEF31_RS03695	DR093_RS02265
OG0000403	FEF31_RS03705	DR093_RS02275
OG0000404	FEF31_RS03730	DR093_RS03960
