Orthogroup	MHP_UFV02_genes	MFC_ATCC27716_genes
OG0000192	FEF31_RS00875	MFC_RS01780
OG0000193	FEF31_RS00860	MFC_RS01795
OG0000194	FEF31_RS00345	MFC_RS01805
OG0000195	FEF31_RS00350	MFC_RS01810
OG0000196	FEF31_RS00370	MFC_RS01830
OG0000197	FEF31_RS00375	MFC_RS01835
OG0000198	FEF31_RS00390	MFC_RS01850
OG0000199	FEF31_RS00395	MFC_RS01855
OG0000200	FEF31_RS00410	MFC_RS01865
OG0000201	FEF31_RS00420	MFC_RS01875
OG0000202	FEF31_RS00475	MFC_RS01930
OG0000203	FEF31_RS00480	MFC_RS01935
OG0000204	FEF31_RS00485	MFC_RS01940
OG0000205	FEF31_RS00490	MFC_RS01945
OG0000206	FEF31_RS00510	MFC_RS01965
OG0000207	FEF31_RS00525	MFC_RS01980
OG0000208	FEF31_RS00530	MFC_RS01985
OG0000209	FEF31_RS00535	MFC_RS01990
OG0000210	FEF31_RS00580	MFC_RS02040
OG0000211	FEF31_RS00590	MFC_RS02050
OG0000212	FEF31_RS00600	MFC_RS02060
OG0000213	FEF31_RS00605	MFC_RS02065
OG0000214	FEF31_RS00610	MFC_RS02070
OG0000215	FEF31_RS00615	MFC_RS02075
OG0000216	FEF31_RS00620	MFC_RS02080
OG0000217	FEF31_RS00625	MFC_RS02085
OG0000218	FEF31_RS00635	MFC_RS02095
OG0000219	FEF31_RS00640	MFC_RS02100
OG0000220	FEF31_RS00645	MFC_RS02105
OG0000221	FEF31_RS00650	MFC_RS02110
OG0000222	FEF31_RS00655	MFC_RS03235
OG0000223	FEF31_RS00660	MFC_RS02115
OG0000224	FEF31_RS00670	MFC_RS02125
OG0000225	FEF31_RS00680	MFC_RS02135
OG0000226	FEF31_RS00685	MFC_RS02140
OG0000227	FEF31_RS00690	MFC_RS02145
OG0000228	FEF31_RS04770	MFC_RS03530
OG0000229	FEF31_RS00700	MFC_RS02155
OG0000230	FEF31_RS00705	MFC_RS02160
OG0000231	FEF31_RS00715	MFC_RS02170
OG0000232	FEF31_RS00725	MFC_RS02180
OG0000233	FEF31_RS00750	MFC_RS02190
OG0000234	FEF31_RS00785	MFC_RS02220
OG0000235	FEF31_RS00795	MFC_RS02230
OG0000236	FEF31_RS00800	MFC_RS02235
OG0000237	FEF31_RS00805	MFC_RS02250
OG0000238	FEF31_RS00810	MFC_RS02255
OG0000239	FEF31_RS02680	MFC_RS02285
OG0000240	FEF31_RS02685	MFC_RS02290
OG0000241	FEF31_RS02695	MFC_RS02300
OG0000242	FEF31_RS02700	MFC_RS02305
OG0000243	FEF31_RS02705	MFC_RS02310
OG0000244	FEF31_RS02715	MFC_RS02320
OG0000245	FEF31_RS02720	MFC_RS02330
OG0000246	FEF31_RS03410	MFC_RS02345
OG0000247	FEF31_RS03420	MFC_RS02355
OG0000248	FEF31_RS03430	MFC_RS02380
OG0000249	FEF31_RS03435	MFC_RS02385
OG0000250	FEF31_RS03450	MFC_RS02400
OG0000251	FEF31_RS03480	MFC_RS02430
OG0000252	FEF31_RS03490	MFC_RS02440
OG0000253	FEF31_RS03495	MFC_RS02445
OG0000254	FEF31_RS03505	MFC_RS02455
OG0000255	FEF31_RS03510	MFC_RS02465
OG0000256	FEF31_RS03515	MFC_RS02470
OG0000257	FEF31_RS03540	MFC_RS02495
OG0000258	FEF31_RS03550	MFC_RS02505
OG0000259	FEF31_RS03580	MFC_RS02535
OG0000260	FEF31_RS03590	MFC_RS02545
OG0000261	FEF31_RS04680	MFC_RS02555
OG0000262	FEF31_RS00010	MFC_RS02570
OG0000263	FEF31_RS00025	MFC_RS02585
OG0000264	FEF31_RS00040	MFC_RS02600
OG0000265	FEF31_RS00050	MFC_RS02610
OG0000266	FEF31_RS00065	MFC_RS02625
OG0000267	FEF31_RS00080	MFC_RS02640
OG0000268	FEF31_RS00085	MFC_RS02645
OG0000269	FEF31_RS00100	MFC_RS02660
OG0000270	FEF31_RS04635	MFC_RS02720
OG0000271	FEF31_RS03160	MFC_RS02725
OG0000272	FEF31_RS03155	MFC_RS02730
OG0000273	FEF31_RS03150	MFC_RS02735
OG0000274	FEF31_RS03130	MFC_RS02755
OG0000275	FEF31_RS04625	MFC_RS03455
OG0000276	FEF31_RS03120	MFC_RS02765
OG0000277	FEF31_RS03110	MFC_RS02775
OG0000278	FEF31_RS03105	MFC_RS02780
OG0000279	FEF31_RS03095	MFC_RS02790
OG0000280	FEF31_RS03090	MFC_RS02795
OG0000281	FEF31_RS03085	MFC_RS03255
OG0000282	FEF31_RS04615	MFC_RS02820
OG0000283	FEF31_RS03055	MFC_RS02825
OG0000284	FEF31_RS03050	MFC_RS02830
