Orthogroup	MHP_UFV02_genes	MHP_J_genes
OG0000342	FEF31_RS00385	MHJ_RS00710
OG0000343	FEF31_RS03700	MHJ_RS03105
OG0000344	FEF31_RS00235	MHJ_RS00560
OG0000345	FEF31_RS00675	MHJ_RS00995
OG0000346	FEF31_RS03080	MHJ_RS03380
OG0000347	FEF31_RS01065	MHJ_RS01375
OG0000348	FEF31_RS00460	MHJ_RS00780
OG0000349	FEF31_RS04630	MHJ_RS03435
OG0000350	FEF31_RS02500	MHJ_RS02720
OG0000351	FEF31_RS00155	MHJ_RS00475
OG0000352	FEF31_RS01680	MHJ_RS01885
OG0000353	FEF31_RS01035	MHJ_RS01345
OG0000354	FEF31_RS00295	MHJ_RS00620
OG0000355	FEF31_RS04470	MHJ_RS01855
OG0000356	FEF31_RS04475	MHJ_RS01945
OG0000357	FEF31_RS04685	MHJ_RS03065
OG0000358	FEF31_RS03665	MHJ_RS03070
OG0000359	FEF31_RS04380	MHJ_RS00750
OG0000360	FEF31_RS03545	MHJ_RS00255
OG0000361	FEF31_RS03575	MHJ_RS00285
OG0000362	FEF31_RS02285	MHJ_RS02500
OG0000363	FEF31_RS01105	MHJ_RS03840
OG0000364	FEF31_RS01635	MHJ_RS01830
OG0000365	FEF31_RS01785	MHJ_RS01985
OG0000366	FEF31_RS01805	MHJ_RS02010
OG0000367	FEF31_RS01815	MHJ_RS02020
OG0000368	FEF31_RS03345	MHJ_RS00060
OG0000369	FEF31_RS04650	MHJ_RS00025
OG0000370	FEF31_RS03305	MHJ_RS00020
OG0000371	FEF31_RS03300	MHJ_RS00015
OG0000372	FEF31_RS03295	MHJ_RS00010
OG0000373	FEF31_RS03270	MHJ_RS03565
OG0000374	FEF31_RS03260	MHJ_RS03555
OG0000375	FEF31_RS01965	MHJ_RS02175
OG0000376	FEF31_RS02110	MHJ_RS02320
OG0000377	FEF31_RS02100	MHJ_RS02310
OG0000378	FEF31_RS00950	MHJ_RS01265
OG0000379	FEF31_RS01030	MHJ_RS01340
OG0000380	FEF31_RS01055	MHJ_RS01365
OG0000381	FEF31_RS01095	MHJ_RS01405
OG0000382	FEF31_RS01125	MHJ_RS01435
OG0000383	FEF31_RS01165	MHJ_RS01475
OG0000384	FEF31_RS00175	MHJ_RS00500
OG0000385	FEF31_RS00180	MHJ_RS00505
OG0000386	FEF31_RS00200	MHJ_RS00525
OG0000387	FEF31_RS00225	MHJ_RS00550
OG0000388	FEF31_RS04370	MHJ_RS00555
OG0000389	FEF31_RS00275	MHJ_RS00600
OG0000390	FEF31_RS02640	MHJ_RS02875
OG0000391	FEF31_RS02630	MHJ_RS02865
OG0000392	FEF31_RS02605	MHJ_RS02835
OG0000393	FEF31_RS04550	MHJ_RS02780
OG0000394	FEF31_RS02475	MHJ_RS02695
OG0000395	FEF31_RS02470	MHJ_RS02690
OG0000396	FEF31_RS02160	MHJ_RS02380
OG0000397	FEF31_RS01665	MHJ_RS01870
OG0000398	FEF31_RS01670	MHJ_RS01875
OG0000399	FEF31_RS01715	MHJ_RS01925
OG0000400	FEF31_RS03625	MHJ_RS03030
OG0000401	FEF31_RS03685	MHJ_RS03090
OG0000402	FEF31_RS03695	MHJ_RS03100
OG0000403	FEF31_RS03705	MHJ_RS03110
OG0000404	FEF31_RS03730	MHJ_RS03140
OG0000405	FEF31_RS04800	MHJ_RS03155
OG0000406	FEF31_RS03805	MHJ_RS03220
OG0000407	FEF31_RS04695	MHJ_RS03225
OG0000408	FEF31_RS03815	MHJ_RS03230
OG0000409	FEF31_RS03820	MHJ_RS03235
OG0000410	FEF31_RS02985	MHJ_RS03290
OG0000411	FEF31_RS02975	MHJ_RS03280
OG0000412	FEF31_RS02970	MHJ_RS03275
OG0000413	FEF31_RS01180	MHJ_RS01490
OG0000414	FEF31_RS01190	MHJ_RS01500
OG0000415	FEF31_RS01195	MHJ_RS01505
OG0000416	FEF31_RS01205	MHJ_RS01515
OG0000417	FEF31_RS02025	MHJ_RS02235
OG0000418	FEF31_RS02020	MHJ_RS02230
OG0000419	FEF31_RS00365	MHJ_RS00690
OG0000420	FEF31_RS00400	MHJ_RS00725
OG0000421	FEF31_RS00435	MHJ_RS00755
OG0000422	FEF31_RS00445	MHJ_RS00765
OG0000423	FEF31_RS00500	MHJ_RS00820
OG0000424	FEF31_RS00505	MHJ_RS00825
OG0000425	FEF31_RS00515	MHJ_RS00835
OG0000426	FEF31_RS04385	MHJ_RS00840
OG0000427	FEF31_RS04390	MHJ_RS00865
OG0000428	FEF31_RS00570	MHJ_RS00890
OG0000429	FEF31_RS00665	MHJ_RS00985
OG0000430	FEF31_RS00710	MHJ_RS01030
OG0000431	FEF31_RS00720	MHJ_RS01040
OG0000432	FEF31_RS00755	MHJ_RS01070
OG0000433	FEF31_RS00770	MHJ_RS01085
OG0000434	FEF31_RS00775	MHJ_RS01090
OG0000435	FEF31_RS00790	MHJ_RS01105
OG0000436	FEF31_RS00815	MHJ_RS01135
OG0000437	FEF31_RS00825	MHJ_RS01145
OG0000438	FEF31_RS00830	MHJ_RS01150
OG0000439	FEF31_RS04400	MHJ_RS01155
OG0000440	FEF31_RS02690	MHJ_RS02935
OG0000441	FEF31_RS02725	MHJ_RS02975
OG0000442	FEF31_RS03415	MHJ_RS00120
OG0000443	FEF31_RS03460	MHJ_RS00165
OG0000444	FEF31_RS03475	MHJ_RS00180
OG0000445	FEF31_RS03500	MHJ_RS00205
OG0000446	FEF31_RS03525	MHJ_RS00235
OG0000447	FEF31_RS03530	MHJ_RS00240
OG0000448	FEF31_RS03560	MHJ_RS00270
OG0000449	FEF31_RS03585	MHJ_RS00295
