Orthogroup	MHP_MHP709_genes	MHP_MHP691_genes
OG0000327	DR088_RS02730	DR087_RS02295
OG0000328	DR088_RS01740	DR087_RS02560
OG0000329	DR088_RS01720	DR087_RS02540
OG0000330	DR088_RS00800	DR087_RS01995
OG0000331	DR088_RS03215	DR087_RS03375
OG0000332	DR088_RS01455	DR087_RS00940
OG0000333	DR088_RS01465	DR087_RS00930
OG0000334	DR088_RS03505	DR087_RS00825
OG0000335	DR088_RS01955	DR087_RS00815
OG0000336	DR088_RS04485	DR087_RS04490
OG0000337	DR088_RS01805	DR087_RS00385
OG0000338	DR088_RS01845	DR087_RS00425
OG0000339	DR088_RS02450	DR087_RS01745
OG0000340	DR088_RS04665	DR087_RS01215
OG0000341	DR088_RS02930	DR087_RS00255
OG0000342	DR088_RS02800	DR087_RS02225
OG0000343	DR088_RS01475	DR087_RS00920
OG0000344	DR088_RS03055	DR087_RS02910
OG0000345	DR088_RS01605	DR087_RS02715
OG0000346	DR088_RS02210	DR087_RS00635
OG0000347	DR088_RS02680	DR087_RS01125
OG0000348	DR088_RS02725	DR087_RS02300
OG0000349	DR088_RS04475	DR087_RS04500
OG0000350	DR088_RS00175	DR087_RS03265
OG0000351	DR088_RS01020	DR087_RS03115
OG0000352	DR088_RS00545	DR087_RS01525
OG0000353	DR088_RS02650	DR087_RS01155
OG0000354	DR088_RS00745	DR087_RS03150
OG0000355	DR088_RS04320	DR087_RS04595
OG0000356	DR088_RS04325	DR087_RS04395
OG0000357	DR088_RS04390	DR087_RS04525
OG0000358	DR088_RS01440	DR087_RS00955
OG0000359	DR088_RS04555	DR087_RS04665
OG0000360	DR088_RS01240	DR087_RS01795
OG0000361	DR088_RS01210	DR087_RS01825
OG0000362	DR088_RS03145	DR087_RS02965
OG0000363	DR088_RS02480	DR087_RS04545
OG0000364	DR088_RS00490	DR087_RS01580
OG0000365	DR088_RS04350	DR087_RS04420
OG0000366	DR088_RS00665	DR087_RS00100
OG0000367	DR088_RS00675	DR087_RS00110
OG0000368	DR088_RS01910	DR087_RS00490
OG0000369	DR088_RS04415	DR087_RS04455
OG0000371	DR088_RS01865	DR087_RS04765
OG0000372	DR088_RS01860	DR087_RS00440
OG0000373	DR088_RS01835	DR087_RS00415
OG0000374	DR088_RS01825	DR087_RS00405
OG0000375	DR088_RS02865	DR087_RS00190
OG0000376	DR088_RS02405	DR087_RS01705
OG0000377	DR088_RS02415	DR087_RS01715
OG0000378	DR088_RS00995	DR087_RS03315
OG0000379	DR088_RS02645	DR087_RS01160
OG0000380	DR088_RS02670	DR087_RS01135
OG0000381	DR088_RS02470	DR087_RS01095
OG0000382	DR088_RS02500	DR087_RS01065
OG0000383	DR088_RS02540	DR087_RS01025
OG0000384	DR088_RS03375	DR087_RS03460
OG0000385	DR088_RS03380	DR087_RS03455
OG0000386	DR088_RS03090	DR087_RS02875
OG0000387	DR088_RS03065	DR087_RS02900
OG0000388	DR088_RS04570	DR087_RS04720
OG0000389	DR088_RS00765	DR087_RS03170
OG0000390	DR088_RS00315	DR087_RS01460
OG0000391	DR088_RS00305	DR087_RS01450
OG0000392	DR088_RS00280	DR087_RS01425
OG0000393	DR088_RS04310	DR087_RS04575
OG0000394	DR088_RS00150	DR087_RS03560
OG0000395	DR088_RS00145	DR087_RS03550
OG0000396	DR088_RS02960	DR087_RS02430
OG0000397	DR088_RS00530	DR087_RS01540
OG0000398	DR088_RS00535	DR087_RS01535
OG0000399	DR088_RS00580	DR087_RS00015
OG0000400	DR088_RS01395	DR087_RS00995
OG0000401	DR088_RS01460	DR087_RS00935
OG0000402	DR088_RS01470	DR087_RS00925
OG0000403	DR088_RS01480	DR087_RS00915
OG0000404	DR088_RS01510	DR087_RS00885
OG0000405	DR088_RS01525	DR087_RS00870
OG0000406	DR088_RS01960	DR087_RS00810
OG0000407	DR088_RS04425	DR087_RS04515
OG0000408	DR088_RS01970	DR087_RS00800
