Orthogroup	MHP_F72C_genes	MHP_TB1_genes
OG0000283	EHI52_RS03380	B5M19_RS00525
OG0000284	EHI52_RS03375	B5M19_RS00530
OG0000285	EHI52_RS03370	B5M19_RS00535
OG0000286	EHI52_RS02425	B5M19_RS02850
OG0000287	EHI52_RS02515	B5M19_RS01050
OG0000288	EHI52_RS02525	B5M19_RS01040
OG0000289	EHI52_RS02530	B5M19_RS01035
OG0000290	EHI52_RS02640	B5M19_RS04120
OG0000291	EHI52_RS02630	B5M19_RS00935
OG0000292	EHI52_RS02625	B5M19_RS00940
OG0000293	EHI52_RS02620	B5M19_RS00945
OG0000294	EHI52_RS02610	B5M19_RS00955
OG0000295	EHI52_RS02605	B5M19_RS00960
OG0000296	EHI52_RS02565	B5M19_RS01000
OG0000297	EHI52_RS02560	B5M19_RS01005
OG0000298	EHI52_RS00175	B5M19_RS00085
OG0000299	EHI52_RS00200	B5M19_RS00110
OG0000300	EHI52_RS00385	B5M19_RS00300
OG0000301	EHI52_RS00420	B5M19_RS00340
OG0000302	EHI52_RS00425	B5M19_RS00345
OG0000303	EHI52_RS00575	B5M19_RS02410
OG0000304	EHI52_RS01145	B5M19_RS03190
OG0000305	EHI52_RS02870	B5M19_RS01385
OG0000306	EHI52_RS02795	B5M19_RS02560
OG0000307	EHI52_RS02760	B5M19_RS02525
OG0000308	EHI52_RS02660	B5M19_RS00905
OG0000309	EHI52_RS02595	B5M19_RS00970
OG0000310	EHI52_RS02520	B5M19_RS01045
OG0000311	EHI52_RS02485	B5M19_RS02790
OG0000312	EHI52_RS02470	B5M19_RS02805
OG0000313	EHI52_RS01655	B5M19_RS03300
OG0000314	EHI52_RS01980	B5M19_RS00780
OG0000315	EHI52_RS01950	B5M19_RS00810
OG0000316	EHI52_RS01940	B5M19_RS00820
OG0000317	EHI52_RS01850	B5M19_RS02720
OG0000318	EHI52_RS01935	B5M19_RS00825
OG0000319	EHI52_RS02240	B5M19_RS02945
OG0000320	EHI52_RS02370	B5M19_RS04425
OG0000321	EHI52_RS01395	B5M19_RS01240
OG0000322	EHI52_RS01440	B5M19_RS01195
OG0000323	EHI52_RS01570	B5M19_RS01065
OG0000324	EHI52_RS02280	B5M19_RS03240
OG0000325	EHI52_RS00700	B5M19_RS01845
OG0000326	EHI52_RS00795	B5M19_RS01750
OG0000327	EHI52_RS00800	B5M19_RS01745
OG0000328	EHI52_RS00885	B5M19_RS01660
OG0000329	EHI52_RS00905	B5M19_RS01640
OG0000330	EHI52_RS01175	B5M19_RS02210
OG0000331	EHI52_RS02965	B5M19_RS01285
OG0000332	EHI52_RS03130	B5M19_RS01520
OG0000333	EHI52_RS03140	B5M19_RS01530
OG0000334	EHI52_RS03240	B5M19_RS03040
OG0000335	EHI52_RS03250	B5M19_RS03030
OG0000336	EHI52_RS03400	B5M19_RS00505
OG0000337	EHI52_RS03575	B5M19_RS01985
OG0000338	EHI52_RS03615	B5M19_RS01940
OG0000339	EHI52_RS02340	B5M19_RS03615
OG0000340	EHI52_RS01375	B5M19_RS02565
OG0000341	EHI52_RS02300	B5M19_RS03220
OG0000342	EHI52_RS00730	B5M19_RS01815
OG0000343	EHI52_RS03150	B5M19_RS04195
OG0000344	EHI52_RS00590	B5M19_RS02425
OG0000345	EHI52_RS01090	B5M19_RS03135
OG0000346	EHI52_RS03405	B5M19_RS04590
OG0000347	EHI52_RS01465	B5M19_RS01170
OG0000348	EHI52_RS00805	B5M19_RS01740
OG0000349	EHI52_RS03465	B5M19_RS00440
OG0000350	EHI52_RS02750	B5M19_RS02515
OG0000351	EHI52_RS00510	B5M19_RS03490
OG0000352	EHI52_RS02000	B5M19_RS00755
OG0000353	EHI52_RS01435	B5M19_RS01200
OG0000354	EHI52_RS00650	B5M19_RS03080
OG0000355	EHI52_RS02030	B5M19_RS00725
OG0000356	EHI52_RS01945	B5M19_RS00815
OG0000357	EHI52_RS03110	B5M19_RS01500
OG0000358	EHI52_RS03115	B5M19_RS01505
OG0000359	EHI52_RS00775	B5M19_RS01770
OG0000360	EHI52_RS00285	B5M19_RS00195
OG0000361	EHI52_RS00315	B5M19_RS00225
OG0000362	EHI52_RS02540	B5M19_RS01025
OG0000363	EHI52_RS01505	B5M19_RS01125
OG0000364	EHI52_RS03790, EHI52_RS02055	B5M19_RS00700
OG0000365	EHI52_RS01905	B5M19_RS02775
OG0000366	EHI52_RS01880	B5M19_RS02750
OG0000367	EHI52_RS01870	B5M19_RS02740
OG0000368	EHI52_RS00060	B5M19_RS04270
OG0000369	EHI52_RS00025	B5M19_RS01910
OG0000370	EHI52_RS00020	B5M19_RS01915
OG0000371	EHI52_RS00015	B5M19_RS01920
OG0000372	EHI52_RS00010	B5M19_RS01925
OG0000373	EHI52_RS03605	B5M19_RS01950
OG0000374	EHI52_RS03595	B5M19_RS01960
