Orthogroup	MHP_168L_genes	MHP_UFV02_genes
OG0000401	MHP168L_RS03115	FEF31_RS03685
OG0000402	MHP168L_RS03125	FEF31_RS03695
OG0000403	MHP168L_RS03135	FEF31_RS03705
OG0000404	MHP168L_RS03165	FEF31_RS03730
OG0000405	MHP168L_RS03180	FEF31_RS04800
OG0000406	MHP168L_RS03235	FEF31_RS03805
OG0000407	MHP168L_RS03240	FEF31_RS04695
OG0000408	MHP168L_RS03245	FEF31_RS03815
OG0000409	MHP168L_RS03250	FEF31_RS03820
OG0000410	MHP168L_RS03305	FEF31_RS02985
OG0000411	MHP168L_RS03295	FEF31_RS02975
OG0000412	MHP168L_RS03290	FEF31_RS02970
OG0000413	MHP168L_RS01610	FEF31_RS01180
OG0000414	MHP168L_RS01620	FEF31_RS01190
OG0000415	MHP168L_RS01625	FEF31_RS01195
OG0000416	MHP168L_RS01635	FEF31_RS01205
OG0000417	MHP168L_RS02305	FEF31_RS02025
OG0000418	MHP168L_RS02300	FEF31_RS02020
OG0000419	MHP168L_RS00950	FEF31_RS00365
OG0000420	MHP168L_RS00915	FEF31_RS00400
OG0000421	MHP168L_RS00885	FEF31_RS00435
OG0000422	MHP168L_RS00875	FEF31_RS00445
OG0000423	MHP168L_RS00820	FEF31_RS00500
OG0000424	MHP168L_RS00815	FEF31_RS00505
OG0000425	MHP168L_RS00805	FEF31_RS00515
OG0000426	MHP168L_RS00800	FEF31_RS04385
OG0000427	MHP168L_RS00775	FEF31_RS04390
OG0000428	MHP168L_RS00745	FEF31_RS00570
OG0000429	MHP168L_RS00650	FEF31_RS00665
OG0000430	MHP168L_RS00605	FEF31_RS00710
OG0000431	MHP168L_RS00595	FEF31_RS00720
OG0000432	MHP168L_RS01080	FEF31_RS00755
OG0000433	MHP168L_RS01095	FEF31_RS00770
OG0000434	MHP168L_RS01100	FEF31_RS00775
OG0000435	MHP168L_RS01115	FEF31_RS00790
OG0000436	MHP168L_RS01145	FEF31_RS00815
OG0000437	MHP168L_RS01155	FEF31_RS00825
OG0000438	MHP168L_RS01160	FEF31_RS00830
OG0000439	MHP168L_RS01165	FEF31_RS04400
OG0000440	MHP168L_RS02985	FEF31_RS02690
OG0000441	MHP168L_RS03025	FEF31_RS02725
OG0000442	MHP168L_RS00125	FEF31_RS03415
OG0000443	MHP168L_RS00170	FEF31_RS03460
OG0000444	MHP168L_RS00180	FEF31_RS03475
OG0000445	MHP168L_RS00205	FEF31_RS03500
OG0000446	MHP168L_RS00235	FEF31_RS03525
OG0000447	MHP168L_RS00240	FEF31_RS03530
OG0000448	MHP168L_RS00270	FEF31_RS03560
OG0000449	MHP168L_RS00295	FEF31_RS03585
OG0000450	MHP168L_RS00305	FEF31_RS03595
OG0000451	MHP168L_RS00345	FEF31_RS00030
OG0000452	MHP168L_RS00370	FEF31_RS00055
OG0000453	MHP168L_RS00405	FEF31_RS00090
OG0000455	MHP168L_RS03495	FEF31_RS03185
OG0000456	MHP168L_RS03380	FEF31_RS03065
OG0000457	MHP168L_RS03355	FEF31_RS03040
OG0000458	MHP168L_RS02545	FEF31_RS02255
OG0000459	MHP168L_RS02570	FEF31_RS02280
OG0000460	MHP168L_RS02580	FEF31_RS02290
OG0000461	MHP168L_RS02625	FEF31_RS02335
OG0000462	MHP168L_RS02620	FEF31_RS02330
OG0000463	MHP168L_RS02615	FEF31_RS02325
OG0000464	MHP168L_RS02610	FEF31_RS02320
OG0000465	MHP168L_RS02605	FEF31_RS02315
OG0000466	MHP168L_RS00375	FEF31_RS00060
OG0000467	MHP168L_RS02710	FEF31_RS04530
OG0000468	MHP168L_RS02055	FEF31_RS01710
OG0000469	MHP168L_RS02115	FEF31_RS01770
OG0000470	MHP168L_RS03850	FEF31_RS00495
OG0000471	MHP168L_RS00740	FEF31_RS00575
OG0000472	MHP168L_RS03315	FEF31_RS02995
OG0000473	MHP168L_RS03485	FEF31_RS03170
OG0000475	MHP168L_RS03490	FEF31_RS03180
OG0000476	MHP168L_RS01645	FEF31_RS01215
OG0000477	MHP168L_RS02650	FEF31_RS02360
OG0000478	MHP168L_RS03425	FEF31_RS03115
OG0000479	MHP168L_RS01420	FEF31_RS00985
OG0000480	MHP168L_RS03885	FEF31_RS01775
OG0000481	MHP168L_RS00850	FEF31_RS00470
OG0000482	MHP168L_RS01295	FEF31_RS00865
OG0000483	MHP168L_RS02240	FEF31_RS01820
OG0000484	MHP168L_RS00175	FEF31_RS04675
OG0000485	MHP168L_RS01150	FEF31_RS00820
