Orthogroup	MHP_111A_genes	MHP_TB1_genes
OG0000220	NB623_RS01125	B5M19_RS03360
OG0000221	NB623_RS01130	B5M19_RS03355
OG0000222	NB623_RS01135	B5M19_RS03350
OG0000223	NB623_RS01140	B5M19_RS03345
OG0000224	NB623_RS01150	B5M19_RS03130
OG0000225	NB623_RS01160	B5M19_RS03140
OG0000226	NB623_RS01165	B5M19_RS03145
OG0000227	NB623_RS01170	B5M19_RS03150
OG0000228	NB623_RS01175	B5M19_RS04630
OG0000229	NB623_RS01180	B5M19_RS03160
OG0000230	NB623_RS01185	B5M19_RS03165
OG0000231	NB623_RS01195	B5M19_RS03175
OG0000232	NB623_RS01205	B5M19_RS03185
OG0000233	NB623_RS01225	B5M19_RS02225
OG0000234	NB623_RS01260	B5M19_RS04335
OG0000235	NB623_RS01270	B5M19_RS02175
OG0000236	NB623_RS01275	B5M19_RS02170
OG0000237	NB623_RS01280	B5M19_RS02165
OG0000238	NB623_RS01285	B5M19_RS02155
OG0000239	NB623_RS03105	B5M19_RS01315
OG0000240	NB623_RS03110	B5M19_RS01310
OG0000241	NB623_RS03120	B5M19_RS01300
OG0000242	NB623_RS03125	B5M19_RS04160
OG0000243	NB623_RS03130	B5M19_RS01290
OG0000244	NB623_RS03140	B5M19_RS01280
OG0000245	NB623_RS03145	B5M19_RS01270
OG0000246	NB623_RS00130	B5M19_RS00050
OG0000247	NB623_RS00140	B5M19_RS00060
OG0000248	NB623_RS00150	B5M19_RS00070
OG0000249	NB623_RS00155	B5M19_RS00075
OG0000250	NB623_RS00175	B5M19_RS03880
OG0000251	NB623_RS00205	B5M19_RS00125
OG0000252	NB623_RS00210	B5M19_RS00135
OG0000253	NB623_RS00215	B5M19_RS00140
OG0000254	NB623_RS00225	B5M19_RS00150
OG0000255	NB623_RS00230	B5M19_RS00160
OG0000256	NB623_RS00240	B5M19_RS00165
OG0000257	NB623_RS00260	B5M19_RS00190
OG0000258	NB623_RS00270	B5M19_RS04020
OG0000259	NB623_RS00300	B5M19_RS00230
OG0000260	NB623_RS00310	B5M19_RS00240
OG0000261	NB623_RS00320	B5M19_RS00250
OG0000262	NB623_RS00340	B5M19_RS00270
OG0000263	NB623_RS00350	B5M19_RS00285
OG0000264	NB623_RS00365	B5M19_RS04030
OG0000265	NB623_RS00375	B5M19_RS00315
OG0000266	NB623_RS00390	B5M19_RS00335
OG0000267	NB623_RS00405	B5M19_RS04035
OG0000268	NB623_RS00410	B5M19_RS00355
OG0000269	NB623_RS00425	B5M19_RS03680
OG0000270	NB623_RS03685	B5M19_RS00415
OG0000271	NB623_RS03675	B5M19_RS00420
OG0000272	NB623_RS03670	B5M19_RS00425
OG0000273	NB623_RS03665	B5M19_RS00430
OG0000274	NB623_RS03650	B5M19_RS00450
OG0000275	NB623_RS03640	B5M19_RS00455
OG0000276	NB623_RS03635	B5M19_RS00460
OG0000277	NB623_RS03625	B5M19_RS00470
OG0000278	NB623_RS03620	B5M19_RS00475
OG0000279	NB623_RS03615	B5M19_RS00485
OG0000280	NB623_RS03605	B5M19_RS00490
OG0000281	NB623_RS03600	B5M19_RS00495
OG0000282	NB623_RS03570	B5M19_RS00520
OG0000283	NB623_RS03565	B5M19_RS00525
OG0000284	NB623_RS03560	B5M19_RS00530
OG0000285	NB623_RS03555	B5M19_RS00535
OG0000286	NB623_RS02575	B5M19_RS02850
OG0000287	NB623_RS02675	B5M19_RS01050
OG0000288	NB623_RS02685	B5M19_RS01040
OG0000289	NB623_RS02690	B5M19_RS01035
OG0000290	NB623_RS02810	B5M19_RS04120
OG0000291	NB623_RS02800	B5M19_RS00935
OG0000292	NB623_RS02795	B5M19_RS00940
OG0000293	NB623_RS02790	B5M19_RS00945
OG0000294	NB623_RS02780	B5M19_RS00955
OG0000295	NB623_RS02775	B5M19_RS00960
OG0000296	NB623_RS02730	B5M19_RS01000
OG0000297	NB623_RS02725	B5M19_RS01005
OG0000298	NB623_RS00165	B5M19_RS00085
OG0000299	NB623_RS00185	B5M19_RS00110
OG0000300	NB623_RS00360	B5M19_RS00300
OG0000301	NB623_RS00395	B5M19_RS00340
OG0000302	NB623_RS00400	B5M19_RS00345
OG0000303	NB623_RS00555	B5M19_RS02410
OG0000304	NB623_RS01210	B5M19_RS03190
OG0000305	NB623_RS03045	B5M19_RS01385
OG0000306	NB623_RS02970	B5M19_RS02560
OG0000307	NB623_RS02930	B5M19_RS02525
OG0000308	NB623_RS02835	B5M19_RS00905
OG0000309	NB623_RS02765	B5M19_RS00970
OG0000310	NB623_RS02680	B5M19_RS01045
OG0000311	NB623_RS02635	B5M19_RS02790
OG0000312	NB623_RS02620	B5M19_RS02805
OG0000313	NB623_RS01715	B5M19_RS03300
OG0000314	NB623_RS02140	B5M19_RS00780
OG0000315	NB623_RS02110	B5M19_RS00810
OG0000316	NB623_RS02100	B5M19_RS00820
OG0000317	NB623_RS02005	B5M19_RS02720
OG0000318	NB623_RS02095	B5M19_RS00825
OG0000319	NB623_RS02370	B5M19_RS02945
OG0000320	NB623_RS02500	B5M19_RS04425
OG0000321	NB623_RS01450	B5M19_RS01240
OG0000322	NB623_RS01500	B5M19_RS01195
OG0000323	NB623_RS01630	B5M19_RS01065
OG0000324	NB623_RS02410	B5M19_RS03240
OG0000325	NB623_RS00705	B5M19_RS01845
OG0000326	NB623_RS00805	B5M19_RS01750
OG0000327	NB623_RS00810	B5M19_RS01745
OG0000328	NB623_RS00895	B5M19_RS01660
OG0000329	NB623_RS00915	B5M19_RS01640
OG0000330	NB623_RS01235	B5M19_RS02210
OG0000331	NB623_RS03135	B5M19_RS01285
OG0000332	NB623_RS03270	B5M19_RS01520
OG0000333	NB623_RS03280	B5M19_RS01530
OG0000334	NB623_RS03380	B5M19_RS03040
OG0000335	NB623_RS03390	B5M19_RS03030
OG0000336	NB623_RS03590	B5M19_RS00505
OG0000337	NB623_RS03765	B5M19_RS01985
OG0000338	NB623_RS03805	B5M19_RS01940
OG0000339	NB623_RS02475	B5M19_RS03615
OG0000340	NB623_RS01430	B5M19_RS02565
OG0000341	NB623_RS02435	B5M19_RS03220
OG0000342	NB623_RS00735	B5M19_RS01815
OG0000343	NB623_RS03290	B5M19_RS04195
OG0000344	NB623_RS00570	B5M19_RS02425
OG0000345	NB623_RS01155	B5M19_RS03135
OG0000346	NB623_RS03595	B5M19_RS04590
OG0000347	NB623_RS01525	B5M19_RS01170
OG0000348	NB623_RS00815	B5M19_RS01740
OG0000349	NB623_RS03655	B5M19_RS00440
OG0000350	NB623_RS02920	B5M19_RS02515
OG0000351	NB623_RS00480	B5M19_RS03490
OG0000352	NB623_RS02160	B5M19_RS00755
OG0000353	NB623_RS01490	B5M19_RS01200
OG0000354	NB623_RS00630	B5M19_RS03080
OG0000355	NB623_RS02185	B5M19_RS00725
OG0000356	NB623_RS02105	B5M19_RS00815
OG0000357	NB623_RS03245	B5M19_RS01500
OG0000358	NB623_RS03250	B5M19_RS01505
OG0000359	NB623_RS00780	B5M19_RS01770
OG0000360	NB623_RS00265	B5M19_RS00195
OG0000361	NB623_RS00295	B5M19_RS00225
OG0000362	NB623_RS02705	B5M19_RS01025
OG0000363	NB623_RS01565	B5M19_RS01125
OG0000364	NB623_RS02210	B5M19_RS00700
OG0000365	NB623_RS02060	B5M19_RS02775
OG0000366	NB623_RS02035	B5M19_RS02750
OG0000367	NB623_RS02025	B5M19_RS02740
OG0000368	NB623_RS00060	B5M19_RS04270
OG0000369	NB623_RS00025	B5M19_RS01910
OG0000370	NB623_RS00020	B5M19_RS01915
OG0000371	NB623_RS00015	B5M19_RS01920
OG0000372	NB623_RS00010	B5M19_RS01925
OG0000373	NB623_RS03795	B5M19_RS01950
OG0000374	NB623_RS03785	B5M19_RS01960
OG0000375	NB623_RS02365	B5M19_RS02950
OG0000376	NB623_RS02515	B5M19_RS02670
OG0000377	NB623_RS02505	B5M19_RS02680
OG0000378	NB623_RS01410	B5M19_RS02585
OG0000379	NB623_RS01485	B5M19_RS01205
OG0000380	NB623_RS01515	B5M19_RS01180
OG0000381	NB623_RS01555	B5M19_RS01140
OG0000382	NB623_RS01585	B5M19_RS01105
OG0000383	NB623_RS01625	B5M19_RS01070
OG0000384	NB623_RS00510	B5M19_RS02365
OG0000385	NB623_RS00520	B5M19_RS02370
OG0000386	NB623_RS00535	B5M19_RS02390
OG0000387	NB623_RS00560	B5M19_RS02415
OG0000388	NB623_RS00565	B5M19_RS02420
OG0000389	NB623_RS00610	B5M19_RS03095
OG0000390	NB623_RS03065	B5M19_RS01365
OG0000391	NB623_RS03055	B5M19_RS01375
OG0000392	NB623_RS03030	B5M19_RS01400
OG0000393	NB623_RS02975	B5M19_RS03515
