Orthogroup	MHP_UFV01_genes	MHP_ES2L_genes
OG0000480	FEF30_RS02410	HZK19_RS01995
OG0000481	FEF30_RS01125	HZK19_RS00790
OG0000483	FEF30_RS02455	HZK19_RS02040
OG0000484	FEF30_RS04190	HZK19_RS00185
OG0000485	FEF30_RS01475	HZK19_RS01140
OG0000486	FEF30_RS02680	HZK19_RS02275
OG0000487	FEF30_RS04325	HZK19_RS01970
OG0000488	FEF30_RS02425	HZK19_RS02010
OG0000489	FEF30_RS00380	HZK19_RS00050
OG0000490	FEF30_RS00320	HZK19_RS03655
OG0000491	FEF30_RS01660	HZK19_RS01315
OG0000492	FEF30_RS01740	HZK19_RS01390
OG0000493	FEF30_RS00890	HZK19_RS00570
OG0000494	FEF30_RS00955	HZK19_RS00630
OG0000495	FEF30_RS03215	HZK19_RS02800
OG0000496	FEF30_RS03205	HZK19_RS02790
OG0000497	FEF30_RS03200	HZK19_RS02785
OG0000498	FEF30_RS03115	HZK19_RS02705
OG0000499	FEF30_RS03080	HZK19_RS02670
OG0000500	FEF30_RS02310	HZK19_RS01890
OG0000502	FEF30_RS01510	HZK19_RS01165
OG0000503	FEF30_RS01070	HZK19_RS00735
OG0000504	FEF30_RS01205	HZK19_RS00870
OG0000505	FEF30_RS01240	HZK19_RS00905
OG0000506	FEF30_RS01250	HZK19_RS00915
OG0000507	FEF30_RS01285	HZK19_RS00950
OG0000508	FEF30_RS00565	HZK19_RS00235
OG0000509	FEF30_RS00600	HZK19_RS00270
