Orthogroup	MHP_F72C_genes	MHP_UFV01_genes
OG0000386	EHI52_RS00555	FEF30_RS00850
OG0000387	EHI52_RS00580	FEF30_RS00875
OG0000388	EHI52_RS00585	FEF30_RS04205
OG0000389	EHI52_RS00630	FEF30_RS00930
OG0000390	EHI52_RS02890	FEF30_RS03280
OG0000391	EHI52_RS02880	FEF30_RS03270
OG0000392	EHI52_RS02855	FEF30_RS03245
OG0000393	EHI52_RS02800	FEF30_RS04380
OG0000394	EHI52_RS02725	FEF30_RS03110
OG0000395	EHI52_RS02720	FEF30_RS03105
OG0000396	EHI52_RS02430	FEF30_RS02800
OG0000397	EHI52_RS02015	FEF30_RS02300
OG0000398	EHI52_RS02010	FEF30_RS02305
OG0000399	EHI52_RS01965	FEF30_RS02350
OG0000400	EHI52_RS03070	FEF30_RS03405
OG0000401	EHI52_RS03135	FEF30_RS03465
OG0000402	EHI52_RS03145	FEF30_RS03475
OG0000403	EHI52_RS03155	FEF30_RS03485
OG0000404	EHI52_RS03185	FEF30_RS03510
OG0000405	EHI52_RS03200	FEF30_RS04480
OG0000406	EHI52_RS03255	FEF30_RS03580
OG0000407	EHI52_RS03260	FEF30_RS04400
OG0000408	EHI52_RS03265	FEF30_RS03590
OG0000409	EHI52_RS03270	FEF30_RS03595
OG0000410	EHI52_RS03330	FEF30_RS00030
OG0000411	EHI52_RS03320	FEF30_RS00020
OG0000412	EHI52_RS03315	FEF30_RS00015
OG0000413	EHI52_RS01580	FEF30_RS01835
OG0000414	EHI52_RS01590	FEF30_RS01845
OG0000415	EHI52_RS01595	FEF30_RS01850
OG0000416	EHI52_RS01605	FEF30_RS01860
OG0000417	EHI52_RS02295	FEF30_RS02660
OG0000418	EHI52_RS02290	FEF30_RS02655
OG0000419	EHI52_RS00710	FEF30_RS01020
OG0000420	EHI52_RS00745	FEF30_RS01055
OG0000421	EHI52_RS00780	FEF30_RS01090
OG0000422	EHI52_RS00790	FEF30_RS01100
OG0000423	EHI52_RS00845	FEF30_RS01155
OG0000424	EHI52_RS00850	FEF30_RS01160
OG0000425	EHI52_RS00860	FEF30_RS01170
OG0000426	EHI52_RS00865	FEF30_RS04220
OG0000427	EHI52_RS00890	FEF30_RS04225
OG0000428	EHI52_RS00915	FEF30_RS01225
OG0000429	EHI52_RS01080	FEF30_RS01320
OG0000430	EHI52_RS01125	FEF30_RS01365
OG0000431	EHI52_RS01135	FEF30_RS01375
OG0000432	EHI52_RS01170	FEF30_RS01410
OG0000433	EHI52_RS01185	FEF30_RS01425
OG0000434	EHI52_RS01190	FEF30_RS01430
