Orthogroup	MHP_F72C_genes	MHP_111A_genes
OG0000338	EHI52_RS03615	NB623_RS03805
OG0000339	EHI52_RS02340	NB623_RS02475
OG0000340	EHI52_RS01375	NB623_RS01430
OG0000341	EHI52_RS02300	NB623_RS02435
OG0000342	EHI52_RS00730	NB623_RS00735
OG0000343	EHI52_RS03150	NB623_RS03290
OG0000344	EHI52_RS00590	NB623_RS00570
OG0000345	EHI52_RS01090	NB623_RS01155
OG0000346	EHI52_RS03405	NB623_RS03595
OG0000347	EHI52_RS01465	NB623_RS01525
OG0000348	EHI52_RS00805	NB623_RS00815
OG0000349	EHI52_RS03465	NB623_RS03655
OG0000350	EHI52_RS02750	NB623_RS02920
OG0000351	EHI52_RS00510	NB623_RS00480
OG0000352	EHI52_RS02000	NB623_RS02160
OG0000353	EHI52_RS01435	NB623_RS01490
OG0000354	EHI52_RS00650	NB623_RS00630
OG0000355	EHI52_RS02030	NB623_RS02185
OG0000356	EHI52_RS01945	NB623_RS02105
OG0000357	EHI52_RS03110	NB623_RS03245
OG0000358	EHI52_RS03115	NB623_RS03250
OG0000359	EHI52_RS00775	NB623_RS00780
OG0000360	EHI52_RS00285	NB623_RS00265
OG0000361	EHI52_RS00315	NB623_RS00295
OG0000362	EHI52_RS02540	NB623_RS02705
OG0000363	EHI52_RS01505	NB623_RS01565
OG0000364	EHI52_RS03790, EHI52_RS02055	NB623_RS02210
OG0000365	EHI52_RS01905	NB623_RS02060
OG0000366	EHI52_RS01880	NB623_RS02035
OG0000367	EHI52_RS01870	NB623_RS02025
OG0000368	EHI52_RS00060	NB623_RS00060
OG0000369	EHI52_RS00025	NB623_RS00025
OG0000370	EHI52_RS00020	NB623_RS00020
OG0000371	EHI52_RS00015	NB623_RS00015
OG0000372	EHI52_RS00010	NB623_RS00010
OG0000373	EHI52_RS03605	NB623_RS03795
OG0000374	EHI52_RS03595	NB623_RS03785
OG0000375	EHI52_RS02235	NB623_RS02365
OG0000376	EHI52_RS02385	NB623_RS02515
OG0000377	EHI52_RS02375	NB623_RS02505
OG0000378	EHI52_RS01355	NB623_RS01410
