E5E95_RS02650 WP_135619210.1
E5E95_RS02655 WP_135618938.1
E5E95_RS02660 WP_011206287.1
E5E95_RS02665 WP_011284209.1
E5E95_RS04310 WP_011206289.1
E5E95_RS02675 WP_014579882.1
E5E95_RS02680 WP_135618940.1
E5E95_RS02685 WP_011206292.1
E5E95_RS02690 WP_011206293.1
E5E95_RS02705 WP_135618942.1
E5E95_RS04135 WP_240536338.1
E5E95_RS03930 WP_240536339.1
E5E95_RS02715 WP_135618944.1
E5E95_RS02720 WP_135618946.1
E5E95_RS02725 WP_135618948.1
E5E95_RS02730 WP_011284218.1
E5E95_RS02735 WP_020835793.1
E5E95_RS02740 WP_011206301.1
E5E95_RS02745 WP_094521719.1
E5E95_RS02750 WP_011206303.1
E5E95_RS02755 WP_135618950.1
E5E95_RS02760 WP_135618951.1
E5E95_RS02765 WP_020835798.1
E5E95_RS02770 WP_041361673.1
E5E95_RS02775 WP_135618953.1
E5E95_RS02780 WP_011206309.1
E5E95_RS02785 WP_135618955.1
E5E95_RS02790 WP_011284228.1
E5E95_RS02795 WP_135618956.1
E5E95_RS02800 WP_135618958.1
E5E95_RS03935 WP_179695988.1
E5E95_RS02810 WP_011206315.1
E5E95_RS02815 WP_135618960.1
E5E95_RS02820 WP_135618962.1
E5E95_RS02825 WP_135618964.1
E5E95_RS02830 WP_011206319.1
E5E95_RS02835 WP_011206320.1
E5E95_RS02840 WP_135618965.1
E5E95_RS02845 WP_135618967.1
E5E95_RS02850 WP_011206323.1
E5E95_RS02855 WP_135618969.1
E5E95_RS02860 WP_011290300.1
E5E95_RS02865 WP_020835811.1
E5E95_RS02875 WP_020835811.1
E5E95_RS02880 WP_135618974.1
E5E95_RS02885 WP_044284684.1
E5E95_RS02890 WP_135618976.1
E5E95_RS02895 WP_135618978.1
E5E95_RS04215 WP_135618980.1
E5E95_RS02905 WP_135618980.1
E5E95_RS02910 WP_014579918.1
E5E95_RS02915 WP_011206335.1
E5E95_RS02920 WP_135618982.1
E5E95_RS02925 WP_135618984.1
E5E95_RS02930 WP_135618986.1
E5E95_RS02935 WP_011290313.1
E5E95_RS02940 WP_011290313.1
E5E95_RS02945 WP_135618988.1
E5E95_RS04150 WP_240536341.1
E5E95_RS04155 WP_240536342.1
E5E95_RS02960 WP_044284839.1
E5E95_RS02965 WP_094521730.1
E5E95_RS02970 WP_135618990.1
E5E95_RS02975 WP_135618992.1
E5E95_RS02980 WP_020835827.1
E5E95_RS02985 WP_135618994.1
E5E95_RS02990 WP_240536343.1
E5E95_RS04160 WP_240536345.1
E5E95_RS03000 WP_225972995.1
E5E95_RS04220 WP_258555422.1
E5E95_RS03005 WP_135618998.1
E5E95_RS03010 WP_135619000.1
E5E95_RS03015 WP_135619002.1
E5E95_RS03020 WP_135619004.1
E5E95_RS03025 WP_011206375.1
E5E95_RS03030 WP_135619006.1
E5E95_RS03035 WP_135619008.1
E5E95_RS03040 WP_135619010.1
E5E95_RS03045 WP_011290331.1
E5E95_RS03050 WP_020835837.1
E5E95_RS03055 WP_135619012.1
E5E95_RS03060 WP_135619014.1
E5E95_RS03065 WP_135619016.1
E5E95_RS03070 WP_135619018.1
E5E95_RS03075 WP_011206385.1
E5E95_RS03080 WP_135619020.1
E5E95_RS03085 WP_225972996.1
E5E95_RS04315 WP_240536346.1
E5E95_RS03090 WP_240536347.1
E5E95_RS03095 WP_135619022.1
E5E95_RS03100 WP_135619024.1
E5E95_RS03105 WP_135619026.1
E5E95_RS03110 WP_135619028.1
E5E95_RS04170 WP_228366107.1
E5E95_RS03125 WP_240536348.1
E5E95_RS03130 WP_135619030.1
E5E95_RS03135 WP_011284290.1
E5E95_RS03140 WP_135619032.1
E5E95_RS03145 WP_011206399.1
E5E95_RS03150 WP_135619034.1
E5E95_RS03155 WP_020835852.1
E5E95_RS03160 WP_135619036.1
E5E95_RS03165 WP_135619038.1
E5E95_RS03170 WP_011290352.1
E5E95_RS03175 WP_135619040.1
E5E95_RS03180 WP_011206406.1
E5E95_RS03190 WP_135619044.1
E5E95_RS03195 WP_135619046.1
E5E95_RS03200 WP_167871266.1
E5E95_RS03205 WP_135619047.1
E5E95_RS03215 WP_240536349.1
E5E95_RS04175 WP_135619049.1
E5E95_RS03230 WP_135619051.1
E5E95_RS03235 WP_240536350.1
E5E95_RS04180 WP_135619053.1
E5E95_RS03255 WP_002557698.1
E5E95_RS03260 WP_240536351.1
E5E95_RS03265 WP_135619057.1
E5E95_RS03270 WP_011206420.1
E5E95_RS04275 WP_318026018.1
E5E95_RS04280 WP_318026019.1
E5E95_RS03280 WP_011206422.1
E5E95_RS03285 WP_011206424.1
E5E95_RS03290 WP_135619059.1
E5E95_RS03295 WP_011290369.1
E5E95_RS03300 WP_240536352.1
E5E95_RS03305 WP_135619062.1
E5E95_RS03310 WP_135619064.1
E5E95_RS03315 WP_135619066.1
E5E95_RS03320 WP_135619068.1
E5E95_RS03325 WP_135619070.1
E5E95_RS03330 WP_135619072.1
E5E95_RS03335 WP_135619073.1
E5E95_RS03340 WP_011206435.1
E5E95_RS03345 WP_187145658.1
E5E95_RS03350 WP_094521504.1
E5E95_RS03950 WP_179221224.1
E5E95_RS03360 WP_135619075.1
E5E95_RS03365 WP_135619077.1
