MHL_RS02045 WP_011290195.1
MHL_RS02050 WP_011206207.1
MHL_RS04035 WP_020835718.1
MHL_RS04040 WP_236607945.1
MHL_RS02060 WP_011290197.1
MHL_RS02065 WP_236607946.1
MHL_RS02070 WP_014579818.1
MHL_RS02075 WP_020835722.1
MHL_RS02080 WP_044272470.1
MHL_RS02085 WP_020835724.1
MHL_RS02090 WP_011290201.1
MHL_RS02095 WP_014579823.1
MHL_RS02100 WP_011290203.1
MHL_RS03850 WP_011206218.1
MHL_RS02105 WP_020835726.1
MHL_RS02110 WP_041361769.1
MHL_RS02115 WP_020835728.1
MHL_RS02120 WP_011284142.1
MHL_RS02125 WP_020835729.1
MHL_RS02130 WP_011206224.1
MHL_RS02135 WP_011290207.1
MHL_RS02140 WP_020835730.1
MHL_RS02145 WP_051129930.1
MHL_RS02150 WP_020835732.1
MHL_RS02155 WP_020835733.1
MHL_RS02160 WP_020835734.1
MHL_RS02165 WP_011290212.1
MHL_RS02170 WP_020835735.1
MHL_RS02185 WP_269076337.1
MHL_RS02190 WP_269076337.1
MHL_RS02195 WP_020835737.1
MHL_RS02200 WP_002557988.1
MHL_RS03730 WP_002557988.1
MHL_RS04045 WP_236607948.1
MHL_RS04050 WP_020835740.1
MHL_RS03735 WP_020835740.1
MHL_RS02240 WP_002557992.1
MHL_RS02245 WP_020835742.1
MHL_RS02250 WP_020835743.1
MHL_RS02255 WP_041361653.1
MHL_RS03905 WP_041361655.1
MHL_RS03860 WP_318023952.1
MHL_RS03865 WP_011206235.1
MHL_RS04055 WP_020835748.1
MHL_RS03810 WP_148285449.1
MHL_RS02275 WP_011290214.1
MHL_RS02280 WP_011206239.1
MHL_RS02285 WP_011284163.1
MHL_RS02290 WP_020835750.1
MHL_RS02295 WP_011290216.1
MHL_RS02300 WP_014579831.1
MHL_RS02305 WP_011290218.1
MHL_RS02310 WP_020835752.1
MHL_RS02315 WP_020835753.1
MHL_RS02320 WP_011206247.1
MHL_RS02325 WP_020835754.1
MHL_RS02335 WP_011290222.1
MHL_RS02340 WP_020835755.1
MHL_RS02345 WP_020835756.1
MHL_RS02350 WP_011290225.1
MHL_RS02355 WP_011290226.1
MHL_RS02360 WP_020835757.1
MHL_RS02365 WP_020835758.1
MHL_RS02370 WP_020835759.1
MHL_RS02375 WP_020835760.1
MHL_RS02380 WP_148174330.1
MHL_RS04190 WP_020835762.1
MHL_RS02390 WP_225972978.1
MHL_RS02395 WP_011284183.1
MHL_RS02400 WP_020835763.1
MHL_RS02405 WP_236607949.1
MHL_RS02410 WP_011284186.1
MHL_RS02415 WP_020835765.1
MHL_RS02420 WP_041361785.1
MHL_RS02425 WP_020835767.1
MHL_RS02430 WP_041361661.1
MHL_RS02435 WP_020835769.1
MHL_RS02440 WP_020835770.1
MHL_RS02445 WP_020835771.1
MHL_RS02450 WP_020835772.1
MHL_RS02455 WP_318023953.1
MHL_RS04060 WP_236607950.1
MHL_RS02460 WP_236607951.1
MHL_RS02470 WP_020835777.1
MHL_RS02475 WP_020835778.1
MHL_RS02480 WP_020835779.1
MHL_RS02485 WP_020835780.1
MHL_RS02490 WP_020835781.1
MHL_RS02500 WP_020835782.1
MHL_RS02505 WP_081430781.1
MHL_RS02510 WP_020835784.1
MHL_RS02515 WP_014579880.1
MHL_RS02520 WP_020835785.1
MHL_RS02525 WP_011206289.1
MHL_RS02530 WP_041361671.1
MHL_RS02535 WP_020835786.1
MHL_RS02540 WP_011206292.1
MHL_RS02545 WP_011206293.1
MHL_RS03635 WP_051129932.1
MHL_RS04065 WP_228366102.1
MHL_RS02570 WP_020835790.1
MHL_RS02575 WP_020835791.1
MHL_RS02580 WP_011206298.1
MHL_RS02585 WP_041361791.1
MHL_RS02590 WP_020835793.1
MHL_RS02595 WP_014579890.1
MHL_RS02600 WP_020835794.1
MHL_RS02605 WP_020835795.1
MHL_RS02610 WP_020835796.1
MHL_RS02615 WP_020835797.1
MHL_RS02620 WP_020835798.1
MHL_RS02625 WP_041361673.1
MHL_RS02630 WP_020835800.1
MHL_RS02635 WP_011206309.1
MHL_RS02640 WP_020835801.1
MHL_RS02645 WP_020835802.1
MHL_RS02650 WP_041361674.1
MHL_RS02655 WP_011206313.1
MHL_RS03870 WP_011206314.1
MHL_RS02665 WP_011206315.1
MHL_RS02670 WP_041361676.1
MHL_RS02675 WP_011290293.1
MHL_RS02680 WP_020835805.1
MHL_RS02685 WP_020835806.1
MHL_RS02690 WP_011206320.1
MHL_RS02695 WP_020835807.1
MHL_RS02700 WP_020835808.1
MHL_RS02705 WP_011290298.1
MHL_RS02710 WP_020835809.1
MHL_RS02715 WP_020835810.1
MHL_RS02720 WP_020835811.1
MHL_RS02725 WP_020835812.1
