Orthogroup	MFC_MF33_genes	MHP_NCTC10127_genes
OG0000248	DR085_RS02385	EXC50_RS00160
OG0000249	DR085_RS02390	EXC50_RS00165
OG0000250	DR085_RS00015	EXC50_RS00180
OG0000251	DR085_RS00045	EXC50_RS00215
OG0000252	DR085_RS00055	EXC50_RS00225
OG0000253	DR085_RS00060	EXC50_RS00230
OG0000254	DR085_RS00070	EXC50_RS00240
OG0000255	DR085_RS00075	EXC50_RS00250
OG0000256	DR085_RS00080	EXC50_RS00255
OG0000257	DR085_RS00105	EXC50_RS00280
OG0000258	DR085_RS00115	EXC50_RS00290
OG0000259	DR085_RS00145	EXC50_RS00320
OG0000260	DR085_RS00155	EXC50_RS00330
OG0000261	DR085_RS03635	EXC50_RS00340
OG0000262	DR085_RS00180	EXC50_RS00360
OG0000263	DR085_RS00195	EXC50_RS00375
OG0000264	DR085_RS00210	EXC50_RS00390
OG0000265	DR085_RS00220	EXC50_RS00400
OG0000266	DR085_RS00235	EXC50_RS00420
OG0000267	DR085_RS00250	EXC50_RS00435
OG0000268	DR085_RS00255	EXC50_RS03665
OG0000269	DR085_RS00270	EXC50_RS03650
OG0000270	DR085_RS03815	EXC50_RS02335
OG0000271	DR085_RS02505	EXC50_RS02330
OG0000272	DR085_RS02510	EXC50_RS02325
OG0000273	DR085_RS02515	EXC50_RS02320
OG0000274	DR085_RS02530	EXC50_RS02300
OG0000275	DR085_RS03820	EXC50_RS02295
OG0000276	DR085_RS02540	EXC50_RS02290
OG0000277	DR085_RS03825	EXC50_RS02280
OG0000278	DR085_RS02555	EXC50_RS02275
OG0000279	DR085_RS02565	EXC50_RS02265
OG0000280	DR085_RS02570	EXC50_RS02260
OG0000281	DR085_RS02575	EXC50_RS02255
OG0000282	DR085_RS02600	EXC50_RS02230
OG0000283	DR085_RS02605	EXC50_RS02225
OG0000284	DR085_RS02610	EXC50_RS02220
OG0000285	DR085_RS03840	EXC50_RS02215
OG0000286	DR085_RS00925	EXC50_RS01270
OG0000287	DR085_RS00900	EXC50_RS01365
OG0000288	DR085_RS00890	EXC50_RS01375
OG0000289	DR085_RS00885	EXC50_RS01380
OG0000290	DR085_RS03270	EXC50_RS01490
OG0000291	DR085_RS00785	EXC50_RS01480
OG0000292	DR085_RS00790	EXC50_RS01475
OG0000293	DR085_RS00795	EXC50_RS01470
OG0000294	DR085_RS00805	EXC50_RS01460
OG0000295	DR085_RS00810	EXC50_RS01455
OG0000296	DR085_RS00850	EXC50_RS01415
OG0000297	DR085_RS00855	EXC50_RS01410
OG0000298	DR085_RS00010	EXC50_RS00175
OG0000299	DR085_RS00030	EXC50_RS00200
OG0000300	DR085_RS00205	EXC50_RS00385
OG0000301	DR085_RS00240	EXC50_RS00425
OG0000302	DR085_RS00245	EXC50_RS00430
OG0000303	DR085_RS00380	EXC50_RS03525
OG0000304	DR085_RS00415	EXC50_RS03010
OG0000305	DR085_RS00565	EXC50_RS01720
OG0000306	DR085_RS00650	EXC50_RS01645
OG0000307	DR085_RS00685	EXC50_RS01610
OG0000308	DR085_RS00765	EXC50_RS01510
OG0000309	DR085_RS00820	EXC50_RS01445
OG0000310	DR085_RS00895	EXC50_RS01370
OG0000311	DR085_RS00945	EXC50_RS01330
OG0000312	DR085_RS00965	EXC50_RS01315
OG0000313	DR085_RS02700	EXC50_RS00540
OG0000314	DR085_RS02785	EXC50_RS00900
OG0000315	DR085_RS02755	EXC50_RS00930
OG0000316	DR085_RS02745	EXC50_RS00940
OG0000317	DR085_RS02870	EXC50_RS01030
OG0000318	DR085_RS03900	EXC50_RS00945
OG0000319	DR085_RS01915	EXC50_RS01080
OG0000320	DR085_RS01850	EXC50_RS01215
OG0000321	DR085_RS01785	EXC50_RS02755
OG0000322	DR085_RS01740	EXC50_RS02710
OG0000323	DR085_RS01610	EXC50_RS02580
OG0000324	DR085_RS02115	EXC50_RS01120
OG0000325	DR085_RS02075	EXC50_RS03385
OG0000326	DR085_RS01980	EXC50_RS03290
OG0000327	DR085_RS01975	EXC50_RS03285
OG0000328	DR085_RS01045	EXC50_RS03200
OG0000329	DR085_RS01065	EXC50_RS03180
OG0000330	DR085_RS01250	EXC50_RS02985
OG0000331	DR085_RS01370	EXC50_RS01815
OG0000332	DR085_RS01470	EXC50_RS01950
OG0000333	DR085_RS01480	EXC50_RS01960
OG0000334	DR085_RS01545	EXC50_RS02065
OG0000335	DR085_RS03720	EXC50_RS02075
OG0000336	DR085_RS03835	EXC50_RS02245
OG0000337	DR085_RS02220	EXC50_RS02415
OG0000338	DR085_RS02260	EXC50_RS02455
OG0000339	DR085_RS01830	EXC50_RS01185
OG0000340	DR085_RS01805	EXC50_RS02775
OG0000341	DR085_RS02135	EXC50_RS01140
OG0000342	DR085_RS02045	EXC50_RS03355
OG0000343	DR085_RS01490	EXC50_RS01970
OG0000344	DR085_RS00395	EXC50_RS03510
OG0000345	DR085_RS01180	EXC50_RS03065
OG0000346	DR085_RS03830	EXC50_RS02250
OG0000347	DR085_RS01715	EXC50_RS02685
OG0000348	DR085_RS03760	EXC50_RS03280
OG0000349	DR085_RS02520	EXC50_RS02310
OG0000350	DR085_RS00655	EXC50_RS01600
OG0000351	DR085_RS00330	EXC50_RS03590
OG0000352	DR085_RS02815	EXC50_RS00880
OG0000353	DR085_RS01745	EXC50_RS02715
OG0000354	DR085_RS00450	EXC50_RS03450
OG0000355	DR085_RS03855	EXC50_RS00850
OG0000356	DR085_RS03870	EXC50_RS00935
OG0000357	DR085_RS03705	EXC50_RS01930
OG0000358	DR085_RS01455	EXC50_RS01935
OG0000359	DR085_RS03765	EXC50_RS03310
OG0000360	DR085_RS00110	EXC50_RS00285
OG0000361	DR085_RS00140	EXC50_RS00315
OG0000362	DR085_RS00875	EXC50_RS01390
OG0000363	DR085_RS03935	EXC50_RS02645
OG0000365	DR085_RS03915	EXC50_RS00975
OG0000366	DR085_RS02840	EXC50_RS01000
OG0000367	DR085_RS02850	EXC50_RS01010
OG0000368	DR085_RS02325	EXC50_RS00060
OG0000369	DR085_RS03780	EXC50_RS00025
OG0000370	DR085_RS02285	EXC50_RS00020
OG0000371	DR085_RS02280	EXC50_RS00015
OG0000372	DR085_RS02275	EXC50_RS00010
OG0000373	DR085_RS02250	EXC50_RS02445
OG0000374	DR085_RS02240	EXC50_RS02435
OG0000375	DR085_RS01920	EXC50_RS01075
OG0000376	DR085_RS01865	EXC50_RS01230
OG0000377	DR085_RS01855	EXC50_RS01220
OG0000378	DR085_RS01820	EXC50_RS02795
OG0000379	DR085_RS01750	EXC50_RS02720
OG0000380	DR085_RS01725	EXC50_RS02695
OG0000381	DR085_RS01685	EXC50_RS02655
OG0000382	DR085_RS01655	EXC50_RS02625
OG0000383	DR085_RS01615	EXC50_RS02585
OG0000384	DR085_RS00335	EXC50_RS03570
OG0000385	DR085_RS00340	EXC50_RS03565
OG0000386	DR085_RS00360	EXC50_RS03545
OG0000387	DR085_RS00385	EXC50_RS03520
OG0000388	DR085_RS03645	EXC50_RS03515
OG0000389	DR085_RS00430	EXC50_RS03470
OG0000390	DR085_RS00545	EXC50_RS01740
OG0000391	DR085_RS00555	EXC50_RS01730
OG0000392	DR085_RS00580	EXC50_RS01705
OG0000393	DR085_RS00635	EXC50_RS01650
OG0000394	DR085_RS00700	EXC50_RS01575
OG0000395	DR085_RS00705	EXC50_RS01570
OG0000396	DR085_RS02710	EXC50_RS01275
OG0000397	DR085_RS02665	EXC50_RS00865
OG0000398	DR085_RS02660	EXC50_RS00870
OG0000399	DR085_RS02770	EXC50_RS00915
OG0000400	DR085_RS01415	EXC50_RS01895
OG0000401	DR085_RS01475	EXC50_RS01955
OG0000402	DR085_RS01485	EXC50_RS01965
OG0000403	DR085_RS01495	EXC50_RS01975
OG0000404	DR085_RS03710	EXC50_RS02005
OG0000405	DR085_RS01530	EXC50_RS02020
OG0000406	DR085_RS01560	EXC50_RS02080
OG0000407	DR085_RS03725	EXC50_RS02085
OG0000408	DR085_RS01570	EXC50_RS02090
OG0000409	DR085_RS01575	EXC50_RS02095
OG0000410	DR085_RS02955	EXC50_RS02155
OG0000411	DR085_RS02945	EXC50_RS02145
OG0000412	DR085_RS02940	EXC50_RS02140
OG0000413	DR085_RS02185	EXC50_RS02570
OG0000414	DR085_RS02175	EXC50_RS02560
OG0000415	DR085_RS02170	EXC50_RS02555
OG0000416	DR085_RS02160	EXC50_RS02545
OG0000417	DR085_RS02130	EXC50_RS01135
OG0000418	DR085_RS02125	EXC50_RS01130
OG0000419	DR085_RS02065	EXC50_RS03375
OG0000420	DR085_RS02030	EXC50_RS03340
OG0000421	DR085_RS01995	EXC50_RS03305
OG0000422	DR085_RS01985	EXC50_RS03295
OG0000423	DR085_RS01005	EXC50_RS03240
OG0000424	DR085_RS01010	EXC50_RS03235
OG0000425	DR085_RS01020	EXC50_RS03225
OG0000426	DR085_RS03680	EXC50_RS03220
OG0000427	DR085_RS03685	EXC50_RS03195
OG0000428	DR085_RS01075	EXC50_RS03170
OG0000429	DR085_RS01170	EXC50_RS03075
OG0000430	DR085_RS01215	EXC50_RS03030
OG0000431	DR085_RS01225	EXC50_RS03020
OG0000432	DR085_RS01245	EXC50_RS02990
OG0000433	DR085_RS01255	EXC50_RS02975
OG0000434	DR085_RS01260	EXC50_RS02970
OG0000435	DR085_RS01275	EXC50_RS02955
OG0000436	DR085_RS01315	EXC50_RS02925
OG0000437	DR085_RS01325	EXC50_RS02915
OG0000438	DR085_RS03700	EXC50_RS02910
OG0000439	DR085_RS01335	EXC50_RS02905
OG0000440	DR085_RS01350	EXC50_RS01795
OG0000441	DR085_RS01390	EXC50_RS01835
OG0000442	DR085_RS02355	EXC50_RS00145
OG0000443	DR085_RS00025	EXC50_RS00195
OG0000444	DR085_RS00040	EXC50_RS00210
OG0000445	DR085_RS00065	EXC50_RS00235
OG0000446	DR085_RS00090	EXC50_RS00265
OG0000447	DR085_RS00095	EXC50_RS00270
OG0000448	DR085_RS00125	EXC50_RS00300
OG0000449	DR085_RS00150	EXC50_RS00325
OG0000450	DR085_RS00160	EXC50_RS00335
OG0000451	DR085_RS00200	EXC50_RS00380
OG0000452	DR085_RS00225	EXC50_RS00410
OG0000453	DR085_RS00260	EXC50_RS03660
OG0000455	DR085_RS03810	EXC50_RS02355
OG0000456	DR085_RS02595	EXC50_RS02235
OG0000457	DR085_RS02620	EXC50_RS02210
OG0000458	DR085_RS00905	EXC50_RS01360
OG0000459	DR085_RS00880	EXC50_RS01385
OG0000460	DR085_RS00870	EXC50_RS01395
OG0000461	DR085_RS00825	EXC50_RS01440
OG0000462	DR085_RS00830	EXC50_RS01435
OG0000463	DR085_RS00835	EXC50_RS01430
OG0000464	DR085_RS00840	EXC50_RS01425
OG0000465	DR085_RS00845	EXC50_RS01420
OG0000466	DR085_RS00230	EXC50_RS00415
OG0000467	DR085_RS03670	EXC50_RS01520
OG0000468	DR085_RS02775	EXC50_RS00910
OG0000469	DR085_RS02995	EXC50_RS00970
OG0000470	DR085_RS01000	EXC50_RS03950
OG0000471	DR085_RS01080	EXC50_RS03165
OG0000472	DR085_RS02645	EXC50_RS02165
OG0000473	DR085_RS02495	EXC50_RS02340
OG0000474	DR085_RS02490	EXC50_RS02345
OG0000475	DR085_RS02485	EXC50_RS02350
OG0000476	DR085_RS02450	EXC50_RS02535
OG0000477	DR085_RS00800	EXC50_RS01465
OG0000478	DR085_RS02545	EXC50_RS02285
OG0000479	DR085_RS01790	EXC50_RS02760
OG0000480	DR085_RS03170	EXC50_RS03895
OG0000481	DR085_RS01960	EXC50_RS03270
OG0000482	DR085_RS02100	EXC50_RS02875
OG0000483	DR085_RS02855	EXC50_RS01015
OG0000484	DR085_RS03630	EXC50_RS00205
OG0000485	DR085_RS01320	EXC50_RS02920
OG0000486	DR085_RS02150	EXC50_RS01155
OG0000487	DR085_RS03905	EXC50_RS00950
OG0000488	DR085_RS02825	EXC50_RS00985
OG0000489	DR085_RS02315	EXC50_RS00050
OG0000490	DR085_RS02255	EXC50_RS02450
OG0000491	DR085_RS01770	EXC50_RS02740
OG0000492	DR085_RS01695	EXC50_RS02665
OG0000493	DR085_RS00400	EXC50_RS03505
OG0000494	DR085_RS00455	EXC50_RS03445
OG0000495	DR085_RS00610	EXC50_RS01675
OG0000496	DR085_RS00620	EXC50_RS01665
OG0000497	DR085_RS00625	EXC50_RS01660
OG0000498	DR085_RS00695	EXC50_RS01580
OG0000499	DR085_RS00740	EXC50_RS01545
OG0000500	DR085_RS02655	EXC50_RS00875
OG0000501	DR085_RS01425	EXC50_RS01905
