Orthogroup	MHP_MHP691_genes	MHP_111A_genes
OG0000434	DR087_RS01980	NB623_RS01255
OG0000435	DR087_RS01965	NB623_RS01265
OG0000436	DR087_RS01935	NB623_RS01290
OG0000437	DR087_RS01925	NB623_RS01300
OG0000438	DR087_RS01920	NB623_RS01305
OG0000439	DR087_RS04620	NB623_RS01310
OG0000440	DR087_RS03345	NB623_RS03115
OG0000441	DR087_RS03395	NB623_RS03150
OG0000442	DR087_RS04770	NB623_RS00135
OG0000443	DR087_RS02370	NB623_RS00180
OG0000444	DR087_RS02355	NB623_RS00195
OG0000445	DR087_RS02330	NB623_RS00220
OG0000446	DR087_RS01775	NB623_RS00245
OG0000447	DR087_RS01780	NB623_RS00255
OG0000448	DR087_RS01810	NB623_RS00280
OG0000449	DR087_RS01835	NB623_RS00305
OG0000450	DR087_RS01845	NB623_RS00315
OG0000451	DR087_RS01885	NB623_RS00355
OG0000452	DR087_RS03005	NB623_RS00380
OG0000453	DR087_RS03040	NB623_RS00415
OG0000454	DR087_RS02015	NB623_RS01755
OG0000455	DR087_RS00740	NB623_RS03705
OG0000456	DR087_RS00620	NB623_RS03580
OG0000457	DR087_RS00595	NB623_RS03545
OG0000458	DR087_RS02935	NB623_RS02670
OG0000459	DR087_RS02960	NB623_RS02700
OG0000460	DR087_RS02970	NB623_RS02710
OG0000461	DR087_RS01335	NB623_RS02755
OG0000462	DR087_RS01340	NB623_RS02750
OG0000463	DR087_RS01350	NB623_RS02745
OG0000464	DR087_RS03000	NB623_RS02740
OG0000465	DR087_RS02995	NB623_RS02735
OG0000466	DR087_RS03010	NB623_RS00385
OG0000467	DR087_RS04570	NB623_RS02845
OG0000468	DR087_RS00010	NB623_RS02130
OG0000469	DR087_RS00070	NB623_RS02070
OG0000470	DR087_RS03755	NB623_RS00850
OG0000471	DR087_RS02525	NB623_RS00930
OG0000472	DR087_RS02125	NB623_RS03500
OG0000473	DR087_RS00725	NB623_RS03690
OG0000474	DR087_RS00730	NB623_RS03695
OG0000475	DR087_RS00735	NB623_RS03700
OG0000476	DR087_RS03410	NB623_RS01675
OG0000477	DR087_RS01310	NB623_RS02785
OG0000478	DR087_RS00670	NB623_RS03630
OG0000479	DR087_RS01200	NB623_RS01445
OG0000480	DR087_RS03730	NB623_RS02065
OG0000481	DR087_RS02310	NB623_RS00825
OG0000482	DR087_RS02795	NB623_RS01330
OG0000483	DR087_RS00115	NB623_RS02020
OG0000484	DR087_RS04670	NB623_RS00190
OG0000485	DR087_RS01930	NB623_RS01295
OG0000486	DR087_RS00270	NB623_RS02450
OG0000488	DR087_RS00085	NB623_RS02055
OG0000490	DR087_RS00420	NB623_RS03800
OG0000493	DR087_RS02915	NB623_RS00575
OG0000494	DR087_RS03145	NB623_RS00635
OG0000495	DR087_RS01395	NB623_RS03005
OG0000496	DR087_RS01385	NB623_RS02990
OG0000497	DR087_RS01380	NB623_RS02985
OG0000498	DR087_RS03245	NB623_RS02900
OG0000499	DR087_RS01235	NB623_RS02865
OG0000500	DR087_RS01530	NB623_RS02165
OG0000501	DR087_RS00985	NB623_RS03220
OG0000502	DR087_RS02785	NB623_RS01320
OG0000503	DR087_RS02255	NB623_RS00765
OG0000504	DR087_RS02550	NB623_RS00905
OG0000505	DR087_RS02625	NB623_RS01065
OG0000506	DR087_RS02635	NB623_RS01075
OG0000507	DR087_RS02670	NB623_RS01110
OG0000509	DR087_RS01805	NB623_RS00275
OG0000510	DR087_RS01815	NB623_RS00285
OG0000511	DR087_RS03045	NB623_RS00420
OG0000512	DR087_RS02975	NB623_RS02715
OG0000514	DR087_RS01420	NB623_RS03025
OG0000516	DR087_RS04410	NB623_RS02090
OG0000517	DR087_RS00495	NB623_RS00065
OG0000519	DR087_RS02280	NB623_RS00795
OG0000520	DR087_RS02535	NB623_RS00920
OG0000522	DR087_RS01820	NB623_RS00290
OG0000523	DR087_RS00590	NB623_RS03540
OG0000524	DR087_RS01260	NB623_RS02840
OG0000525	DR087_RS04645	NB623_RS03505
OG0000526	DR087_RS04050	NB623_RS02260
OG0000528	DR087_RS04415	NB623_RS02080
OG0000531	DR087_RS01130	NB623_RS01520
OG0000532	DR087_RS03180	NB623_RS01745
OG0000533	DR087_RS03510	NB623_RS00595
OG0000534	DR087_RS01900	NB623_RS00370
OG0000540	DR087_RS01290	NB623_RS02805
OG0000541	DR087_RS01220	NB623_RS02880
OG0000543	DR087_RS00345	NB623_RS01930
