Orthogroup	MHP_MHP691_genes	MHP_168L_genes
OG0000360	DR087_RS01795	MHP168L_RS00255
OG0000361	DR087_RS01825	MHP168L_RS00285
OG0000362	DR087_RS02965	MHP168L_RS02575
OG0000363	DR087_RS04545	MHP168L_RS03960
OG0000364	DR087_RS01580	MHP168L_RS01970
OG0000365	DR087_RS04420	MHP168L_RS02280
OG0000366	DR087_RS00100	MHP168L_RS02255
OG0000367	DR087_RS00110	MHP168L_RS02245
OG0000368	DR087_RS00490	MHP168L_RS00060
OG0000369	DR087_RS04455	MHP168L_RS00025
OG0000371	DR087_RS04765	MHP168L_RS00015
OG0000372	DR087_RS00440	MHP168L_RS00010
OG0000373	DR087_RS00415	MHP168L_RS03650
OG0000374	DR087_RS00405	MHP168L_RS03640
OG0000375	DR087_RS00190	MHP168L_RS02165
OG0000376	DR087_RS01705	MHP168L_RS02400
OG0000377	DR087_RS01715	MHP168L_RS02390
OG0000378	DR087_RS03315	MHP168L_RS01380
OG0000379	DR087_RS01160	MHP168L_RS01460
OG0000380	DR087_RS01135	MHP168L_RS01485
OG0000381	DR087_RS01095	MHP168L_RS01525
OG0000382	DR087_RS01065	MHP168L_RS01555
OG0000383	DR087_RS01025	MHP168L_RS01595
OG0000384	DR087_RS03460	MHP168L_RS00500
OG0000385	DR087_RS03455	MHP168L_RS00505
OG0000386	DR087_RS02875	MHP168L_RS00525
OG0000387	DR087_RS02900	MHP168L_RS00550
OG0000388	DR087_RS04720	MHP168L_RS00555
OG0000389	DR087_RS03170	MHP168L_RS01035
OG0000390	DR087_RS01460	MHP168L_RS02930
OG0000391	DR087_RS01450	MHP168L_RS02920
OG0000392	DR087_RS01425	MHP168L_RS02895
OG0000393	DR087_RS04575	MHP168L_RS02840
OG0000394	DR087_RS03560	MHP168L_RS02765
OG0000395	DR087_RS03550	MHP168L_RS02760
OG0000396	DR087_RS02430	MHP168L_RS02455
OG0000397	DR087_RS01540	MHP168L_RS02010
OG0000398	DR087_RS01535	MHP168L_RS02015
OG0000399	DR087_RS00015	MHP168L_RS02060
OG0000400	DR087_RS00995	MHP168L_RS03055
OG0000401	DR087_RS00935	MHP168L_RS03115
OG0000402	DR087_RS00925	MHP168L_RS03125
OG0000403	DR087_RS00915	MHP168L_RS03135
OG0000404	DR087_RS00885	MHP168L_RS03165
OG0000405	DR087_RS00870	MHP168L_RS03180
OG0000406	DR087_RS00810	MHP168L_RS03235
OG0000407	DR087_RS04515	MHP168L_RS03240
OG0000408	DR087_RS00800	MHP168L_RS03245
OG0000409	DR087_RS00795	MHP168L_RS03250
OG0000410	DR087_RS02135	MHP168L_RS03305
OG0000411	DR087_RS02145	MHP168L_RS03295
OG0000412	DR087_RS02150	MHP168L_RS03290
OG0000413	DR087_RS00355	MHP168L_RS01610
OG0000414	DR087_RS03435	MHP168L_RS01620
OG0000415	DR087_RS03430	MHP168L_RS01625
OG0000416	DR087_RS03420	MHP168L_RS01635
OG0000417	DR087_RS00250	MHP168L_RS02305
OG0000418	DR087_RS00245	MHP168L_RS02300
OG0000419	DR087_RS02205	MHP168L_RS00950
OG0000420	DR087_RS02240	MHP168L_RS00915
OG0000421	DR087_RS02275	MHP168L_RS00885
OG0000422	DR087_RS02285	MHP168L_RS00875
OG0000423	DR087_RS02600	MHP168L_RS00820
OG0000424	DR087_RS02595	MHP168L_RS00815
OG0000425	DR087_RS02585	MHP168L_RS00805
OG0000426	DR087_RS04695	MHP168L_RS00800
OG0000427	DR087_RS04690	MHP168L_RS00775
OG0000428	DR087_RS02530	MHP168L_RS00745
OG0000429	DR087_RS02705	MHP168L_RS00650
OG0000430	DR087_RS02750	MHP168L_RS00605
OG0000431	DR087_RS02760	MHP168L_RS00595
OG0000432	DR087_RS02000	MHP168L_RS01080
OG0000433	DR087_RS01985	MHP168L_RS01095
OG0000434	DR087_RS01980	MHP168L_RS01100
OG0000435	DR087_RS01965	MHP168L_RS01115
OG0000436	DR087_RS01935	MHP168L_RS01145
OG0000437	DR087_RS01925	MHP168L_RS01155
OG0000438	DR087_RS01920	MHP168L_RS01160
OG0000439	DR087_RS04620	MHP168L_RS01165
OG0000440	DR087_RS03345	MHP168L_RS02985
OG0000441	DR087_RS03395	MHP168L_RS03025
OG0000442	DR087_RS04770	MHP168L_RS00125
OG0000443	DR087_RS02370	MHP168L_RS00170
OG0000444	DR087_RS02355	MHP168L_RS00180
OG0000445	DR087_RS02330	MHP168L_RS00205
OG0000446	DR087_RS01775	MHP168L_RS00235
OG0000447	DR087_RS01780	MHP168L_RS00240
OG0000448	DR087_RS01810	MHP168L_RS00270
OG0000449	DR087_RS01835	MHP168L_RS00295
OG0000450	DR087_RS01845	MHP168L_RS00305
OG0000451	DR087_RS01885	MHP168L_RS00345
OG0000452	DR087_RS03005	MHP168L_RS00370
OG0000453	DR087_RS03040	MHP168L_RS00405
OG0000454	DR087_RS02015	MHP168L_RS01670, MHP168L_RS01800
OG0000455	DR087_RS00740	MHP168L_RS03495
OG0000456	DR087_RS00620	MHP168L_RS03380
OG0000457	DR087_RS00595	MHP168L_RS03355
OG0000458	DR087_RS02935	MHP168L_RS02545
OG0000459	DR087_RS02960	MHP168L_RS02570
OG0000460	DR087_RS02970	MHP168L_RS02580
OG0000461	DR087_RS01335	MHP168L_RS02625
OG0000462	DR087_RS01340	MHP168L_RS02620
OG0000463	DR087_RS01350	MHP168L_RS02615
OG0000464	DR087_RS03000	MHP168L_RS02610
OG0000465	DR087_RS02995	MHP168L_RS02605
OG0000466	DR087_RS03010	MHP168L_RS00375
OG0000467	DR087_RS04570	MHP168L_RS02710
OG0000468	DR087_RS00010	MHP168L_RS02055
OG0000469	DR087_RS00070	MHP168L_RS02115
OG0000470	DR087_RS03755	MHP168L_RS03850
OG0000471	DR087_RS02525	MHP168L_RS00740
OG0000472	DR087_RS02125	MHP168L_RS03315
OG0000473	DR087_RS00725	MHP168L_RS03485
OG0000475	DR087_RS00735	MHP168L_RS03490
OG0000476	DR087_RS03410	MHP168L_RS01645
OG0000477	DR087_RS01310	MHP168L_RS02650
OG0000478	DR087_RS00670	MHP168L_RS03425
OG0000479	DR087_RS01200	MHP168L_RS01420
OG0000480	DR087_RS03730	MHP168L_RS03885
OG0000481	DR087_RS02310	MHP168L_RS00850
OG0000482	DR087_RS02795	MHP168L_RS01295
OG0000483	DR087_RS00115	MHP168L_RS02240
OG0000484	DR087_RS04670	MHP168L_RS00175
OG0000485	DR087_RS01930	MHP168L_RS01150
OG0000486	DR087_RS00270	MHP168L_RS02325
OG0000487	DR087_RS04405	MHP168L_RS02095
