Orthogroup	MHP_J_genes	MHP_F72C_genes
OG0000349	MHJ_RS03435	EHI52_RS03465
OG0000350	MHJ_RS02720	EHI52_RS02750
OG0000351	MHJ_RS00475	EHI52_RS00510
OG0000352	MHJ_RS01885	EHI52_RS02000
OG0000353	MHJ_RS01345	EHI52_RS01435
OG0000354	MHJ_RS00620	EHI52_RS00650
OG0000355	MHJ_RS01855	EHI52_RS02030
OG0000356	MHJ_RS01945	EHI52_RS01945
OG0000357	MHJ_RS03065	EHI52_RS03110
OG0000358	MHJ_RS03070	EHI52_RS03115
OG0000359	MHJ_RS00750	EHI52_RS00775
OG0000360	MHJ_RS00255	EHI52_RS00285
OG0000361	MHJ_RS00285	EHI52_RS00315
OG0000362	MHJ_RS02500	EHI52_RS02540
OG0000363	MHJ_RS03840	EHI52_RS01505
OG0000364	MHJ_RS03765	EHI52_RS03790, EHI52_RS02055
OG0000365	MHJ_RS01985	EHI52_RS01905
OG0000366	MHJ_RS02010	EHI52_RS01880
OG0000367	MHJ_RS02020	EHI52_RS01870
OG0000368	MHJ_RS00060	EHI52_RS00060
OG0000369	MHJ_RS00025	EHI52_RS00025
OG0000370	MHJ_RS00020	EHI52_RS00020
OG0000371	MHJ_RS00015	EHI52_RS00015
OG0000372	MHJ_RS00010	EHI52_RS00010
OG0000373	MHJ_RS03565	EHI52_RS03605
OG0000374	MHJ_RS03555	EHI52_RS03595
OG0000375	MHJ_RS02175	EHI52_RS02235
OG0000376	MHJ_RS02320	EHI52_RS02385
OG0000377	MHJ_RS02310	EHI52_RS02375
OG0000378	MHJ_RS01265	EHI52_RS01355
OG0000379	MHJ_RS01340	EHI52_RS01430
OG0000380	MHJ_RS01365	EHI52_RS01455
OG0000381	MHJ_RS01405	EHI52_RS01495
OG0000382	MHJ_RS01435	EHI52_RS01525
OG0000383	MHJ_RS01475	EHI52_RS01565
OG0000384	MHJ_RS00500	EHI52_RS00530
OG0000385	MHJ_RS00505	EHI52_RS00535
OG0000386	MHJ_RS00525	EHI52_RS00555
OG0000387	MHJ_RS00550	EHI52_RS00580
OG0000388	MHJ_RS00555	EHI52_RS00585
OG0000389	MHJ_RS00600	EHI52_RS00630
OG0000390	MHJ_RS02875	EHI52_RS02890
OG0000391	MHJ_RS02865	EHI52_RS02880
OG0000392	MHJ_RS02835	EHI52_RS02855
OG0000393	MHJ_RS02780	EHI52_RS02800
OG0000394	MHJ_RS02695	EHI52_RS02725
OG0000395	MHJ_RS02690	EHI52_RS02720
OG0000396	MHJ_RS02380	EHI52_RS02430
OG0000397	MHJ_RS01870	EHI52_RS02015
OG0000398	MHJ_RS01875	EHI52_RS02010
OG0000399	MHJ_RS01925	EHI52_RS01965
OG0000400	MHJ_RS03030	EHI52_RS03070
OG0000401	MHJ_RS03090	EHI52_RS03135
OG0000402	MHJ_RS03100	EHI52_RS03145
OG0000403	MHJ_RS03110	EHI52_RS03155
OG0000404	MHJ_RS03140	EHI52_RS03185
OG0000405	MHJ_RS03155	EHI52_RS03200
OG0000406	MHJ_RS03220	EHI52_RS03255
OG0000407	MHJ_RS03225	EHI52_RS03260
OG0000408	MHJ_RS03230	EHI52_RS03265
OG0000409	MHJ_RS03235	EHI52_RS03270
OG0000410	MHJ_RS03290	EHI52_RS03330
OG0000411	MHJ_RS03280	EHI52_RS03320
OG0000412	MHJ_RS03275	EHI52_RS03315
OG0000413	MHJ_RS01490	EHI52_RS01580
OG0000414	MHJ_RS01500	EHI52_RS01590
OG0000415	MHJ_RS01505	EHI52_RS01595
OG0000416	MHJ_RS01515	EHI52_RS01605
OG0000417	MHJ_RS02235	EHI52_RS02295
OG0000418	MHJ_RS02230	EHI52_RS02290
OG0000419	MHJ_RS00690	EHI52_RS00710
OG0000420	MHJ_RS00725	EHI52_RS00745
OG0000421	MHJ_RS00755	EHI52_RS00780
OG0000422	MHJ_RS00765	EHI52_RS00790
OG0000423	MHJ_RS00820	EHI52_RS00845
OG0000424	MHJ_RS00825	EHI52_RS00850
OG0000425	MHJ_RS00835	EHI52_RS00860
OG0000426	MHJ_RS00840	EHI52_RS00865
OG0000427	MHJ_RS00865	EHI52_RS00890
OG0000428	MHJ_RS00890	EHI52_RS00915
OG0000429	MHJ_RS00985	EHI52_RS01080
OG0000430	MHJ_RS01030	EHI52_RS01125
OG0000431	MHJ_RS01040	EHI52_RS01135
OG0000432	MHJ_RS01070	EHI52_RS01170
OG0000433	MHJ_RS01085	EHI52_RS01185
OG0000434	MHJ_RS01090	EHI52_RS01190
OG0000435	MHJ_RS01105	EHI52_RS01205
OG0000436	MHJ_RS01135	EHI52_RS01235
OG0000437	MHJ_RS01145	EHI52_RS01245
OG0000438	MHJ_RS01150	EHI52_RS01250
OG0000439	MHJ_RS01155	EHI52_RS01255
OG0000440	MHJ_RS02935	EHI52_RS02945
OG0000441	MHJ_RS02975	EHI52_RS02985
OG0000442	MHJ_RS00120	EHI52_RS00145
OG0000443	MHJ_RS00165	EHI52_RS00195
OG0000444	MHJ_RS00180	EHI52_RS00210
OG0000445	MHJ_RS00205	EHI52_RS00235
OG0000446	MHJ_RS00235	EHI52_RS00265
OG0000447	MHJ_RS00240	EHI52_RS00270
OG0000448	MHJ_RS00270	EHI52_RS00300
OG0000449	MHJ_RS00295	EHI52_RS00325
OG0000450	MHJ_RS00305	EHI52_RS00335
