Orthogroup	MHP_NCTC10127_genes	MFC_Ms42_genes
OG0000496	EXC50_RS01665	MYF_RS00745
OG0000497	EXC50_RS01660	MYF_RS00750
OG0000498	EXC50_RS01580	MYF_RS00820
OG0000499	EXC50_RS01545	MYF_RS00865
OG0000500	EXC50_RS00875	MYF_RS01255
OG0000501	EXC50_RS01905	MYF_RS02590
OG0000502	EXC50_RS02885	MYF_RS01985
OG0000503	EXC50_RS03325	MYF_RS02055
OG0000504	EXC50_RS03190	MYF_RS02190
OG0000505	EXC50_RS03155	MYF_RS02225
OG0000506	EXC50_RS03145	MYF_RS02235
OG0000507	EXC50_RS03110	MYF_RS02270
OG0000508	EXC50_RS00260	MYF_RS00215
OG0000509	EXC50_RS00295	MYF_RS00250
OG0000510	EXC50_RS00305	MYF_RS00260
OG0000511	EXC50_RS03655	MYF_RS00395
OG0000512	EXC50_RS01400	MYF_RS01055
OG0000513	EXC50_RS02270	MYF_RS02890
OG0000514	EXC50_RS01700	MYF_RS00710
OG0000516	EXC50_RS00955	MYF_RS01440
OG0000517	EXC50_RS00065	MYF_RS00065
OG0000518	EXC50_RS01945	MYF_RS02630
OG0000519	EXC50_RS03300	MYF_RS02080
OG0000520	EXC50_RS03175	MYF_RS02205
OG0000521	EXC50_RS00275	MYF_RS00230
OG0000522	EXC50_RS00310	MYF_RS00265
OG0000523	EXC50_RS02205	MYF_RS02830
OG0000524	EXC50_RS01515	MYF_RS00890
OG0000528	EXC50_RS00960	MYF_RS01435
OG0000529	EXC50_RS01090	MYF_RS01565
OG0000530	EXC50_RS01200	MYF_RS01630
OG0000531	EXC50_RS02690	MYF_RS01750
OG0000532	EXC50_RS00575	MYF_RS00620
OG0000533	EXC50_RS03490	MYF_RS02365
OG0000534	EXC50_RS00395	MYF_RS00345
OG0000535	EXC50_RS00045	MYF_RS00045
OG0000536	EXC50_RS02385	MYF_RS03070
OG0000537	EXC50_RS03360	MYF_RS02025
OG0000538	EXC50_RS02965	MYF_RS02395
OG0000539	EXC50_RS00220	MYF_RS00175
OG0000540	EXC50_RS01485	MYF_RS00910
OG0000541	EXC50_RS01560	MYF_RS00850
OG0000542	EXC50_RS00365	MYF_RS00315
OG0000547	EXC50_RS01750	MYF_RS00660
OG0000548	EXC50_RS00535	MYF_RS01205
OG0000549	EXC50_RS02160	MYF_RS02805
OG0000550	EXC50_RS02305	MYF_RS02925
OG0000551	EXC50_RS01825	MYF_RS02505
OG0000555	EXC50_RS04055	MYF_RS03410
OG0000598	EXC50_RS00690	MYF_RS00105
OG0000599	EXC50_RS00695	MYF_RS00100
OG0000602	EXC50_RS00980	MYF_RS01415
