Orthogroup	MHP_NCTC10127_genes	MHP_MHP709_genes
OG0000439	EXC50_RS02905	DR088_RS04360
OG0000440	EXC50_RS01795	DR088_RS04575
OG0000441	EXC50_RS01835	DR088_RS03240
OG0000442	EXC50_RS00145	DR088_RS03560
OG0000443	EXC50_RS00195	DR088_RS01330
OG0000444	EXC50_RS00210	DR088_RS01315
OG0000445	EXC50_RS00235	DR088_RS01290
OG0000446	EXC50_RS00265	DR088_RS01260
OG0000447	EXC50_RS00270	DR088_RS01255
OG0000448	EXC50_RS00300	DR088_RS01225
OG0000449	EXC50_RS00325	DR088_RS01200
OG0000450	EXC50_RS00335	DR088_RS01190
OG0000451	EXC50_RS00380	DR088_RS01150
OG0000452	EXC50_RS00410	DR088_RS01125
OG0000453	EXC50_RS03660	DR088_RS01090
OG0000455	EXC50_RS02355	DR088_RS02095
OG0000456	EXC50_RS02235	DR088_RS02225
OG0000457	EXC50_RS02210	DR088_RS02250
OG0000458	EXC50_RS01360	DR088_RS03175
OG0000459	EXC50_RS01385	DR088_RS03150
OG0000460	EXC50_RS01395	DR088_RS03140
OG0000461	EXC50_RS01440	DR088_RS00020
OG0000462	EXC50_RS01435	DR088_RS00015
OG0000463	EXC50_RS01430	DR088_RS00010
OG0000464	EXC50_RS01425	DR088_RS03110
OG0000465	EXC50_RS01420	DR088_RS03115
OG0000466	EXC50_RS00415	DR088_RS01120
OG0000467	EXC50_RS01520	DR088_RS04290
OG0000468	EXC50_RS00910	DR088_RS00575
OG0000469	EXC50_RS00970	DR088_RS00635
OG0000470	EXC50_RS03950	DR088_RS03670
OG0000471	EXC50_RS03165	DR088_RS01705
OG0000472	EXC50_RS02165	DR088_RS02040
OG0000473	EXC50_RS02340	DR088_RS02080
OG0000474	EXC50_RS02345	DR088_RS02085
OG0000475	EXC50_RS02350	DR088_RS02090
OG0000476	EXC50_RS02535	DR088_RS02590
OG0000477	EXC50_RS01465	DR088_RS00045
OG0000478	EXC50_RS02285	DR088_RS02175
OG0000479	EXC50_RS02760	DR088_RS02605
OG0000480	EXC50_RS03895	DR088_RS03655
OG0000481	EXC50_RS03270	DR088_RS02715
OG0000482	EXC50_RS02875	DR088_RS00910
OG0000483	EXC50_RS01015	DR088_RS00680
OG0000484	EXC50_RS00205	DR088_RS04385
OG0000485	EXC50_RS02920	DR088_RS00865
OG0000486	EXC50_RS01155	DR088_RS02945
