Orthogroup	MHP_KM014_genes	MFC_Ms42_genes
OG0000404	CIB43_RS00250	MYF_RS02685
OG0000405	CIB43_RS00265	MYF_RS02700
OG0000409	CIB43_RS00345	MYF_RS02745
OG0000412	CIB43_RS00390	MYF_RS02795
OG0000417	CIB43_RS03185	MYF_RS01945
OG0000428	CIB43_RS01785	MYF_RS02210
OG0000429	CIB43_RS01885	MYF_RS02300
OG0000430	CIB43_RS01925	MYF_RS02345
OG0000434	CIB43_RS01985	MYF_RS02390
OG0000436	CIB43_RS02030	MYF_RS02440
OG0000437	CIB43_RS02065	MYF_RS02450
OG0000441	CIB43_RS03910	MYF_RS02515
OG0000451	CIB43_RS01085	MYF_RS00330
OG0000453	CIB43_RS01315	MYF_RS00390
OG0000457	CIB43_RS00450	MYF_RS02835
OG0000459	CIB43_RS03460	MYF_RS01070
OG0000463	CIB43_RS03515	MYF_RS01020
OG0000464	CIB43_RS03500	MYF_RS01030
OG0000466	CIB43_RS01115	MYF_RS00360
OG0000468	CIB43_RS02870	MYF_RS01290
OG0000471	CIB43_RS01790	MYF_RS02215
OG0000473	CIB43_RS00580	MYF_RS02960
OG0000474	CIB43_RS00585	MYF_RS02965
OG0000475	CIB43_RS00595	MYF_RS02970
OG0000482	CIB43_RS02080	MYF_RS01975
OG0000485	CIB43_RS02035	MYF_RS02445
OG0000486	CIB43_RS03205	MYF_RS01925
OG0000487	CIB43_RS02915	MYF_RS01445
OG0000488	CIB43_RS02940	MYF_RS01405
OG0000489	CIB43_RS00750	MYF_RS00050
OG0000491	CIB43_RS02220	MYF_RS01700
OG0000492	CIB43_RS02290	MYF_RS01775
OG0000495	CIB43_RS03750	MYF_RS00735
OG0000502	CIB43_RS02070	MYF_RS01985
OG0000504	CIB43_RS01770	MYF_RS02190
OG0000506	CIB43_RS01810	MYF_RS02235
OG0000508	CIB43_RS00980	MYF_RS00215
OG0000517	CIB43_RS00765	MYF_RS00065
OG0000519	CIB43_RS01660	MYF_RS02080
OG0000520	CIB43_RS01780	MYF_RS02205
OG0000523	CIB43_RS00445	MYF_RS02830
OG0000529	CIB43_RS03135	MYF_RS01565
OG0000530	CIB43_RS03250	MYF_RS01630
OG0000531	CIB43_RS02265	MYF_RS01750
OG0000537	CIB43_RS01595	MYF_RS02025
OG0000538	CIB43_RS01990	MYF_RS02395
OG0000589	CIB43_RS03055	MYF_RS03220
OG0000595	CIB43_RS03920	MYF_RS02570
OG0000597	CIB43_RS03915	MYF_RS02565
