Orthogroup	MHP_KM014_genes	MHP_133A_genes
OG0000327	CIB43_RS01670	NB626_RS00915
OG0000328	CIB43_RS01760	NB626_RS01005
OG0000329	CIB43_RS01775	NB626_RS01035
OG0000330	CIB43_RS01970	NB626_RS01225
OG0000331	CIB43_RS03890	NB626_RS03155
OG0000332	CIB43_RS00200	NB626_RS03300
OG0000333	CIB43_RS00210	NB626_RS03310
OG0000334	CIB43_RS00315	NB626_RS03415
OG0000335	CIB43_RS00340	NB626_RS03425
OG0000336	CIB43_RS00485	NB626_RS03605
OG0000337	CIB43_RS00655	NB626_RS03780
OG0000338	CIB43_RS00695	NB626_RS03820
OG0000339	CIB43_RS03235	NB626_RS02495
OG0000340	CIB43_RS02185	NB626_RS01430
OG0000341	CIB43_RS03190	NB626_RS02450
OG0000342	CIB43_RS01600	NB626_RS00835
OG0000343	CIB43_RS00215	NB626_RS03320
OG0000344	CIB43_RS01465	NB626_RS00675
OG0000345	CIB43_RS01890	NB626_RS01145
OG0000346	CIB43_RS00490	NB626_RS03610
OG0000347	CIB43_RS02270	NB626_RS01525
OG0000348	CIB43_RS01685	NB626_RS00920
OG0000349	CIB43_RS00550	NB626_RS03675
OG0000350	CIB43_RS03675	NB626_RS02940
OG0000351	CIB43_RS01385	NB626_RS00590
OG0000352	CIB43_RS02830	NB626_RS02065
OG0000353	CIB43_RS02240	NB626_RS01490
OG0000354	CIB43_RS01515	NB626_RS00735
OG0000355	CIB43_RS02805	NB626_RS02040
OG0000356	CIB43_RS02890	NB626_RS02120
OG0000357	CIB43_RS00175	NB626_RS03275
OG0000358	CIB43_RS00180	NB626_RS03280
OG0000359	CIB43_RS01650	NB626_RS00880
OG0000360	CIB43_RS00990	NB626_RS00275
OG0000361	CIB43_RS01020	NB626_RS00305
OG0000362	CIB43_RS03475	NB626_RS02725
OG0000363	CIB43_RS02310	NB626_RS01565
OG0000364	CIB43_RS02775	NB626_RS02015
OG0000369	CIB43_RS00725	NB626_RS00025
OG0000370	CIB43_RS00720	NB626_RS00020
OG0000379	CIB43_RS02235	NB626_RS01485
OG0000380	CIB43_RS02260	NB626_RS01520
OG0000381	CIB43_RS02300	NB626_RS01555
OG0000385	CIB43_RS01405	NB626_RS00625
OG0000389	CIB43_RS01490	NB626_RS00715
OG0000394	CIB43_RS03660	NB626_RS02915
