Orthogroup	MFC_MF33_genes	MFC_ATCC27716_genes
OG0000160	DR085_RS00975	MFC_RS01250
OG0000161	DR085_RS00985	MFC_RS01255
OG0000162	DR085_RS02725	MFC_RS01265
OG0000163	DR085_RS02720	MFC_RS01270
OG0000164	DR085_RS03860	MFC_RS01300
OG0000165	DR085_RS02810	MFC_RS01345
OG0000166	DR085_RS02780	MFC_RS01365
OG0000167	DR085_RS02765	MFC_RS01380
OG0000168	DR085_RS02760	MFC_RS01385
OG0000169	DR085_RS01405	MFC_RS01430
OG0000170	DR085_RS01420	MFC_RS01455
OG0000171	DR085_RS01430	MFC_RS01465
OG0000172	DR085_RS01435	MFC_RS01470
OG0000173	DR085_RS01440	MFC_RS01475
OG0000174	DR085_RS01445	MFC_RS01480
OG0000175	DR085_RS01460	MFC_RS01495
OG0000176	DR085_RS01500	MFC_RS01540
OG0000177	DR085_RS01505	MFC_RS01545
OG0000178	DR085_RS01510	MFC_RS01550
OG0000179	DR085_RS01520	MFC_RS01560
OG0000180	DR085_RS01525	MFC_RS01565
OG0000181	DR085_RS03715	MFC_RS01580
OG0000182	DR085_RS01550	MFC_RS01590
OG0000183	DR085_RS01585	MFC_RS01625
OG0000184	DR085_RS02950	MFC_RS01655
OG0000185	DR085_RS02935	MFC_RS01670
OG0000186	DR085_RS02180	MFC_RS01710
OG0000187	DR085_RS02165	MFC_RS01725
OG0000188	DR085_RS02155	MFC_RS01735
OG0000189	DR085_RS03775	MFC_RS03385
OG0000190	DR085_RS02140	MFC_RS01750
OG0000191	DR085_RS02120	MFC_RS01770
OG0000192	DR085_RS02110	MFC_RS01780
OG0000193	DR085_RS02095	MFC_RS01795
OG0000194	DR085_RS02085	MFC_RS01805
OG0000195	DR085_RS02080	MFC_RS01810
OG0000196	DR085_RS03770	MFC_RS01830
OG0000197	DR085_RS02055	MFC_RS01835
OG0000198	DR085_RS02040	MFC_RS01850
OG0000199	DR085_RS02035	MFC_RS01855
OG0000200	DR085_RS02020	MFC_RS01865
OG0000201	DR085_RS02010	MFC_RS01875
OG0000202	DR085_RS01955	MFC_RS01930
OG0000203	DR085_RS01950	MFC_RS01935
OG0000204	DR085_RS03675	MFC_RS01940
OG0000205	DR085_RS00995	MFC_RS01945
OG0000206	DR085_RS01015	MFC_RS01965
OG0000207	DR085_RS01030	MFC_RS01980
OG0000208	DR085_RS01035	MFC_RS01985
OG0000209	DR085_RS01040	MFC_RS01990
OG0000210	DR085_RS01085	MFC_RS02040
OG0000211	DR085_RS01095	MFC_RS02050
OG0000212	DR085_RS01105	MFC_RS02060
OG0000213	DR085_RS01110	MFC_RS02065
OG0000214	DR085_RS01115	MFC_RS02070
OG0000215	DR085_RS01120	MFC_RS02075
OG0000216	DR085_RS01125	MFC_RS02080
OG0000217	DR085_RS01130	MFC_RS02085
OG0000218	DR085_RS03695	MFC_RS02095
OG0000219	DR085_RS01145	MFC_RS02100
OG0000220	DR085_RS01150	MFC_RS02105
OG0000221	DR085_RS01155	MFC_RS02110
OG0000222	DR085_RS01160	MFC_RS03235
OG0000223	DR085_RS01165	MFC_RS02115
OG0000224	DR085_RS01175	MFC_RS02125
OG0000225	DR085_RS01185	MFC_RS02135
OG0000226	DR085_RS01190	MFC_RS02140
OG0000227	DR085_RS01195	MFC_RS02145
OG0000228	DR085_RS03930	MFC_RS03530
OG0000229	DR085_RS01205	MFC_RS02155
OG0000230	DR085_RS01210	MFC_RS02160
OG0000231	DR085_RS01220	MFC_RS02170
OG0000232	DR085_RS01230	MFC_RS02180
OG0000233	DR085_RS01240	MFC_RS02190
OG0000234	DR085_RS01270	MFC_RS02220
OG0000235	DR085_RS01280	MFC_RS02230
OG0000236	DR085_RS01285	MFC_RS02235
OG0000237	DR085_RS01305	MFC_RS02250
OG0000238	DR085_RS01310	MFC_RS02255
OG0000239	DR085_RS01340	MFC_RS02285
OG0000240	DR085_RS01345	MFC_RS02290
OG0000241	DR085_RS01355	MFC_RS02300
OG0000242	DR085_RS01360	MFC_RS02305
OG0000243	DR085_RS01365	MFC_RS02310
OG0000244	DR085_RS01375	MFC_RS02320
OG0000245	DR085_RS01385	MFC_RS02330
OG0000246	DR085_RS02350	MFC_RS02345
OG0000247	DR085_RS02360	MFC_RS02355
OG0000248	DR085_RS02385	MFC_RS02380
OG0000249	DR085_RS02390	MFC_RS02385
OG0000250	DR085_RS00015	MFC_RS02400
OG0000251	DR085_RS00045	MFC_RS02430
OG0000252	DR085_RS00055	MFC_RS02440
OG0000253	DR085_RS00060	MFC_RS02445
OG0000254	DR085_RS00070	MFC_RS02455
OG0000255	DR085_RS00075	MFC_RS02465
OG0000256	DR085_RS00080	MFC_RS02470
OG0000257	DR085_RS00105	MFC_RS02495
OG0000258	DR085_RS00115	MFC_RS02505
OG0000259	DR085_RS00145	MFC_RS02535
OG0000260	DR085_RS00155	MFC_RS02545
OG0000261	DR085_RS03635	MFC_RS02555
OG0000262	DR085_RS00180	MFC_RS02570
OG0000263	DR085_RS00195	MFC_RS02585
OG0000264	DR085_RS00210	MFC_RS02600
OG0000265	DR085_RS00220	MFC_RS02610
OG0000266	DR085_RS00235	MFC_RS02625
OG0000267	DR085_RS00250	MFC_RS02640
OG0000268	DR085_RS00255	MFC_RS02645
OG0000269	DR085_RS00270	MFC_RS02660
OG0000270	DR085_RS03815	MFC_RS02720
