Orthogroup	MHP_ES2_genes	MHP_NCTC10127_genes
OG0000412	E5E95_RS03515	EXC50_RS02140
OG0000413	E5E95_RS01535	EXC50_RS02570
OG0000414	E5E95_RS01545	EXC50_RS02560
OG0000415	E5E95_RS01550	EXC50_RS02555
OG0000416	E5E95_RS01560	EXC50_RS02545
OG0000417	E5E95_RS02400	EXC50_RS01135
OG0000418	E5E95_RS02395	EXC50_RS01130
OG0000419	E5E95_RS00710	EXC50_RS03375
OG0000420	E5E95_RS00745	EXC50_RS03340
OG0000421	E5E95_RS00780	EXC50_RS03305
OG0000422	E5E95_RS00790	EXC50_RS03295
OG0000423	E5E95_RS00845	EXC50_RS03240
OG0000424	E5E95_RS00850	EXC50_RS03235
OG0000425	E5E95_RS00860	EXC50_RS03225
OG0000426	E5E95_RS00865	EXC50_RS03220
OG0000427	E5E95_RS00890	EXC50_RS03195
OG0000428	E5E95_RS00915	EXC50_RS03170
OG0000429	E5E95_RS01030	EXC50_RS03075
OG0000430	E5E95_RS01075	EXC50_RS03030
OG0000431	E5E95_RS01085	EXC50_RS03020
OG0000432	E5E95_RS01115	EXC50_RS02990
OG0000433	E5E95_RS01130	EXC50_RS02975
OG0000434	E5E95_RS01135	EXC50_RS02970
OG0000435	E5E95_RS01150	EXC50_RS02955
OG0000436	E5E95_RS01180	EXC50_RS02925
OG0000437	E5E95_RS01190	EXC50_RS02915
OG0000438	E5E95_RS01195	EXC50_RS02910
OG0000439	E5E95_RS01200	EXC50_RS02905
OG0000440	E5E95_RS03155	EXC50_RS01795
OG0000441	E5E95_RS03195	EXC50_RS01835
OG0000442	E5E95_RS00135	EXC50_RS00145
OG0000443	E5E95_RS00185	EXC50_RS00195
OG0000444	E5E95_RS00200	EXC50_RS00210
OG0000445	E5E95_RS00225	EXC50_RS00235
OG0000446	E5E95_RS00255	EXC50_RS00265
OG0000447	E5E95_RS00260	EXC50_RS00270
OG0000448	E5E95_RS00290	EXC50_RS00300
OG0000449	E5E95_RS00315	EXC50_RS00325
OG0000450	E5E95_RS00325	EXC50_RS00335
OG0000451	E5E95_RS00365	EXC50_RS00380
OG0000452	E5E95_RS00390	EXC50_RS00410
OG0000453	E5E95_RS00425	EXC50_RS03660
OG0000454	E5E95_RS01735, E5E95_RS02455	EXC50_RS03725, EXC50_RS03855, EXC50_RS03675
OG0000455	E5E95_RS03730	EXC50_RS02355
OG0000456	E5E95_RS03610	EXC50_RS02235
OG0000457	E5E95_RS03585	EXC50_RS02210
OG0000458	E5E95_RS02715	EXC50_RS01360
OG0000459	E5E95_RS02740	EXC50_RS01385
OG0000460	E5E95_RS02750	EXC50_RS01395
OG0000461	E5E95_RS02795	EXC50_RS01440
OG0000462	E5E95_RS02790	EXC50_RS01435
OG0000463	E5E95_RS02785	EXC50_RS01430
OG0000464	E5E95_RS02780	EXC50_RS01425
OG0000465	E5E95_RS02775	EXC50_RS01420
OG0000466	E5E95_RS00395	EXC50_RS00415
OG0000467	E5E95_RS02880	EXC50_RS01520
OG0000468	E5E95_RS02085	EXC50_RS00910
