Orthogroup	MHP_154B_genes	MHP_112B_genes
OG0000315	NB624_RS01990	NBX26_RS02115
OG0000316	NB624_RS02000	NBX26_RS02105
OG0000317	NB624_RS02195	NBX26_RS02005
OG0000318	NB624_RS02005	NBX26_RS02100
OG0000319	NB624_RS02365	NBX26_RS02380
OG0000320	NB624_RS02500	NBX26_RS02510
OG0000321	NB624_RS01325	NBX26_RS01455
OG0000322	NB624_RS01370	NBX26_RS01510
OG0000323	NB624_RS01500	NBX26_RS01640
OG0000324	NB624_RS02405	NBX26_RS02420
OG0000325	NB624_RS00980	NBX26_RS00710
OG0000326	NB624_RS00880	NBX26_RS00805
OG0000327	NB624_RS00875	NBX26_RS00810
OG0000328	NB624_RS00790	NBX26_RS00895
OG0000329	NB624_RS00770	NBX26_RS00920
OG0000330	NB624_RS01105	NBX26_RS01240
OG0000331	NB624_RS03130	NBX26_RS03145
OG0000332	NB624_RS03270	NBX26_RS03285
OG0000333	NB624_RS03280	NBX26_RS03295
OG0000334	NB624_RS03385	NBX26_RS03400
OG0000335	NB624_RS03395	NBX26_RS03410
OG0000336	NB624_RS03545	NBX26_RS03600
OG0000337	NB624_RS03715	NBX26_RS03765
OG0000338	NB624_RS03755	NBX26_RS03805
OG0000339	NB624_RS02475	NBX26_RS02485
OG0000340	NB624_RS01305	NBX26_RS01435
OG0000341	NB624_RS02430	NBX26_RS02445
OG0000342	NB624_RS00945	NBX26_RS00740
OG0000343	NB624_RS03290	NBX26_RS03305
OG0000344	NB624_RS00570	NBX26_RS00575
OG0000345	NB624_RS00655	NBX26_RS01160
OG0000346	NB624_RS03550	NBX26_RS03605
OG0000347	NB624_RS01395	NBX26_RS01535
OG0000348	NB624_RS00870	NBX26_RS00815
OG0000349	NB624_RS03610	NBX26_RS03665
OG0000350	NB624_RS02920	NBX26_RS02930
OG0000351	NB624_RS00490	NBX26_RS00485
OG0000352	NB624_RS01940	NBX26_RS02165
OG0000353	NB624_RS01365	NBX26_RS01500
OG0000354	NB624_RS01045	NBX26_RS00635
OG0000355	NB624_RS01915	NBX26_RS02190
OG0000356	NB624_RS01995	NBX26_RS02110
OG0000357	NB624_RS03250	NBX26_RS03260
OG0000358	NB624_RS03255	NBX26_RS03265
OG0000359	NB624_RS00900	NBX26_RS00785
OG0000360	NB624_RS00275	NBX26_RS00270
OG0000361	NB624_RS00305	NBX26_RS00300
OG0000362	NB624_RS02700	NBX26_RS02705
OG0000363	NB624_RS01435	NBX26_RS01575
OG0000364	NB624_RS01890	NBX26_RS02215
OG0000365	NB624_RS02040	NBX26_RS02065
OG0000366	NB624_RS02065	NBX26_RS02040
OG0000367	NB624_RS02175	NBX26_RS02025
OG0000368	NB624_RS00060	NBX26_RS00060
OG0000369	NB624_RS00025	NBX26_RS00025
OG0000370	NB624_RS00020	NBX26_RS00020
OG0000371	NB624_RS00015	NBX26_RS00015
OG0000372	NB624_RS00010	NBX26_RS00010
